Player ,09/11vs. KAN,09/18vs. JAX,09/25vs. IND,10/02vs. NOR,10/09vs. OAK,10/13vs. DEN,10/23vs. ATL,10/30vs. DEN,11/06vs. TEN,11/13vs. MIA,11/27vs. HOU,12/04vs. TAM,12/11vs. CAR,12/18vs. OAK,12/24vs. CLE,01/01vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jahleel Addae,,,O,O,O,O,O,D,D,D,,,,,,,37.0,26.0,SS,8.0,8.0,195.0,2020-05-10,Central Michigan,1990-01-24,3,3.0,,2553000.0
Keenan Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Attaochu,,,,,,,O,O,D,,,O,IR,IR,IR,IR,,,,,,,,,,,,,
Rasheed Bailey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joe Barksdale,,,,Q,Q,Q,,,,,,,,,,,72.0,28.0,RT,15.0,15.0,326.0,2020-06-05,LSU,1988-01-01,5,9.0,Oakland Raiders / 3rd / 92nd pick / 2011,4550000.0
Travis Benjamin,,,,,,,Q,Q,Q,D,Q,,,,,,12.0,27.0,WR,14.0,8.0,175.0,2020-05-10,Miami (FL),1989-12-29,4,6.0,Cleveland Browns / 4th / 100th pick / 2012,4000000.0
Joey Bosa,,O,O,O,,,,,,,,,,,,,99.0,21.0,LDE,12.0,11.0,280.0,2020-06-05,Ohio St.,1995-07-11,Rook,6.0,San Diego Chargers / 1st / 3rd pick / 2016,4704306.0
Jatavis Brown,,,,Q,,,,,O,O,O,O,Q,,,,57.0,22.0,LILB,12.0,7.0,221.0,2020-05-11,Akron,1994-02-18,Rook,4.0,San Diego Chargers / 5th / 175th pick / 2016,496096.0
Zamir Carlis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Terrell Chestnut,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Donavon Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Asante Cleveland,,,,,,,,,,,O,Q,,,,,,,,,,,,,,,,,
Jeff Cumberland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt Daniels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
King Dunlap,,,,D,Q,,,,,,,,,,Q,D,77.0,31.0,LT,12.0,12.0,310.0,2020-06-08,Auburn,1985-09-09,8,7.0,Philadelphia Eagles / 7th / 230th pick / 2008,5143750.0
Nick Dzubnar,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kenneth Farrow,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Brandon Flowers,,,,O,O,O,O,,,,IR,IR,IR,IR,IR,IR,24.0,30.0,LCB,6.0,6.0,190.0,2020-05-10,Virginia Tech,1986-02-18,8,2.0,Kansas City Chiefs / 2nd / 35th pick / 2008,9750000.0
Orlando Franklin,,Q,Q,Q,,Q,,,,Q,,,Q,Q,Q,Q,74.0,29.0,LG,16.0,16.0,315.0,2020-06-06,Miami (FL),1987-12-16,5,8.0,Denver Broncos / 2nd / 46th pick / 2011,7200000.0
Antonio Gates,,,D,D,Q,,,,,,,,,,,,85.0,36.0,TE,14.0,9.0,255.0,2020-06-04,Kent St.,1980-06-18,13,5.0,,5500000.0
Melvin Gordon,,,,,,,,,,,,,,O,O,O,,,,,,,,,,,,,
