Player ,09/09vs. KAN,09/16vs. BUF,09/23vs. LAR,09/30vs. SFO,10/07vs. OAK,10/14vs. CLE,10/21vs. TEN,11/04vs. SEA,11/11vs. OAK,11/18vs. DEN,11/25vs. ARI,12/02vs. PIT,12/09vs. CIN,12/13vs. KAN,12/22vs. BAL,12/30vs. DEN,01/06vs. BAL,01/13vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Keenan Allen,,,,Q,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Joe Barksdale,,O,O,O,D,Q,,,,,,O,,,,,,,,,,,,,,,,,,,
Travis Benjamin,,Q,Q,Q,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,
Joey Bosa,O,O,O,O,O,O,O,O,O,Q,,,,,,,,,99.0,23.0,LDE,7.0,6.0,280.0,2020-06-05,Ohio St.,1995-07-11,2,4.0,San Diego Chargers / 1st / 3rd pick / 2016,630000.0
Brett Boyko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jatavis Brown,,,,,,D,Q,,,,,,,,,,IR,IR,57.0,24.0,LLB,15.0,10.0,221.0,2020-05-11,Akron,1994-02-18,2,6.0,San Diego Chargers / 5th / 175th pick / 2016,630000.0
Sean Culkin,,,,,,,,,,,,,D,O,O,Q,,,,25.0,TE,13.0,10.0,255.0,2020-06-05,Missouri,1993-06-11,1,0.0,,555000.0
Austin Ekeler,,,,,,,,,,,,,,O,D,,,,,,,,,,,,,,,,
Kyle Emanuel,,,,,,,,,Q,,,,,,,,,,51.0,27.0,rlb,16.0,7.0,250.0,2020-06-03,North Dakota St.,1991-08-16,3,5.0,San Diego Chargers / 5th / 153rd pick / 2015,1907000.0
Brandon Facyson,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Antonio Gates,,,Q,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Melvin Gordon,,,,,,,Q,Q,,,Q,O,O,Q,,,,,,,,,,,,,,,,,
Hunter Henry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,,,,,,
Chris Landrum,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,
Corey Liuget,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Craig Mager,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Mebane,,,,,,,,,,,Q,O,D,D,,,,,92.0,33.0,RDT,12.0,12.0,311.0,2020-06-01,California,1985-01-15,11,6.0,Seattle Seahawks / 3rd / 85th pick / 2007,4500000.0
Russell Okung,,,,,Q,Q,,,,,,,,,,,,,76.0,30.0,LT,15.0,15.0,310.0,2020-06-05,Oklahoma St.,1988-10-07,8,9.0,Seattle Seahawks / 1st / 6th pick / 2010,12000000.0
Denzel Perryman,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,52.0,26.0,MLB,9.0,9.0,240.0,2020-05-11,Miami (FL),1992-12-05,3,5.0,San Diego Chargers / 2nd / 48th pick / 2015,1048836.0
Darius Philon,,,,,,,,,Q,,,,,,,,,,93.0,24.0,LDT,16.0,13.0,286.0,2020-06-01,Arkansas,1994-01-22,3,7.0,San Diego Chargers / 6th / 192nd pick / 2015,705000.0
Austin Roberts,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Artavis Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Caleb Sturgis,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Jason Verrett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jaylen Watkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Derek Watt,,,Q,,,,,,,,,,,,,,,Q,34.0,26.0,fb,16.0,5.0,234.0,2020-06-02,Wisconsin,1992-11-07,2,0.0,San Diego Chargers / 6th / 198th pick / 2016,630000.0
Kyzir White,,,,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trevor Williams,,,,,,,,,Q,O,,,IR,IR,IR,IR,IR,IR,24.0,25.0,lcb,9.0,7.0,191.0,2020-05-11,Penn St.,1993-09-15,2,2.0,,630000.0
Tyrell Williams,,,,,,,,,,,Q,Q,,,,,,,16.0,26.0,WR,16.0,10.0,205.0,2020-06-04,Western Oregon,1992-02-12,3,6.0,,2914000.0
Kyle Wilson,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
