Player ,09/08vs. IND,09/15vs. DET,09/22vs. HOU,09/29vs. MIA,10/06vs. DEN,10/13vs. PIT,10/20vs. TEN,10/27vs. CHI,11/03vs. GNB,11/07vs. OAK,11/18vs. KAN,12/01vs. DEN,12/08vs. JAX,12/15vs. MIN,12/22vs. OAK,12/29vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Nasir Adderley,,,,,D,D,O,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Keenan Allen,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Michael Badgley,D,Q,Q,O,D,D,Q,Q,,,,,,,,,,,,,,,,,,,,,
Travis Benjamin,,,,D,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cortez Broughton,,,,,,,,O,O,O,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jatavis Brown,D,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Cantrell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sean Culkin,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Geremy Davis,D,Q,,,,,,,Q,D,D,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Davis,,D,D,,,,,,,,,,,,,,43.0,24.0,LCB,12.0,12.0,196.0,2020-06-02,BYU,1995-01-06,2,5.0,,645000.0
Thomas Davis,,,,,Q,,,,,,,,,,,,58.0,36.0,LLB,16.0,16.0,235.0,2020-06-01,Georgia,1983-03-22,14,7.0,Carolina Panthers / 1st / 14th pick / 2005,1250000.0
Nick Dzubnar,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Virgil Green,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,,,
Casey Hayward,,,,Q,,,,,,,,,,,,,26.0,30.0,RCB,16.0,16.0,192.0,2020-05-11,Vanderbilt,1989-09-09,7,6.0,Green Bay Packers / 2nd / 62nd pick / 2012,8000000.0
Hunter Henry,,O,O,O,O,Q,,,,,,,,,,,86.0,25.0,TE,12.0,12.0,250.0,2020-06-05,Arkansas,1994-12-07,3,5.0,San Diego Chargers / 2nd / 35th pick / 2016,1170042.0
Melvin Ingram,,,,,Q,Q,D,Q,,,,,,,,,,,,,,,,,,,,,
