Player ,09/13vs. CIN,09/20vs. KAN,09/27vs. CAR,10/04vs. TAM,10/12vs. NOR,10/25vs. JAX,11/01vs. DEN,11/08vs. LVR,11/15vs. MIA,11/22vs. NYJ,11/29vs. BUF,12/06vs. NWE,12/13vs. ATL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jahleel Addae,,,,,,,,Q,,,,,,36.0,30.0,S,9.0,0.0,195.0,2020-05-10,Central Michigan,1990-01-24,7,,,864706.0
Keenan Allen,,,,,,,,Q,,,,,,13.0,28.0,WR,13.0,12.0,211.0,2020-06-02,California,1992-04-27,7,,San Diego Chargers / 3rd / 76th pick / 2013,5500000.0
Kalen Ballage,,,,,,,,,,,Q,,,31.0,25.0,RB,5.0,2.0,231.0,2020-06-02,Arizona St.,1995-12-22,2,,Miami Dolphins / 4th / 131st pick / 2018,
Asmar Bilal,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Joey Bosa,,,,,Q,,,D,O,,,,,97.0,25.0,DE,11.0,10.0,280.0,2020-06-05,Ohio St.,1995-07-11,4,,San Diego Chargers / 1st / 3rd pick / 2016,1000000.0
Bryan Bulaga,Q,,Q,O,O,Q,Q,,Q,,,,,75.0,31.0,T,9.0,9.0,314.0,2020-06-05,Iowa,1989-03-21,10,,Green Bay Packers / 1st / 23rd pick / 2010,1500000.0
Austin Ekeler,,,,,IR,IR,IR,IR,IR,IR,IR,,,30.0,25.0,RB,7.0,7.0,200.0,2020-05-10,Western St. (CO),1995-05-17,3,,,1500000.0
Brandon Facyson,,,,,,,,Q,C19,C19,C19,,,28.0,26.0,CB,10.0,0.0,197.0,2020-06-02,Virginia Tech,1994-09-08,2,,,750000.0
Virgil Green,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Groy,,,,,,,C19,C19,C19,C19,C19,C19,C19,,,,,,,,,,,,,
Chris Harris Jr.,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,25.0,31.0,CB,6.0,6.0,199.0,2020-05-10,Kansas,1989-06-18,9,,,2000000.0
Casey Hayward,,,,,,,,Q,,,O,,,26.0,31.0,DB,12.0,11.0,192.0,2020-05-11,Vanderbilt,1989-09-09,8,,Green Bay Packers / 2nd / 62nd pick / 2012,9750000.0
K.J. Hill,,,,,,Q,,,,,,,,84.0,23.0,WR,12.0,0.0,196.0,2000-06-01,Ohio St.,1997-09-15,Rook,,Los Angeles Chargers / 7th / 220th pick / 2020,610000.0
Melvin Ingram,,,D,IR,IR,IR,,,,,O,IR,IR,,,,,,,,,,,,,
Justin Jackson,,D,D,,,Q,,,IR,IR,IR,IR,IR,22.0,24.0,RB,7.0,4.0,199.0,2000-06-01,Northwestern,1996-04-22,2,,Los Angeles Chargers / 7th / 251st pick / 2018,750000.0
Derwin James,,,,,,,,,,,IR,,IR,,,,,,,,,,,,,
Rayshawn Jenkins,,,Q,Q,,,,,,,,,,23.0,26.0,FS,13.0,13.0,220.0,2020-06-01,Miami (FL),1994-01-25,3,,Los Angeles Chargers / 4th / 113th pick / 2017,2133000.0
Justin Jones,,,O,IR,IR,IR,,,,,,,,93.0,24.0,DT,10.0,9.0,309.0,2020-06-03,North Carolina St.,1996-08-28,2,,Los Angeles Chargers / 3rd / 84th pick / 2018,679412.0
Desmond King,,,,,,,O,,,,,,,,,,,,,,,,,,,
Jessie Lemonier,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Cole Mazza,,,,,,,,,,Q,,,,45.0,25.0,LS,13.0,0.0,247.0,2020-06-01,Alabama,1995-02-14,1,,,675000.0
Storm Norton,,,,Q,,D,Q,,,,,,,74.0,26.0,OT,3.0,1.0,317.0,2020-06-07,Toledo,1994-05-16,2,,,675000.0
Uchenna Nwosu,,,,,,,,,,,O,,,42.0,24.0,OLB,12.0,4.0,251.0,2020-06-02,USC,1996-12-28,2,,Los Angeles Chargers / 2nd / 48th pick / 2018,1003598.0
Trey Pipkins,,,,,,,C19,,,,,,C19,,,,,,,,,,,,,
Troymaine Pope,,,,,,,,D,Q,,,,,35.0,27.0,RB,6.0,0.0,205.0,2020-05-09,Jacksonville St.,1993-11-26,4,,,
Mike Pouncey,O,IR,IR,IR,IR,,,,,,IR,,,,,,,,,,,,,,,
Isaac Rochell,,,,,,,,Q,,,,,,98.0,25.0,DE,13.0,3.0,280.0,2020-06-04,Notre Dame,1995-04-22,3,,Los Angeles Chargers / 7th / 225th pick / 2017,825000.0
Tyree St. Louis,,,,Q,,,,,,,,,,73.0,23.0,T,4.0,2.0,315.0,2020-06-05,Miami (FL),1997-08-05,Rook,,,610000.0
Tyrod Taylor,,,O,O,O,Q,Q,,,Q,,,,5.0,31.0,QB,2.0,1.0,217.0,2020-06-01,Virginia Tech,1989-08-03,9,,Baltimore Ravens / 6th / 180th pick / 2011,5000000.0
Drue Tranquill,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trai Turner,Q,,Q,O,O,O,O,Q,Q,,,,,70.0,27.0,OG,6.0,6.0,315.0,2020-06-03,LSU,1993-06-14,6,,Carolina Panthers / 3rd / 92nd pick / 2014,8500000.0
Nick Vigil,,,D,Q,,,,,,,,,,59.0,27.0,ILB,12.0,1.0,235.0,2020-06-02,Utah St.,1993-08-20,4,,Cincinnati Bengals / 3rd / 87th pick / 2016,1900000.0
Kyzir White,,,,,,,,,,C19,C19,C19,C19,44.0,24.0,S,10.0,9.0,218.0,2020-06-02,West Virginia,1996-03-24,2,,Los Angeles Chargers / 4th / 119th pick / 2018,750000.0
Mike Williams,Q,,,O,Q,,,,,,,,,81.0,26.0,WR,12.0,9.0,220.0,2020-06-04,Clemson,1994-10-04,3,,Los Angeles Chargers / 1st / 7th pick / 2017,825000.0
