Player ,09/13vs. GNB,09/20vs. ARI,09/27vs. SEA,10/04vs. OAK,10/11vs. KAN,10/18vs. DET,11/01vs. MIN,11/09vs. SDG,11/15vs. STL,11/22vs. DEN,11/26vs. GNB,12/06vs. SFO,12/13vs. WAS,12/20vs. MIN,12/27vs. TAM,01/03vs. DET,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Sam Acho,O,P,,,,,,,,,,,Q,,,,49.0,27.0,LOLB,15.0,7.0,259.0,2020-06-03,Texas,1988-09-06,4,4.0,Arizona Cardinals / 4th / 103rd pick / 2011,550588.0
Adrian Amos,,,,,,,,,,,,,,,Q,Q,38.0,22.0,SS,16.0,16.0,214.0,2000-06-01,Penn St.,1993-04-29,Rook,6.0,Chicago Bears / 5th / 142nd pick / 2015,493070.0
Alan Ball,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Josh Bellamy,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Martellus Bennett,,,,,,Q,,,,,O,P,IR,IR,IR,IR,83.0,28.0,TE,11.0,11.0,275.0,2020-06-06,Texas A&M,1987-03-10,7,4.0,Dallas Cowboys / 2nd / 61st pick / 2008,6125000.0
Jonathan Bostic,Q,O,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermon Bushrod,P,P,,O,O,Q,Q,Q,Q,P,,,,,,,,,,,,,,,,,,,
Bryce Callahan,,,,,,,,Q,,,,,Q,D,Q,Q,,,,,,,,,,,,,
Ka'Deem Carey,,,,,,,,,,,O,P,,,,,,,,,,,,,,,,,
Jimmy Clausen,P,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Jay Cutler,,,O,Q,Q,,,,,,,P,,,,,6.0,32.0,QB,15.0,15.0,231.0,2020-06-03,Vanderbilt,1983-04-29,9,12.0,Denver Broncos / 1st / 11th pick / 2006,16500000.0
Tayo Fabuluje,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Ego Ferguson,,Q,Q,Q,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt Forte,,,P,,,,,O,Q,Q,Q,,,,,Q,22.0,30.0,RB,13.0,13.0,221.0,2020-06-01,Tulane,1985-12-10,7,9.0,Chicago Bears / 2nd / 44th pick / 2008,9200000.0
Bruce Gaston,,,,,,,Q,,,,,Q,,,,,,,,,,,,,,,,,
Eddie Goldman,P,,,,,,,,,,,,,,,IR,91.0,21.0,NT,15.0,12.0,318.0,2020-06-03,Florida St.,1994-01-06,Rook,6.0,Chicago Bears / 2nd / 39th pick / 2015,1033875.0
Hroniss Grasu,,,,,,,Q,D,Q,P,,,,,,D,55.0,24.0,C,8.0,8.0,301.0,2020-06-03,Oregon,1991-08-12,Rook,4.0,Chicago Bears / 3rd / 71st pick / 2015,625479.0
Alshon Jeffery,Q,Q,O,Q,Q,Q,,,Q,Q,Q,,,Q,IR,IR,17.0,25.0,WR,9.0,8.0,218.0,2020-06-03,South Carolina,1990-02-14,3,7.0,Chicago Bears / 2nd / 45th pick / 2012,1447036.0
Jarvis Jenkins,,,,,,,,,,,,,,,,Q,96.0,27.0,RDE,15.0,15.0,300.0,2020-06-04,Clemson,1988-04-24,4,7.0,Washington Redskins / 2nd / 41st pick / 2011,825000.0
Kyle Long,,,,,Q,,,,,,,P,,,,,,,,,,,,,,,,,
Sherrod Martin,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Shea McClellin,,,,,Q,D,D,Q,Q,Q,,,P,,D,Q,50.0,26.0,LILB,12.0,11.0,250.0,2020-06-03,Boise St.,1989-08-01,3,5.0,Chicago Bears / 1st / 19th pick / 2012,2629263.0
Sherrick McManis,,P,,,Q,,,,,,,,,Q,,,,,,,,,,,,,,,
Pernell McPhee,,Q,Q,,Q,Q,P,Q,Q,Q,Q,P,D,Q,Q,Q,92.0,27.0,ROLB,14.0,12.0,265.0,2020-06-03,Mississippi St.,1988-12-17,4,6.0,Baltimore Ravens / 5th / 165th pick / 2011,6675000.0
Cameron Meredith,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
Zach Miller,,,,,,,,Q,,,,Q,Q,Q,,Q,86.0,31.0,TE,15.0,14.0,245.0,2020-06-05,Nebraska-Omaha,1984-10-04,6,4.0,Jacksonville Jaguars / 6th / 180th pick / 2009,660000.0
Terrance Mitchell,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
Will Montgomery,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Mundy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Pat O'Donnell,,,,Q,P,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Omameh,,,,,Q,Q,P,,,,,,,,,,65.0,26.0,RG,14.0,9.0,327.0,2020-06-04,Michigan,1989-12-29,2,5.0,,585000.0
Senorise Perry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tracy Porter,O,O,Q,,,,,,Q,,,,Q,Q,Q,Q,21.0,29.0,LCB,14.0,13.0,185.0,2020-05-11,Indiana,1986-08-11,7,5.0,New Orleans Saints / 2nd / 40th pick / 2008,585000.0
Jay Ratliff,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
LaRoy Reynolds,,,,,,,,P,,,Q,,,,,,,,,,,,,,,,,,
Jacquizz Rodgers,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Antrel Rolle,,,,,D,D,Q,,Q,IR,IR,IR,IR,IR,IR,IR,26.0,33.0,FS,7.0,7.0,206.0,2000-06-01,Miami (FL),1982-12-16,10,3.0,Arizona Cardinals / 1st / 8th pick / 2005,5000000.0
Eddie Royal,Q,,Q,,Q,Q,,O,O,O,O,Q,Q,,Q,D,19.0,29.0,WR,9.0,9.0,182.0,2020-05-10,Virginia Tech,1986-05-21,7,2.0,Denver Broncos / 2nd / 42nd pick / 2008,5500000.0
