Player ,09/11vs. HOU,09/19vs. PHI,09/25vs. DAL,10/02vs. DET,10/09vs. IND,10/16vs. JAX,10/20vs. GNB,10/31vs. MIN,11/13vs. TAM,11/20vs. NYG,11/27vs. TEN,12/04vs. SFO,12/11vs. DET,12/18vs. GNB,12/24vs. WAS,01/01vs. MIN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Sam Acho,,,,,,Q,Q,,,,,,,,,,49.0,28.0,lolb,16.0,6.0,259.0,2020-06-03,Texas,1988-09-06,5,3.0,Arizona Cardinals / 4th / 103rd pick / 2011,680000.0
Mike Adams,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Adrian Amos,,,Q,,,,,,,,,Q,,,,,38.0,23.0,FS,15.0,14.0,214.0,2000-06-01,Penn St.,1993-04-29,1,5.0,Chicago Bears / 5th / 142nd pick / 2015,583070.0
Jonathan Anderson,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Johnthan Banks,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,
Lamin Barrow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nick Becton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Bellamy,Q,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Brandon Boykin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jonathan Bullard,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Deon Bush,Q,,,,,,,,,,,,,,,Q,26.0,23.0,ss,11.0,6.0,200.0,2000-06-01,Miami (FL),1993-08-14,Rook,2.0,Chicago Bears / 4th / 124th pick / 2016,581554.0
Bryce Callahan,Q,,Q,,,Q,Q,Q,Q,Q,,,,Q,Q,Q,37.0,25.0,DB,11.0,10.0,188.0,2020-05-09,Rice,1991-10-23,1,3.0,,525000.0
Ka'Deem Carey,,,D,D,Q,Q,Q,,,,,,,,Q,,,,,,,,,,,,,,
Jay Cutler,,,D,D,D,D,D,,,,IR,,IR,IR,IR,IR,6.0,33.0,qb,5.0,5.0,231.0,2020-06-03,Vanderbilt,1983-04-29,10,2.0,Denver Broncos / 1st / 11th pick / 2006,17000000.0
Ego Ferguson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Leonard Floyd,,,,,Q,Q,Q,,,,O,Q,,,,D,94.0,24.0,LOLB,12.0,12.0,240.0,2020-06-05,Georgia,1992-09-08,Rook,6.0,Chicago Bears / 1st / 9th pick / 2016,2869611.0
Jerrell Freeman,,,,,,Q,Q,,,,,,,,,,50.0,30.0,LILB,12.0,12.0,235.0,2000-06-01,Mary Hardin-Baylor,1986-05-01,4,6.0,,4000000.0
Kyle Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eddie Goldman,,,D,D,D,D,D,D,Q,Q,,,,IR,IR,IR,91.0,22.0,nt,6.0,5.0,318.0,2020-06-03,Florida St.,1994-01-06,1,2.0,Chicago Bears / 2nd / 39th pick / 2015,1292344.0
Hroniss Grasu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Deiondre' Hall,,,,,D,O,O,O,O,D,Q,Q,,,,,,,,,,,,,,,,,
Lamarr Houston,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brian Hoyer,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,2.0,31.0,qb,6.0,5.0,216.0,2020-06-02,Michigan St.,1985-10-13,7,4.0,,2000000.0
Christian Jones,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Harold Jones-Quartey,,,,Q,,,,,,,,,,,,,29.0,23.0,SS,16.0,12.0,210.0,2020-05-11,Findlay,1993-08-06,1,4.0,,525000.0
Eric Kush,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,
Nick Kwiatkoski,,,,,Q,,,,,,,,,,,,44.0,23.0,lilb,14.0,7.0,243.0,2020-06-02,West Virginia,1993-05-26,Rook,4.0,Chicago Bears / 4th / 113th pick / 2016,593780.0
Jeremy Langford,,,,D,D,D,D,Q,,,,,,,,,,,,,,,,,,,,,
Paul Lasike,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cre'von LeBlanc,,,,,,,,,,,,,,,Q,Q,22.0,22.0,RCB,13.0,9.0,190.0,2020-05-10,Florida Atlantic,1994-07-25,Rook,4.0,,450000.0
Charles Leno Jr.,,,,,Q,,,,,,,,,,,,72.0,25.0,LT,16.0,16.0,307.0,2020-06-03,Boise St.,1991-10-09,2,7.0,Chicago Bears / 7th / 246th pick / 2014,611628.0
Kyle Long,Q,,,,,Q,,IR,,IR,IR,IR,IR,IR,IR,IR,75.0,28.0,RG,8.0,8.0,332.0,2020-06-06,Oregon,1988-12-05,3,3.0,Chicago Bears / 1st / 20th pick / 2013,4250000.0
Danny Mason,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bobby Massie,,,Q,,,Q,,,,D,,,,,,Q,70.0,27.0,RT,15.0,15.0,325.0,2020-06-06,Mississippi,1989-08-01,4,7.0,Arizona Cardinals / 4th / 112th pick / 2012,5818750.0
Sherrick McManis,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Pernell McPhee,IR,IR,IR,IR,IR,IR,,Q,Q,Q,,,,,,Q,,,,,,,,,,,,,
Cameron Meredith,,,,,,,,Q,,,,,,,,,81.0,24.0,WR,14.0,10.0,207.0,2020-06-03,Illinois St.,1992-09-21,1,6.0,,527000.0
Zach Miller,,,,,Q,Q,Q,,,,IR,IR,IR,IR,IR,IR,86.0,32.0,TE,10.0,8.0,245.0,2020-06-05,Nebraska-Omaha,1984-10-04,7,3.0,Jacksonville Jaguars / 6th / 180th pick / 2009,2968750.0
Tracy Porter,,,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,Q,21.0,30.0,LCB,16.0,15.0,185.0,2020-05-11,Indiana,1986-08-11,8,5.0,New Orleans Saints / 2nd / 40th pick / 2008,3868750.0
Chris Prosinski,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
MyCole Pruitt,O,,Q,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Roy Robertson-Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eddie Royal,,,,,Q,Q,O,D,Q,Q,Q,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Connor Shaw,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Sitton,,,Q,Q,,Q,D,Q,,Q,D,Q,,,,,,,,,,,,,,,,,
Will Sutton,,,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,93.0,25.0,NT,8.0,6.0,290.0,2020-06-01,Arizona St.,1991-10-03,2,3.0,Chicago Bears / 3rd / 82nd pick / 2014,761517.0
Deonte Thompson,Q,,,,,,,,,,,,,,,,14.0,27.0,wr,16.0,6.0,204.0,2000-06-01,Florida,1989-02-14,4,2.0,,680000.0
