Player ,09/10vs. ATL,09/17vs. TAM,09/24vs. PIT,09/28vs. GNB,10/09vs. MIN,10/15vs. BAL,10/22vs. CAR,10/29vs. NOR,11/12vs. GNB,11/19vs. DET,11/26vs. PHI,12/03vs. SFO,12/10vs. CIN,12/16vs. DET,12/24vs. CLE,12/31vs. MIN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Adrian Amos,,,,,,,,,,,,D,D,Q,,,38.0,24.0,SS,13.0,10.0,214.0,2000-06-01,Penn St.,1993-04-29,2,4.0,Chicago Bears / 5th / 142nd pick / 2015,615000
Prince Amukamara,D,Q,,,,,,,,,,,,,,,20.0,28.0,LCB,14.0,12.0,206.0,2000-06-01,Nebraska,1989-06-06,6,5.0,New York Giants / 1st / 19th pick / 2011,3500000
Josh Bellamy,,Q,,,,,,,,,D,,,,,,15.0,28.0,WR,15.0,7.0,208.0,2000-06-01,Louisville,1989-05-18,5,3.0,,775000
Deon Bush,,Q,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Bryce Callahan,,,,,,,,,Q,Q,Q,Q,,,,,37.0,26.0,db,12.0,6.0,188.0,2020-05-09,Rice,1991-10-23,2,4.0,,615000
Ka'Deem Carey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tom Compton,,,Q,,,,,,Q,Q,Q,,,,Q,,,,,,,,,,,,,,
Marcus Cooper,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Benny Cunningham,,D,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,
Quintin Demps,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Leonard Floyd,,Q,,,,,,,,,IR,IR,IR,IR,IR,IR,94.0,25.0,ROLB,10.0,10.0,240.0,2020-06-05,Georgia,1992-09-08,1,6.0,Chicago Bears / 1st / 9th pick / 2016,1167403
Jerrell Freeman,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eddie Goldman,,,,,,,,,,,,,D,Q,,,91.0,23.0,NT,15.0,15.0,318.0,2020-06-03,Florida St.,1994-01-06,2,8.0,Chicago Bears / 2nd / 39th pick / 2015,951938
Hroniss Grasu,,,,Q,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,
Deiondre' Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,,,,,,,,,,,,
Akiem Hicks,,,,,,,,,,,Q,,,,,,96.0,28.0,LDE,16.0,16.0,352.0,2020-06-04,Regina (Canada),1989-11-16,5,10.0,New Orleans Saints / 3rd / 89th pick / 2012,7000000
Lamarr Houston,IR,IR,IR,IR,IR,,IR,,,,IR,,,,,,,,,,,,,,,,,,
DeAndre Houston-Carson,,,,,,,,,,Q,D,Q,Q,Q,,Q,,,,,,,,,,,,,
