Player ,09/09vs. GNB,09/17vs. SEA,09/23vs. ARI,09/30vs. TAM,10/14vs. MIA,10/21vs. NWE,10/28vs. NYJ,11/04vs. BUF,11/11vs. DET,11/18vs. MIN,11/22vs. DET,12/02vs. NYG,12/09vs. LAR,12/16vs. GNB,12/23vs. SFO,12/30vs. MIN,01/06vs. PHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Sam Acho,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Prince Amukamara,,,,O,,,,,,,,,,,,,,20.0,29.0,RCB,15.0,15.0,206.0,2000-06-01,Nebraska,1989-06-06,7,6.0,New York Giants / 1st / 19th pick / 2011,3500000.0
Ben Braunecker,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,
Daniel Brown,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Deon Bush,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,
Bryce Callahan,,,,,,Q,,,,,,,,IR,IR,IR,IR,37.0,27.0,DB,13.0,10.0,188.0,2020-05-09,Rice,1991-10-23,3,4.0,,1907000.0
Marcus Cooper,,,O,O,O,D,,,,,,,,,,,,,,,,,,,,,,,,
Benny Cunningham,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
Akiem Hicks,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
DeAndre Houston-Carson,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Jackson,,,,,,,,,,,,,Q,Q,D,D,,,,,,,,,,,,,,
Eric Kush,,,,,,,O,,,,,,,,,,,64.0,29.0,lg,15.0,7.0,317.0,2020-06-04,California (PA),1989-09-09,5,4.0,Kansas City Chiefs / 6th / 170th pick / 2013,1400000.0
Kyle Long,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,75.0,30.0,RG,8.0,8.0,332.0,2020-06-06,Oregon,1988-12-05,5,4.0,Chicago Bears / 1st / 20th pick / 2013,2248158.0
Aaron Lynch,,,,,,,,,,,O,,,,D,D,,,,,,,,,,,,,,
Khalil Mack,,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,
Sherrick McManis,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,
Anthony Miller,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bilal Nichols,,,,,,,,Q,Q,Q,,Q,Q,Q,Q,Q,,98.0,22.0,rde,14.0,6.0,313.0,2020-06-03,Delaware,1996-09-14,Rook,5.0,Chicago Bears / 5th / 145th pick / 2018,480000.0
Allen Robinson,,,,,,Q,Q,Q,,,,,,Q,,D,,12.0,25.0,WR,13.0,12.0,220.0,2020-06-02,Penn St.,1993-08-24,4,7.0,Jacksonville Jaguars / 2nd / 61st pick / 2014,4000000.0
Adam Shaheen,IR,IR,IR,IR,IR,IR,IR,IR,IR,,O,,,,,,,,,,,,,,,,,,,
Dion Sims,,,,,,,,,IR,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mitchell Trubisky,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,
Andrew Trumbetti,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Javon Wims,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
