Player ,09/05vs. GNB,09/15vs. DEN,09/23vs. WAS,09/29vs. MIN,10/06vs. OAK,10/20vs. NOR,10/27vs. LAC,11/03vs. PHI,11/10vs. DET,11/17vs. LAR,11/24vs. NYG,11/28vs. DET,12/05vs. DAL,12/15vs. GNB,12/22vs. KAN,12/29vs. MIN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Prince Amukamara,,,,,,,,,,,,,D,,Q,Q,20.0,30.0,CB,15.0,15.0,206.0,2000-06-01,Nebraska,1989-06-06,8,6.0,New York Giants / 1st / 19th pick / 2011,8500000.0
Blake Blackmar,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Braunecker,,,,,,,,,,,,O,O,O,IR,IR,,,,,,,,,,,,,
Trey Burton,Q,Q,Q,Q,,,,,,O,IR,IR,IR,IR,IR,IR,80.0,28.0,te,8.0,5.0,238.0,2020-06-02,Florida,1991-10-29,5,1.0,,6700000.0
T.J. Clemmings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rashaad Coward,Q,,,,,,,,,,,,,,,D,69.0,25.0,RG,13.0,10.0,326.0,2020-06-05,Old Dominion,1994-11-06,2,4.0,,645000.0
Taylor Gabriel,,,,O,O,,,,,,,O,O,O,O,O,18.0,28.0,wr,9.0,7.0,168.0,2020-05-07,Abilene Christian,1991-02-17,5,3.0,,5500000.0
Eddie Goldman,,Q,,,,,,,Q,,,,,,,O,91.0,25.0,NT,15.0,15.0,318.0,2020-06-03,Florida St.,1994-01-06,4,7.0,Chicago Bears / 2nd / 39th pick / 2015,2250000.0
Akiem Hicks,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,O,96.0,30.0,lde,5.0,5.0,352.0,2020-06-04,Regina (Canada),1989-11-16,7,3.0,New Orleans Saints / 3rd / 89th pick / 2012,8000000.0
Isaiah Irving,,,,,,,,O,O,O,Q,,,,,,,,,,,,,,,,,,
Joel Iyiegbuniwe,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Jackson,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Kwiatkoski,,Q,,,,,,,,,,,,,,,44.0,26.0,IL,16.0,8.0,243.0,2020-06-02,West Virginia,1993-05-26,3,6.0,Chicago Bears / 4th / 113th pick / 2016,2025000.0
Ted Larsen,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,,
Kyle Long,,,Q,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bobby Massie,,,,,,,,,,,,O,O,O,O,D,70.0,30.0,RT,10.0,10.0,325.0,2020-06-06,Mississippi,1989-08-01,7,4.0,Arizona Cardinals / 4th / 112th pick / 2012,2400000.0
Sherrick McManis,,,,,,,,,,,,O,IR,IR,IR,IR,,,,,,,,,,,,,
David Montgomery,,,,,,,,,,Q,,,,,,,32.0,22.0,RB,16.0,8.0,222.0,2020-05-10,Iowa St.,1997-06-07,Rook,5.0,Chicago Bears / 3rd / 73rd pick / 2019,495000.0
Bilal Nichols,Q,Q,O,O,O,Q,Q,,,,,,,,,,98.0,23.0,RDE,13.0,12.0,313.0,2020-06-03,Delaware,1996-09-14,1,6.0,Chicago Bears / 5th / 145th pick / 2018,570000.0
Eddy Pineiro,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Dax Raymond,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Robertson-Harris,,,,,,,,,,,,,,Q,,,95.0,26.0,LDE,15.0,7.0,292.0,2020-06-05,Texas-El Paso,1993-07-23,2,5.0,,645000.0
Adam Shaheen,,,,,,,,,,O,O,O,IR,IR,IR,IR,,,,,,,,,,,,,
Joshua Simmons,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Roquan Smith,,,,,,,,,,,,,,IR,IR,IR,58.0,22.0,RILB,12.0,12.0,230.0,2000-06-01,Georgia,1997-04-08,1,7.0,Chicago Bears / 1st / 8th pick / 2018,1319871.0
Danny Trevathan,,,,,,,,,,O,O,O,O,O,IR,IR,59.0,29.0,LILB,9.0,9.0,237.0,2000-06-01,Kentucky,1990-03-24,7,5.0,Denver Broncos / 6th / 188th pick / 2012,5800000.0
Mitchell Trubisky,,,,,O,Q,,,,,,,,,,,10.0,25.0,QB,15.0,15.0,215.0,2020-06-02,North Carolina,1994-08-20,2,8.0,Chicago Bears / 1st / 2nd pick / 2017,645000.0
Javon Wims,,,,,,,,,,,,,,Q,,,83.0,25.0,wr,16.0,6.0,221.0,2020-06-02,Georgia,1994-09-11,1,1.0,Chicago Bears / 7th / 224th pick / 2018,570000.0
