Player ,09/13vs. DET,09/20vs. NYG,09/27vs. ATL,10/04vs. IND,10/08vs. TAM,10/18vs. CAR,10/26vs. LAR,11/01vs. NOR,11/08vs. TEN,11/16vs. MIN,11/29vs. GNB,12/06vs. DET,12/13vs. HOU,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Alex Bars,,,,,,Q,,,,,,,,64.0,25.0,T,13.0,5.0,314.0,2020-06-05,Notre Dame,1995-09-08,1,,,675000.0
Artie Burns,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Deon Bush,,,,,O,O,Q,,,C19,,,,26.0,27.0,FS,10.0,0.0,200.0,2000-06-01,Miami (FL),1993-08-14,4,,Chicago Bears / 4th / 124th pick / 2016,1262500.0
DeAndre Carter,,,,,,,,,,,,,C19,,,,,,,,,,,,,
Darion Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tarik Cohen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rashaad Coward,,,,,,,Q,,,,Q,,,69.0,26.0,DT,13.0,5.0,326.0,2020-06-05,Old Dominion,1994-11-06,3,,,825000.0
James Daniels,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mario Edwards,,,Q,,,,,,,,,,,97.0,26.0,DE,12.0,0.0,280.0,2020-06-03,Florida St.,1994-01-25,5,,Oakland Raiders / 2nd / 35th pick / 2015,910000.0
Nick Foles,,,,,,,,,,,D,,,9.0,31.0,QB,8.0,7.0,243.0,2020-06-06,Arizona,1989-01-20,8,,Philadelphia Eagles / 3rd / 88th pick / 2012,4000000.0
Eddie Goldman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dwayne Harris,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Akiem Hicks,,,,,,,,,,,Q,,,96.0,31.0,DE,12.0,12.0,352.0,2020-06-04,Regina (Canada),1989-11-16,8,,New Orleans Saints / 3rd / 89th pick / 2012,10200000.0
Germain Ifedi,Q,,,,,,,,C19,,,,,74.0,26.0,OT,13.0,13.0,325.0,2020-06-05,Texas A&M,1994-06-02,4,,Seattle Seahawks / 1st / 31st pick / 2016,910000.0
Eddie Jackson,,,,,,,,Q,,,C19,,,39.0,27.0,SS,13.0,13.0,204.0,2000-06-01,Alabama,1993-12-10,3,,Chicago Bears / 4th / 112th pick / 2017,1050000.0
John Jenkins,,,IR,IR,IR,IR,,,O,O,,,,90.0,31.0,DT,8.0,0.0,327.0,2020-06-03,Georgia,1989-07-11,7,,New Orleans Saints / 3rd / 82nd pick / 2013,1050000.0
Michael Joseph,IR,IR,IR,IR,IR,IR,IR,C19,C19,IR,IR,IR,IR,,,,,,,,,,,,,
Cole Kmet,,,,,,,,,Q,Q,,,,85.0,21.0,TE,13.0,6.0,262.0,2020-06-06,Notre Dame,1999-03-10,Rook,,Chicago Bears / 2nd / 43rd pick / 2020,610000.0
Charles Leno Jr.,,,,,,,,,,,Q,,,72.0,29.0,LT,13.0,13.0,307.0,2020-06-03,Boise St.,1991-10-09,6,,Chicago Bears / 7th / 246th pick / 2014,7900000.0
Jordan Lucas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Khalil Mack,Q,Q,Q,Q,,,Q,Q,,,,,,52.0,29.0,OLB,13.0,13.0,269.0,2020-06-03,Buffalo,1991-02-22,6,,Oakland Raiders / 1st / 5th pick / 2014,13300000.0
Bobby Massie,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sherrick McManis,,,,D,D,Q,O,Q,,O,Q,,,27.0,33.0,DB,8.0,0.0,203.0,2020-05-11,Northwestern,1987-12-19,10,,Houston Texans / 5th / 144th pick / 2010,1050000.0
Barkevious Mingo,,,,,,,,,,Q,,,,50.0,30.0,OLB,13.0,3.0,235.0,2020-06-05,LSU,1990-10-04,7,,Cleveland Browns / 1st / 6th pick / 2013,1050000.0
David Montgomery,Q,,,,,,,,,O,,,,32.0,23.0,RB,12.0,11.0,222.0,2020-05-10,Iowa St.,1997-06-07,1,,Chicago Bears / 3rd / 73rd pick / 2019,684136.0
Darnell Mooney,,,,,Q,,,,,,,,,11.0,23.0,WR,13.0,7.0,176.0,2020-05-10,Tulane,1997-10-29,Rook,,Chicago Bears / 5th / 173rd pick / 2020,610000.0
Sam Mustipher,,,,,,,,,O,D,,,,67.0,24.0,C,6.0,4.0,311.0,2020-06-02,Notre Dame,1996-08-13,Rook,,,430584.0
Cordarrelle Patterson,Q,,,,,,,Q,,,,,,84.0,29.0,WR,13.0,3.0,238.0,2020-06-02,Tennessee,1991-03-17,7,,Minnesota Vikings / 1st / 29th pick / 2013,4150000.0
Eddy Pineiro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Robert Quinn,D,Q,,,,,,,,,,,,94.0,30.0,DE,12.0,10.0,257.0,2020-06-04,North Carolina,1990-05-18,9,,St. Louis Rams / 1st / 14th pick / 2011,3000000.0
Tre Roberson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Roy Robertson-Harris,,,,,,,,,O,IR,IR,IR,IR,,,,,,,,,,,,,
Allen Robinson,,,,,,,,,,Q,,,,12.0,27.0,WR,13.0,13.0,220.0,2020-06-02,Penn St.,1993-08-24,6,,Jacksonville Jaguars / 2nd / 61st pick / 2014,10900000.0
Lachavious Simmons,,,,,,,,,,C19,,,,73.0,24.0,G,,,,,Tennessee St.,1996-09-12,Rook,,Chicago Bears / 7th / 227th pick / 2020,322941.0
Buster Skrine,Q,,,,,,Q,,,,Q,,,24.0,31.0,DB,12.0,3.0,187.0,2020-05-09,Chattanooga,1989-04-26,9,,Cleveland Browns / 5th / 137th pick / 2011,4650000.0
Jason Spriggs,Q,,,,,,Q,,C19,C19,,,,78.0,26.0,OT,5.0,0.0,301.0,2020-06-06,Indiana,1994-05-17,4,,Green Bay Packers / 2nd / 48th pick / 2016,825000.0
Mitchell Trubisky,,,,,,,,,O,O,,,,10.0,26.0,QB,7.0,6.0,215.0,2020-06-02,North Carolina,1994-08-20,3,,Chicago Bears / 1st / 2nd pick / 2017,825000.0
Brent Urban,,,,,,Q,,,,,,,,92.0,29.0,DE,13.0,5.0,300.0,2020-06-07,Virginia,1991-05-05,6,,Baltimore Ravens / 4th / 134th pick / 2014,910000.0
Cody Whitehair,,,,,,,,O,C19,C19,,,,65.0,28.0,OG,11.0,11.0,309.0,2020-06-03,Kansas St.,1992-07-11,4,,Chicago Bears / 2nd / 56th pick / 2016,1100000.0
Javon Wims,Q,,,,,,,,,,,,,83.0,26.0,WR,10.0,1.0,221.0,2020-06-02,Georgia,1994-09-11,2,,Chicago Bears / 7th / 224th pick / 2018,661770.0
Josh Woods,,,,Q,,,,,,,,,,55.0,24.0,LB,12.0,0.0,236.0,2020-06-01,Maryland,1996-07-01,1,,,675000.0
