Player ,09/13vs. HOU,09/17vs. DEN,09/28vs. GNB,10/04vs. CIN,10/11vs. CHI,10/18vs. MIN,10/25vs. PIT,11/01vs. DET,11/15vs. DEN,11/22vs. SDG,11/29vs. BUF,12/06vs. OAK,12/13vs. SDG,12/20vs. BAL,12/27vs. CLE,01/03vs. OAK,01/09vs. HOU,01/16vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Husain Abdullah,,P,,,,,P,,,,,O,O,O,O,Q,Q,,,,,,,,,,,,,,
D.J. Alexander,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Allen,Q,P,P,,,,,,,,,Q,Q,Q,P,P,P,P,71.0,25.0,LG,12.0,8.0,306.0,2020-06-04,Illinois,1990-01-08,3,5.0,Kansas City Chiefs / 2nd / 44th pick / 2012,1477580.0
Jason Avant,P,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Bailey,,,,,,,,,O,O,O,Q,P,,,,,,97.0,26.0,RDE,12.0,12.0,288.0,2020-06-03,Miami (FL),1989-03-25,4,6.0,Kansas City Chiefs / 3rd / 86th pick / 2011,3231250.0
Tyvon Branch,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Tyler Bray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jamaal Charles,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,25.0,29.0,rb,5.0,5.0,199.0,2020-05-11,Texas,1986-12-27,7,4.0,Kansas City Chiefs / 3rd / 73rd pick / 2008,7970835.0
Dustin Colquitt,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,
Chris Conley,P,,,P,,,,,,,P,P,,,,,P,,17.0,23.0,wr,16.0,5.0,205.0,2020-06-03,Georgia,1992-10-25,Rook,2.0,Kansas City Chiefs / 3rd / 76th pick / 2015,613108.0
Marcus Cooper,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,
Chase Daniel,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
Mike DeVito,,,,,,,O,O,P,,P,P,O,P,,,,,70.0,31.0,LDE,13.0,5.0,298.0,2020-06-03,Maine,1984-06-10,8,3.0,,2620000.0
Paul Fanaika,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Fisher,Q,P,P,,,,,,,,,P,,,,,,,72.0,24.0,LT,16.0,14.0,315.0,2020-06-07,Central Michigan,1991-01-05,2,8.0,Kansas City Chiefs / 1st / 1st pick / 2013,6051954.0
Jamell Fleming,,,,P,,P,,,,,P,,,,,,,,,,,,,,,,,,,,
Dee Ford,,,,,,,,,,,O,P,,,P,P,Q,,55.0,24.0,lolb,14.0,5.0,252.0,2020-06-02,Auburn,1991-03-19,1,3.0,Kansas City Chiefs / 1st / 23rd pick / 2014,1854250.0
Zach Fulton,,,,,,,,,,,,,,,,,,P,73.0,24.0,rg,16.0,6.0,321.0,2020-06-05,Tennessee,1991-09-23,1,4.0,Kansas City Chiefs / 6th / 193rd pick / 2014,544055.0
