Player ,09/11vs. SDG,09/18vs. HOU,09/25vs. NYJ,10/02vs. PIT,10/16vs. OAK,10/23vs. NOR,10/30vs. IND,11/06vs. JAX,11/13vs. CAR,11/20vs. TAM,11/27vs. DEN,12/04vs. ATL,12/08vs. OAK,12/18vs. TEN,12/25vs. DEN,01/01vs. SDG,01/15vs. PIT,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Allen Bailey,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,97.0,27.0,rde,5.0,5.0,288.0,2020-06-03,Miami (FL),1989-03-25,5,2.0,Kansas City Chiefs / 3rd / 86th pick / 2011,5212500.0
Jamaal Charles,D,D,D,Q,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Devey,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,
Laurent Duvernay-Tardif,,O,Q,,,,,,,,,,,,,,,76.0,25.0,RG,14.0,14.0,321.0,2020-06-05,McGill,1991-02-11,2,5.0,Kansas City Chiefs / 6th / 200th pick / 2014,633575.0
Parker Ehinger,,O,O,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dee Ford,,,,,,,,,,,O,Q,,,,,,55.0,25.0,LOLB,15.0,14.0,252.0,2020-06-02,Auburn,1991-03-19,2,7.0,Kansas City Chiefs / 1st / 23rd pick / 2014,2225100.0
Phillip Gaines,,,Q,Q,,Q,,,,Q,,Q,,O,O,Q,,23.0,25.0,rcb,11.0,5.0,193.0,2000-06-01,Rice,1991-04-04,2,2.0,Kansas City Chiefs / 3rd / 87th pick / 2014,755778.0
Tamba Hali,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Houston,IR,IR,IR,IR,IR,IR,IR,IR,O,Q,,Q,,Q,Q,O,,50.0,27.0,lolb,5.0,5.0,270.0,2020-06-03,Georgia,1989-01-21,5,3.0,Kansas City Chiefs / 3rd / 70th pick / 2011,19100000.0
Jaye Howard,,,,,,,,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Derrick Johnson,,,,,,,,,Q,Q,Q,,,O,IR,IR,IR,56.0,34.0,LILB,13.0,13.0,242.0,2020-06-03,Texas,1982-11-22,11,8.0,Kansas City Chiefs / 1st / 15th pick / 2005,3500000.0
Jeremy Maclin,,,,,,,,Q,O,O,O,Q,,,,,,19.0,28.0,WR,12.0,12.0,200.0,2000-06-01,Missouri,1988-05-11,7,5.0,Philadelphia Eagles / 1st / 19th pick / 2009,12400000.0
Justin March-Lillard,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,59.0,23.0,rilb,5.0,5.0,222.0,2000-06-01,Akron,1993-07-05,Rook,2.0,,453333.0
Josh Mauga,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trey Millard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Steven Nelson,,,,,,,,,,,Q,,,,,,,20.0,23.0,RCB,15.0,15.0,194.0,2020-05-11,Oregon St.,1993-01-22,1,5.0,Kansas City Chiefs / 3rd / 98th pick / 2015,682988.0
Dadi Nicolas,,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Marcus Peters,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
Jah Reid,,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Reyes,,O,O,Q,,,,,,,Q,Q,Q,Q,,,,,,,,,,,,,,,,
Mitchell Schwartz,,,,,,,Q,,,,,,,,,,,71.0,27.0,RT,16.0,16.0,320.0,2020-06-05,California,1989-06-08,4,12.0,Cleveland Browns / 2nd / 37th pick / 2012,2400000.0
Alex Smith,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,
Spencer Ware,,,,,,,,O,,,,,,,,Q,,32.0,25.0,RB,14.0,14.0,224.0,2020-05-10,LSU,1991-11-23,3,10.0,Seattle Seahawks / 6th / 194th pick / 2013,958333.0
Charcandrick West,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. White,,,,,,,O,O,D,,,,,,,,,,,,,,,,,,,,,
James Winchester,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
