Player ,09/07vs. NWE,09/17vs. PHI,09/24vs. LAC,10/02vs. WAS,10/08vs. HOU,10/15vs. PIT,10/19vs. OAK,10/30vs. DEN,11/05vs. DAL,11/19vs. NYG,11/26vs. BUF,12/03vs. NYJ,12/10vs. OAK,12/16vs. LAC,12/24vs. MIA,12/31vs. DEN,01/06vs. TEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Kenneth Acker,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Allen Bailey,,,,,,,,,,O,Q,,,,,,,97.0,28.0,RDE,14.0,13.0,288.0,2020-06-03,Miami (FL),1989-03-25,6,6.0,Kansas City Chiefs / 3rd / 86th pick / 2011,3900000.0
Isaiah Battle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Berry,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Reshard Cliett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Conley,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,17.0,25.0,wr,5.0,5.0,205.0,2020-06-03,Georgia,1992-10-25,2,2.0,Kansas City Chiefs / 3rd / 76th pick / 2015,635000.0
Laurent Duvernay-Tardif,,,,,O,O,O,Q,,,,,,,,,,76.0,26.0,RG,11.0,11.0,321.0,2020-06-05,McGill,1991-02-11,3,6.0,Kansas City Chiefs / 6th / 200th pick / 2014,690000.0
Parker Ehinger,D,D,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,,,,,,,
Cameron Erving,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Eric Fisher,,,,Q,,,,,,,,,,,,,,72.0,26.0,LT,16.0,15.0,315.0,2020-06-07,Central Michigan,1991-01-05,4,9.0,Kansas City Chiefs / 1st / 1st pick / 2013,6857977.0
Dee Ford,,,,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,55.0,26.0,rolb,6.0,6.0,252.0,2020-06-02,Auburn,1991-03-19,3,4.0,Kansas City Chiefs / 1st / 23rd pick / 2014,957704.0
Phillip Gaines,,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Antwan Goodley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tamba Hali,IR,IR,IR,IR,IR,IR,IR,IR,,O,Q,Q,Q,Q,,Q,Q,,,,,,,,,,,,,
Tyreek Hill,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,
Justin Houston,,,,,,,,Q,Q,,,,,,Q,,,50.0,28.0,LOLB,15.0,15.0,270.0,2020-06-03,Georgia,1989-01-21,6,8.0,Kansas City Chiefs / 3rd / 70th pick / 2011,16350000.0
Akeem Hunt,,,,,,,,,,,,,,,,Q,IR,,,,,,,,,,,,,
Jarvis Jenkins,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Ashton Lampkin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bennie Logan,,,,,,,,,,,,,,,,D,,96.0,28.0,NT,15.0,12.0,315.0,2020-06-02,LSU,1989-12-28,4,10.0,Philadelphia Eagles / 3rd / 67th pick / 2013,6680000.0
Mitch Morse,,,O,O,O,O,O,,,,,,IR,O,IR,IR,IR,61.0,25.0,c,7.0,7.0,305.0,2020-06-06,Missouri,1992-04-21,2,4.0,Kansas City Chiefs / 2nd / 49th pick / 2015,834826.0
Eric Murray,,,,,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,
Steven Nelson,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,20.0,24.0,rcb,9.0,7.0,194.0,2020-05-11,Oregon St.,1993-01-22,2,2.0,Kansas City Chiefs / 3rd / 98th pick / 2015,618500.0
Dadi Nicolas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rakeem Nunez-Roches,,,,,,,,,,,,,,,,Q,D,99.0,24.0,LDE,16.0,11.0,307.0,2020-06-02,Southern Miss,1993-07-03,2,5.0,Kansas City Chiefs / 6th / 217th pick / 2015,615000.0
Ron Parker,Q,Q,,,,,,,,,,,,,,,,38.0,30.0,SS,15.0,15.0,206.0,2000-06-01,Newberry,1987-08-17,6,5.0,,3900000.0
Kevin Pierre-Louis,,Q,,Q,,,,,,,,,,Q,,Q,,,,,,,,,,,,,,
Reggie Ragland,D,D,,,,,,,,,,,,,,,,59.0,24.0,LILB,12.0,10.0,252.0,2020-06-02,Alabama,1993-09-23,Rook,5.0,Buffalo Bills / 2nd / 41st pick / 2016,715517.0
Cairo Santos,,,,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Terrance Smith,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,
Steven Terrell,,,,,,O,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
De'Anthony Thomas,,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Spencer Ware,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Charcandrick West,,,,,,,O,,,,,O,,,,Q,,,,,,,,,,,,,,
Albert Wilson,,,,,,,Q,,O,O,Q,Q,,,,,Q,12.0,25.0,WR,13.0,7.0,195.0,2020-05-09,Georgia St.,1992-07-12,3,6.0,,1797000.0
