Player ,09/09vs. LAC,09/16vs. PIT,09/23vs. SFO,10/01vs. DEN,10/07vs. JAX,10/14vs. NWE,10/21vs. CIN,10/28vs. DEN,11/04vs. CLE,11/11vs. ARI,11/19vs. LAR,12/02vs. OAK,12/09vs. BAL,12/13vs. LAC,12/23vs. SEA,12/30vs. OAK,01/12vs. IND,01/20vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Eric Berry,D,D,D,D,D,D,D,D,D,D,D,Q,Q,Q,,Q,Q,,,,,,,,,,,,,,
Jordan Devey,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Step Durham,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Laurent Duvernay-Tardif,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,76.0,27.0,rg,5.0,5.0,321.0,2020-06-05,McGill,1991-02-11,4,3.0,Kansas City Chiefs / 6th / 200th pick / 2014,3310000.0
Alex Ellis,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cameron Erving,,,,,,,,,,Q,,,,D,,,,,75.0,26.0,LG,14.0,13.0,313.0,2020-06-05,Florida St.,1992-08-23,3,7.0,Cleveland Browns / 1st / 19th pick / 2015,1720781.0
Dee Ford,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Fuller,,,,,,,,,,,,,,,Q,Q,,,23.0,23.0,LCB,15.0,15.0,198.0,2020-05-11,Virginia Tech,1995-02-13,2,4.0,Washington Redskins / 3rd / 84th pick / 2016,647500.0
Dillon Gordon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Demetrius Harris,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Tyreek Hill,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Anthony Hitchens,,,,,,,,,Q,Q,,,,,,,,,53.0,26.0,LILB,15.0,15.0,235.0,2000-06-01,Iowa,1992-06-10,4,6.0,Dallas Cowboys / 4th / 119th pick / 2014,790000.0
Justin Houston,,,,,,D,D,D,Q,Q,,,,,,,,,50.0,29.0,ROLB,12.0,12.0,270.0,2020-06-03,Georgia,1989-01-21,7,5.0,Kansas City Chiefs / 3rd / 70th pick / 2011,14750000.0
Akeem Hunt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tejan Koroma,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tanoh Kpassagnon,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
J.D. Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mitch Morse,,,,,,,O,O,O,O,O,,,,,,,,61.0,26.0,C,11.0,11.0,305.0,2020-06-06,Missouri,1992-04-21,3,6.0,Kansas City Chiefs / 2nd / 49th pick / 2015,1047239.0
Eric Murray,,,,,,O,Q,,,,,,,,,,,,21.0,24.0,SS,15.0,9.0,199.0,2020-05-11,Minnesota,1994-01-07,2,3.0,Kansas City Chiefs / 4th / 106th pick / 2016,630000.0
Ben Niemann,,O,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorian O'Daniel,,,,,,,,,,,,,,,,,D,O,,,,,,,,,,,,,
Byron Pringle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Keith Reaser,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Terrance Smith,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daniel Sorensen,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,,,,,,,,,,,,,,
De'Anthony Thomas,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Spencer Ware,,,Q,,,,,,,,,,,D,D,Q,Q,,,,,,,,,,,,,,
Sammy Watkins,,,,,Q,,,,,Q,Q,O,D,O,O,O,Q,,14.0,25.0,WR,10.0,9.0,211.0,2020-06-01,Clemson,1993-06-14,4,6.0,Buffalo Bills / 1st / 4th pick / 2014,790000.0
Armani Watts,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Darrel Williams,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Frank Zombo,,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,
