Player ,09/10vs. HOU,09/20vs. LAC,09/28vs. BAL,10/05vs. NWE,10/11vs. LVR,10/19vs. BUF,10/25vs. DEN,11/01vs. NYJ,11/08vs. CAR,11/22vs. LVR,11/29vs. TAM,12/06vs. DEN,12/13vs. MIA,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Alex Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Taco Charlton,,,,,,,O,,,IR,IR,IR,IR,,,,,,,,,,,,,
Frank Clark,,,,,,,,,Q,,,,,55.0,27.0,DE,13.0,13.0,260.0,2020-06-03,Michigan,1993-06-14,5,,Seattle Seahawks / 2nd / 63rd pick / 2015,12000000.0
Michael Danna,,,,,O,IR,IR,IR,,,,,,51.0,23.0,DE,10.0,0.0,250.0,2020-06-02,"Central Michigan,Michigan",1997-12-04,Rook,,Kansas City Chiefs / 5th / 177th pick / 2020,572941.0
Laurent Duvernay-Tardif,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Fisher,,,,,,,,,,C19,,,,72.0,29.0,OT,13.0,13.0,315.0,2020-06-07,Central Michigan,1991-01-05,7,,Kansas City Chiefs / 1st / 1st pick / 2013,8750000.0
Mecole Hardman,,,,,,,,,,C19,,,,17.0,22.0,WR,13.0,6.0,187.0,2020-05-10,Georgia,1998-03-12,1,,Kansas City Chiefs / 2nd / 56th pick / 2019,722048.0
Chris Jones,,,,Q,,,,,C19,,,,,95.0,26.0,DT,12.0,12.0,310.0,2020-06-06,Mississippi St.,1994-07-03,4,,Kansas City Chiefs / 2nd / 37th pick / 2016,16126000.0
Lucas Niang,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dorian O'Daniel,,,Q,,,,,,,,,IR,IR,,,,,,,,,,,,,
Alex Okafor,,O,O,,,,O,IR,IR,IR,,,,57.0,29.0,DE,8.0,0.0,261.0,2020-06-04,Texas,1991-02-08,7,,Arizona Cardinals / 4th / 103rd pick / 2013,2000000.0
Kelechi Osemele,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Byron Pringle,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Martinas Rankin,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,74.0,26.0,OT,,,311.0,2020-06-05,Mississippi St.,1994-10-20,2,,Houston Texans / 3rd / 80th pick / 2018,591180.0
Mike Remmers,,,,,,,,,,Q,,,,75.0,31.0,T,12.0,9.0,310.0,2020-06-05,Oregon St.,1989-04-11,8,,,1050000.0
Khalen Saunders,,O,IR,IR,IR,IR,IR,,,,,,,99.0,24.0,DT,2.0,0.0,324.0,2000-06-01,West. Illinois,1996-08-09,1,,Kansas City Chiefs / 3rd / 84th pick / 2019,439706.0
Mitchell Schwartz,,,,,,,O,O,O,O,IR,IR,IR,,,,,,,,,,,,,
Anthony Sherman,,,,,,C19,C19,C19,C19,,,,,42.0,32.0,RB,10.0,1.0,242.0,2020-05-10,Connecticut,1988-12-11,9,,Arizona Cardinals / 5th / 136th pick / 2011,1050000.0
L'Jarius Sneed,,,,IR,IR,IR,IR,IR,IR,IR,,,,38.0,23.0,S,7.0,5.0,192.0,2000-06-01,Louisiana Tech,1997-01-21,Rook,,Kansas City Chiefs / 4th / 138th pick / 2020,437058.0
Charvarius Ward,,O,Q,,,,,,,,,,,35.0,24.0,DB,12.0,11.0,196.0,2020-06-01,Middle Tenn. St.,1996-05-16,2,,,750000.0
Sammy Watkins,,,Q,,,,O,O,Q,Q,,,,14.0,27.0,WR,8.0,7.0,211.0,2020-06-01,Clemson,1993-06-14,6,,Buffalo Bills / 1st / 4th pick / 2014,7000000.0
Damien Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
