Player ,09/13vs. BUF,09/21vs. NYJ,09/27vs. TEN,10/04vs. JAX,10/08vs. HOU,10/18vs. NWE,10/25vs. NOR,11/02vs. CAR,11/08vs. DEN,11/22vs. ATL,11/29vs. TAM,12/06vs. PIT,12/13vs. JAX,12/20vs. HOU,12/27vs. MIA,01/03vs. TEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mike Adams,,,,,Q,,O,P,,O,D,P,,,,P,,,,,,,,,,,,,
Daniel Adongo,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,
Dwayne Allen,,,O,Q,P,,,,,,,,,,,IR,83.0,25.0,TE,13.0,12.0,260.0,2020-06-04,Clemson,1990-02-24,3,1.0,Indianapolis Colts / 3rd / 64th pick / 2012,1717826.0
Colt Anderson,,,,,,,,,,,,,Q,O,Q,Q,,,,,,,,,,,,,
Henry Anderson,,,,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,96.0,24.0,RDT,9.0,9.0,301.0,2020-06-06,Stanford,1991-08-03,Rook,4.0,Indianapolis Colts / 3rd / 93rd pick / 2015,588419.0
Vick Ballard,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmad Bradshaw,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jalil Brown,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
Darius Butler,,O,O,P,,,,,P,,,,,,,P,,,,,,,,,,,,,
Anthony Castonzo,,,,,,,,,,,O,O,O,P,,,74.0,27.0,LT,13.0,13.0,307.0,2020-06-07,Boston Col.,1988-08-09,4,6.0,Indianapolis Colts / 1st / 22nd pick / 2011,7438000.0
Trent Cole,,,Q,P,,P,,,,,,,,,,O,58.0,33.0,rlb,14.0,5.0,270.0,2020-06-03,Cincinnati,1982-10-05,10,3.0,Philadelphia Eagles / 5th / 146th pick / 2005,6953125.0
Vontae Davis,,,Q,P,Q,,,,,,P,P,,P,,,,,,,,,,,,,,,
Phillip Dorsett,,,,,,,,O,O,O,O,O,P,,,,,,,,,,,,,,,,
Jack Doyle,,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,
Jerrell Freeman,,,,,O,Q,P,,,,P,O,O,P,P,P,50.0,29.0,MLB,13.0,13.0,235.0,2000-06-01,Mary Hardin-Baylor,1986-05-01,3,7.0,,2356000.0
Clayton Geathers,,,,,,,D,P,,,,,,,,,,,,,,,,,,,,,
Frank Gore,,,,,P,,,,,,P,,,,,,23.0,32.0,RB,16.0,16.0,212.0,2020-05-09,Miami (FL),1983-05-14,10,7.0,San Francisco 49ers / 3rd / 65th pick / 2005,4500000.0
Winston Guy,,,,,,,,D,P,,,,,,O,Q,,,,,,,,,,,,,
Matt Hasselbeck,,,,,Q,,,,,,,,P,P,P,O,8.0,40.0,QB,8.0,8.0,235.0,2020-06-04,Boston Col.,1975-09-25,16,4.0,Green Bay Packers / 6th / 187th pick / 1998,3000000.0
Todd Herremans,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Herron,IR,IR,IR,IR,IR,,,IR,IR,IR,,,,,,,,,,,,,,,,,,,
T.Y. Hilton,,Q,,P,,P,,,Q,,,,,,,P,,,,,,,,,,,,,
Khaled Holmes,,,,,,,,O,P,,,Q,Q,,,,62.0,25.0,c,9.0,7.0,302.0,2020-06-03,USC,1990-01-19,2,3.0,Indianapolis Colts / 4th / 121st pick / 2013,690027.0
Nate Irving,P,,,,,Q,P,O,O,P,,,IR,IR,IR,IR,,,,,,,,,,,,,
D'Qwell Jackson,P,P,P,P,,,,,,P,,P,Q,P,P,,52.0,32.0,LLB,16.0,16.0,242.0,2000-06-01,Maryland,1983-09-26,9,8.0,Cleveland Browns / 2nd / 34th pick / 2006,5750000.0
Andre Johnson,,,P,P,,,,,,,,,,,,,81.0,34.0,WR,16.0,14.0,229.0,2020-06-03,Miami (FL),1981-07-11,12,4.0,Houston Texans / 1st / 3rd pick / 2003,7500000.0
Arthur Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kendall Langford,,,,,P,,,,,,,,,,,,90.0,29.0,LDE,16.0,16.0,305.0,2020-06-06,Hampton,1986-01-27,7,7.0,Miami Dolphins / 3rd / 66th pick / 2008,4250000.0
Lance Louis,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Luck,,,,Q,Q,Q,,,P,O,O,O,O,O,O,O,12.0,26.0,qb,7.0,7.0,240.0,2020-06-04,Stanford,1989-09-12,3,4.0,Indianapolis Colts / 1st / 1st pick / 2012,7034363.0
Robert Mathis,Q,Q,P,P,,,,,,,,,,,,,98.0,34.0,RLB,15.0,10.0,245.0,2020-06-02,Alabama A&M,1981-02-26,12,5.0,Indianapolis Colts / 5th / 138th pick / 2003,7470586.0
Josh McNary,,,,,,,,,,Q,,,,,IR,IR,,,,,,,,,,,,,
Jack Mewhort,,,,,,,,,,,,,,,,P,75.0,24.0,LG,16.0,16.0,310.0,2020-06-06,Ohio St.,1991-08-30,1,6.0,Indianapolis Colts / 2nd / 59th pick / 2014,812228.0
Tevin Mitchel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Donte Moncrief,,,,,,,,,,,,,,Q,Q,P,10.0,22.0,WR,16.0,10.0,216.0,2020-06-02,Mississippi,1993-08-06,1,6.0,Indianapolis Colts / 3rd / 90th pick / 2014,660880.0
Sio Moore,,,,,,,,,,,P,,,,,Q,,,,,,,,,,,,,
Jonathan Newsome,,Q,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon Price,P,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Robinson,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
D'Joun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,,P,,,O,IR,IR,,,,,,,,,,,,,
Hugh Thornton,,,,P,,,,,,,P,O,P,P,,,69.0,24.0,RG,13.0,12.0,320.0,2020-06-03,Illinois,1991-06-28,2,5.0,Indianapolis Colts / 3rd / 86th pick / 2013,731345.0
Greg Toler,O,O,O,O,P,,,,,,Q,P,Q,Q,,,28.0,30.0,LCB,10.0,10.0,191.0,2020-05-11,St. Paul's,1985-01-02,6,3.0,Arizona Cardinals / 4th / 131st pick / 2009,5833334.0
Tyler Varga,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Erik Walden,,,,,,,,,,,Q,P,D,P,P,P,93.0,30.0,RDE,15.0,15.0,250.0,2020-06-02,Middle Tenn. St.,1985-08-21,7,6.0,Dallas Cowboys / 6th / 167th pick / 2008,4250000.0
Bjoern Werner,P,P,P,P,O,P,,,,,,,,,,,,,,,,,,,,,,,
Griff Whalen,,,,,,,,,,,,,P,,IR,IR,,,,,,,,,,,,,
Charlie Whitehurst,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Billy Winn,,,,,,P,,,,,,,,,IR,IR,,,,,,,,,,,,,
