Player ,09/11vs. DET,09/18vs. DEN,09/25vs. SDG,10/02vs. JAX,10/09vs. CHI,10/16vs. HOU,10/23vs. TEN,10/30vs. KAN,11/06vs. GNB,11/20vs. TEN,11/24vs. PIT,12/05vs. NYJ,12/11vs. HOU,12/18vs. MIN,12/24vs. OAK,01/01vs. JAX,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Henry Anderson,O,O,,,,,O,O,Q,,,,,,,,,,,,,,,,,,,,
Quan Bray,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Darius Butler,O,Q,O,O,Q,,Q,,,,,,,,,O,20.0,30.0,fs,12.0,7.0,180.0,2020-05-10,Connecticut,1986-03-18,7,4.0,New England Patriots / 2nd / 41st pick / 2009,3000000.0
Trent Cole,,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,
Antonio Cromartie,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vontae Davis,O,O,Q,,,,,,Q,,Q,,,,,,21.0,28.0,RCB,14.0,14.0,207.0,2020-05-11,Illinois,1988-05-27,7,5.0,Miami Dolphins / 1st / 25th pick / 2009,8375000.0
Phillip Dorsett,,,,Q,,,O,,,,,,,Q,,,15.0,23.0,wr,15.0,7.0,192.0,2020-05-10,Miami (FL),1993-01-05,1,5.0,Indianapolis Colts / 1st / 29th pick / 2015,1848958.0
Clayton Geathers,O,Q,Q,,,,,,,,IR,IR,IR,IR,IR,IR,26.0,24.0,FS,9.0,9.0,216.0,2020-06-02,Central Florida,1992-06-01,1,3.0,Indianapolis Colts / 4th / 109th pick / 2015,658482.0
Denzelle Good,,,O,Q,Q,,,,Q,,,Q,O,O,,,71.0,25.0,RG,12.0,10.0,340.0,2020-06-05,Mars Hill,1991-03-08,1,6.0,Indianapolis Colts / 7th / 255th pick / 2015,538196.0
T.J. Green,,O,Q,,,,Q,,,,,,,Q,,,,,,,,,,,,,,,
Joe Haeg,Q,,,,,,,,,,,,,,,,73.0,23.0,RT,15.0,14.0,298.0,2020-06-06,North Dakota St.,1993-03-11,Rook,8.0,Indianapolis Colts / 5th / 155th pick / 2016,510602.0
T.Y. Hilton,,,Q,,,Q,Q,,,,,Q,,,,,,,,,,,,,,,,,
Arthur Jones,,,,,,,,,,Q,,,,IR,IR,IR,97.0,30.0,RDE,8.0,8.0,301.0,2020-06-03,Syracuse,1986-06-30,6,3.0,Baltimore Ravens / 5th / 157th pick / 2010,3011764.0
Ryan Kelly,,,Q,,,,,,,,,,,,,,78.0,23.0,C,16.0,16.0,307.0,2020-06-04,Alabama,1993-05-30,Rook,9.0,Indianapolis Colts / 1st / 18th pick / 2016,1900178.0
Kendall Langford,,Q,,,,,,IR,IR,O,IR,IR,IR,IR,IR,IR,90.0,30.0,LDE,7.0,7.0,305.0,2020-06-06,Hampton,1986-01-27,8,3.0,Miami Dolphins / 3rd / 66th pick / 2008,4250000.0
