Player ,09/10vs. LAR,09/17vs. ARI,09/24vs. CLE,10/01vs. SEA,10/08vs. SFO,10/16vs. TEN,10/22vs. JAX,10/29vs. CIN,11/05vs. HOU,11/12vs. PIT,11/26vs. TEN,12/03vs. JAX,12/10vs. BUF,12/14vs. DEN,12/23vs. BAL,12/31vs. HOU,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Kamar Aiken,,,Q,,,,,Q,,O,,,,,,,17.0,28.0,wr,15.0,7.0,216.0,2020-06-02,Central Florida,1989-05-30,6,1.0,,1000000.0
Henry Anderson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,96.0,26.0,LDE,9.0,8.0,301.0,2020-06-06,Stanford,1991-08-03,2,4.0,Indianapolis Colts / 3rd / 93rd pick / 2015,629500.0
Deyshawn Bond,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jonathan Bostic,,,,,,Q,,,,,,,,,IR,IR,57.0,26.0,RILB,14.0,14.0,245.0,2020-06-01,Florida,1991-05-05,4,6.0,Chicago Bears / 2nd / 50th pick / 2013,690000.0
Quan Bray,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Briggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Darius Butler,,O,Q,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Anthony Castonzo,,,,,,,,,Q,,,,,,,,74.0,29.0,LT,16.0,16.0,307.0,2020-06-07,Boston Col.,1988-08-09,6,7.0,Indianapolis Colts / 1st / 22nd pick / 2011,1000000.0
Chris Culliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Darrell Daniels,,,,,,,Q,,,,O,O,O,O,,,,,,,,,,,,,,,
Vontae Davis,O,O,D,,,,,,,,,,,,,,21.0,29.0,RCB,5.0,5.0,207.0,2020-05-11,Illinois,1988-05-27,8,2.0,Miami Dolphins / 1st / 25th pick / 2009,9000000.0
Pierre Desir,,,,,,,,,,,,,IR,IR,IR,IR,35.0,27.0,rcb,9.0,6.0,192.0,2020-06-01,Lindenwood,1990-09-08,3,2.0,Cleveland Browns / 4th / 127th pick / 2014,690000.0
Jack Doyle,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,
Matthias Farley,,,,Q,,,,,,,,,,,,,41.0,25.0,SS,16.0,15.0,204.0,2020-05-11,Notre Dame,1992-07-15,1,6.0,,540000.0
Clayton Geathers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,,,,,,,,,,,,,,
Denzelle Good,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Q,,O,O,,,,,,,,,,,,,
T.J. Green,,,,,,,Q,Q,,,,,,,,,32.0,22.0,fs,16.0,7.0,215.0,2020-06-03,Clemson,1995-03-15,1,3.0,Indianapolis Colts / 2nd / 57th pick / 2016,639420.0
Nate Hairston,,,,,O,,,,,,,,,O,,,,,,,,,,,,,,,
Johnathan Hankins,,,,,,,,,,,,,,,,O,95.0,25.0,RDE,15.0,15.0,340.0,2020-06-03,Ohio St.,1992-03-30,4,6.0,New York Giants / 2nd / 49th pick / 2013,3000000.0
T.Y. Hilton,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Krishawn Hogan,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Malik Hooker,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,29.0,21.0,FS,7.0,6.0,214.0,2020-06-01,Ohio St.,1996-04-02,Rook,3.0,Indianapolis Colts / 1st / 15th pick / 2017,465000.0
Margus Hunt,,,,,,,,,,,Q,,,,,,92.0,30.0,lde,16.0,5.0,295.0,2020-06-08,SMU,1987-07-14,4,3.0,Cincinnati Bengals / 2nd / 53rd pick / 2013,1100000.0
Edwin Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt Jones,,,,,D,,,,O,,,,,,,,,,,,,,,,,,,,
Kyle Kalis,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Ryan Kelly,O,O,O,O,,,Q,Q,,,,IR,IR,IR,IR,IR,78.0,24.0,C,7.0,7.0,307.0,2020-06-04,Alabama,1993-05-30,1,3.0,Indianapolis Colts / 1st / 18th pick / 2016,925045.0
Kendall Langford,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andrew Luck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marlon Mack,,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,
Rashaan Melvin,,,,,Q,,,O,,,,IR,IR,IR,IR,IR,30.0,28.0,LCB,10.0,10.0,194.0,2020-06-02,Northern Illinois,1989-10-02,4,4.0,,775000.0
Jack Mewhort,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,75.0,26.0,RG,5.0,5.0,310.0,2020-06-06,Ohio St.,1991-08-30,3,2.0,Indianapolis Colts / 2nd / 59th pick / 2014,907337.0
Christine Michael,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Christopher Milton,,,Q,Q,,,,,,,,,Q,,,,,,,,,,,,,,,,
Tevin Mitchel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Donte Moncrief,,,,,,,,,,,,Q,O,O,O,Q,10.0,24.0,WR,12.0,8.0,216.0,2020-06-02,Mississippi,1993-08-06,3,3.0,Indianapolis Colts / 3rd / 90th pick / 2014,1797000.0
Darryl Morris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,,,,,,,,,,,,,
Antonio Morrison,,O,,,,,,,,,,,,,,,44.0,23.0,LILB,15.0,15.0,241.0,2020-06-01,Florida,1994-12-06,1,6.0,Indianapolis Colts / 4th / 125th pick / 2016,540000.0
Deiontrez Mount,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,,,,,,,,,,,,,,
Blake Muir,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Person,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Hassan Ridgeway,,,,,,,,,,,O,O,,,,,,,,,,,,,,,,,
Chester Rogers,O,Q,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,
Brian Schwenke,,,,,,,,IR,,,,,,IR,IR,,,,,,,,,,,,,,
Ian Silberman,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Simon,,,,,,,,O,O,O,,,IR,IR,IR,IR,51.0,27.0,LOLB,9.0,9.0,260.0,2020-06-02,Ohio St.,1990-10-14,4,4.0,Baltimore Ravens / 4th / 129th pick / 2013,1500000.0
Tevaun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Erik Swoope,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Robert Turbin,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Anthony Walker,,O,O,O,,O,O,,,,,,,,,,,,,,,,,,,,,,
Brandon Williams,,,Q,,,,,,,,,,,,O,IR,85.0,30.0,WR,14.0,10.0,255.0,2020-06-04,Oregon,1987-10-12,4,1.0,,775000.0
Frankie Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Quincy Wilson,,,O,O,,,,,O,Q,,,,,,,,,,,,,,,,,,,
George Winn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Earl Wolff,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
