Player ,09/08vs. LAC,09/15vs. TEN,09/22vs. ATL,09/29vs. OAK,10/06vs. KAN,10/20vs. HOU,10/27vs. DEN,11/03vs. PIT,11/10vs. MIA,11/17vs. JAX,11/21vs. HOU,12/01vs. TEN,12/08vs. TAM,12/16vs. NOR,12/22vs. CAR,12/29vs. JAX,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mo Alie-Cox,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,
Denico Autry,,,,,,,,,,,,,,,O,D,96.0,29.0,DT,14.0,14.0,285.0,2020-06-05,Mississippi St.,1990-07-15,5,6.0,,3500000.0
Jacoby Brissett,,,,,,,,,Q,,,,,,,,7.0,27.0,QB,15.0,15.0,238.0,2020-06-04,"Florida,North Carolina St.",1992-12-11,3,11.0,New England Patriots / 3rd / 91st pick / 2016,2000000.0
Billy Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Parris Campbell,,,,,O,O,Q,,O,O,O,Q,,IR,IR,IR,,,,,,,,,,,,,
Carl Davis,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,
Pierre Desir,,,,Q,,Q,Q,D,Q,D,,,,Q,,,35.0,29.0,CB,12.0,11.0,192.0,2020-06-01,Lindenwood,1990-09-08,5,4.0,Cleveland Browns / 4th / 127th pick / 2014,1000000.0
Jack Doyle,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Eric Ebron,,,,,,,,,,,Q,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daurice Fountain,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Devin Funchess,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Clayton Geathers,,,,,O,,,,,,,,,,,,26.0,27.0,SS,15.0,10.0,216.0,2020-06-02,Central Florida,1992-06-01,4,4.0,Indianapolis Colts / 4th / 109th pick / 2015,1250000.0
Penny Hart,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Y. Hilton,,,Q,D,Q,,,O,O,O,Q,O,O,Q,,,13.0,30.0,WR,10.0,10.0,183.0,2020-05-10,Florida International,1989-11-14,7,5.0,Indianapolis Colts / 3rd / 92nd pick / 2012,13000000.0
Malik Hooker,,,,O,O,D,,Q,,,,,Q,,Q,,29.0,23.0,FS,13.0,13.0,214.0,2020-06-01,Ohio St.,1996-04-02,2,5.0,Indianapolis Colts / 1st / 15th pick / 2017,1610446.0
