Player ,09/13vs. JAX,09/20vs. MIN,09/27vs. NYJ,10/04vs. CHI,10/11vs. CLE,10/18vs. CIN,11/01vs. DET,11/08vs. BAL,11/12vs. TEN,11/22vs. GNB,11/29vs. TEN,12/06vs. HOU,12/13vs. LVR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Matthew Adams,Q,,O,IR,IR,IR,IR,IR,C19,C19,,,,49.0,25.0,LB,6.0,0.0,229.0,2000-06-01 00:00:00,Houston,1995-12-12,2,,Indianapolis Colts / 7th / 221st pick / 2018,644118.0
Mo Alie-Cox,,,,,,O,Q,Q,Q,,,,,81.0,27.0,TE,12.0,5.0,267.0,2020-06-05 00:00:00,Virginia Commonwealth,1993-09-19,2,,,750000.0
Bruce Anderson,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,
Denico Autry,,,,,,Q,,,,C19,C19,C19,,96.0,30.0,DE,11.0,10.0,285.0,2020-06-05 00:00:00,Mississippi St.,1990-07-15,6,,,5300000.0
Julian Blackmon,O,Q,,,,,,,,,,,,32.0,22.0,S,12.0,11.0,187.0,2000-06-01 00:00:00,Utah,1998-08-24,Rook,,Indianapolis Colts / 3rd / 85th pick / 2020,610000.0
DeForest Buckner,,,,,,,,,,,C19,C19,,99.0,26.0,DT,12.0,12.0,300.0,2020-06-07 00:00:00,Oregon,1994-03-17,4,,San Francisco 49ers / 1st / 7th pick / 2016,12378000.0
Trey Burton,IR,IR,IR,IR,,,,,,,,,,80.0,29.0,TE,10.0,4.0,238.0,2020-06-02 00:00:00,Florida,1991-10-29,6,,,910000.0
Parris Campbell,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
T.J. Carrie,,,,O,,,,,,,,,,38.0,30.0,CB,12.0,2.0,204.0,2000-06-01 00:00:00,Ohio,1990-07-28,6,,Oakland Raiders / 7th / 219th pick / 2014,910000.0
Anthony Castonzo,,,,,O,Q,,,,,,,,74.0,32.0,LT,11.0,11.0,307.0,2020-06-07 00:00:00,Boston Col.,1988-08-09,9,,Indianapolis Colts / 1st / 22nd pick / 2011,7000000.0
Le'Raven Clark,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Sheldon Day,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Jack Doyle,,O,Q,,,,,,O,Q,,,,84.0,30.0,TE,11.0,9.0,262.0,2020-06-06 00:00:00,Western Kentucky,1990-05-05,7,,,1250000.0
Ashton Dulin,,,,,,,,O,IR,IR,IR,,,16.0,23.0,WR,10.0,0.0,215.0,2020-06-01 00:00:00,Malone,1997-05-15,1,,,542648.0
Jordan Glasgow,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaz Green,,,,,,O,,,,,,,,75.0,28.0,OT,12.0,0.0,318.0,2020-06-05 00:00:00,Florida,1992-04-08,4,,Dallas Cowboys / 3rd / 91st pick / 2015,910000.0
T.Y. Hilton,,,,,,,,D,,,,,,13.0,31.0,WR,12.0,12.0,183.0,2020-05-10 00:00:00,Florida International,1989-11-14,8,,Indianapolis Colts / 3rd / 92nd pick / 2012,14542000.0
Malik Hooker,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Justin Houston,,Q,,,,Q,,,,,,,,50.0,31.0,LOLB,13.0,13.0,270.0,2020-06-03 00:00:00,Georgia,1989-01-21,9,,Kansas City Chiefs / 3rd / 70th pick / 2011,8000000.0
Marcus Johnson,,,,,,,,Q,,,,,,83.0,26.0,WR,10.0,3.0,207.0,2020-06-01 00:00:00,Texas,1994-08-05,3,,,582353.0
Ryan Kelly,,,,,,,Q,,,,Q,,,78.0,27.0,C,12.0,12.0,307.0,2020-06-04 00:00:00,Alabama,1993-05-30,4,,Indianapolis Colts / 1st / 18th pick / 2016,5350000.0
Darius Leonard,,,,,O,D,,,,,,,,53.0,25.0,LB,11.0,11.0,230.0,2020-06-02 00:00:00,South Carolina St.,1995-07-27,2,,Indianapolis Colts / 2nd / 36th pick / 2018,1138891.0
Marlon Mack,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rolan Milligan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Skai Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Quenton Nelson,,,,,,,,,,,Q,,,56.0,24.0,OG,13.0,13.0,330.0,2020-06-05 00:00:00,Notre Dame,1996-03-19,2,,Indianapolis Colts / 1st / 6th pick / 2018,750000.0
Bobby Okereke,,,,,,,,,,,O,,,58.0,24.0,LB,11.0,7.0,235.0,2020-06-01 00:00:00,Stanford,1996-07-29,1,,Indianapolis Colts / 3rd / 89th pick / 2019,675000.0
Zach Pascal,,Q,,,,,,,,,Q,,,14.0,26.0,WR,13.0,12.0,214.0,2020-06-02 00:00:00,Old Dominion,1994-12-18,2,,,750000.0
Michael Pittman Jr.,,Q,,IR,IR,IR,IR,,,,,,,11.0,23.0,WR,10.0,5.0,223.0,0-0,USC,1997-10-05,Rook,,Indianapolis Colts / 2nd / 34th pick / 2020,
Philip Rivers,,,,,,,,,,,Q,,,17.0,39.0,QB,13.0,13.0,228.0,2020-06-05 00:00:00,North Carolina St.,1981-12-08,16,,New York Giants / 1st / 4th pick / 2004,13000000.0
Isaiah Rodgers,,Q,,,,,,,,Q,Q,,,34.0,22.0,CB,11.0,0.0,,,Massachusetts,1998-01-07,Rook,,Indianapolis Colts / 6th / 211th pick / 2020,610000.0
Braden Smith,,,,,,,,,,Q,,,,72.0,24.0,OG,12.0,12.0,315.0,2020-06-06 00:00:00,Auburn,1996-03-25,2,,Indianapolis Colts / 2nd / 37th pick / 2018,1133972.0
