Player ,09/13vs. NYG,09/20vs. PHI,09/27vs. ATL,10/04vs. NOR,10/11vs. NWE,10/25vs. NYG,11/01vs. SEA,11/08vs. PHI,11/15vs. TAM,11/22vs. MIA,11/26vs. CAR,12/07vs. WAS,12/13vs. GNB,12/19vs. NYJ,12/27vs. BUF,01/03vs. WAS,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Cole Beasley,,,,,,,,,,,,,,,Q,P,,,,,,,,,,,,,
Dez Bryant,P,O,O,O,O,D,Q,P,P,P,P,P,P,P,IR,IR,88.0,27.0,WR,9.0,9.0,220.0,2020-06-02,Oklahoma St.,1988-11-04,5,3.0,Dallas Cowboys / 1st / 24th pick / 2010,7000000.0
Brice Butler,,,,,O,P,P,Q,O,O,P,,,,,,,,,,,,,,,,,,
Brandon Carr,,,,P,,,,,P,P,P,,,,,,39.0,29.0,LCB,16.0,16.0,210.0,2000-06-01,Grand Valley St.,1986-05-19,7,6.0,Kansas City Chiefs / 5th / 140th pick / 2008,12717000.0
Matt Cassel,,,,,,,,P,P,,,,,,,,16.0,33.0,QB,8.0,7.0,225.0,2020-06-04,USC,1982-05-17,10,0.0,New England Patriots / 7th / 230th pick / 2005,2000000.0
Barry Church,,,,,,,Q,Q,P,P,P,,,,,IR,42.0,27.0,SS,15.0,15.0,218.0,2020-06-02,Toledo,1988-02-11,5,5.0,,3250000.0
Morris Claiborne,,,,,,,P,,,O,O,P,,D,Q,Q,24.0,25.0,RCB,11.0,11.0,192.0,2020-05-11,LSU,1990-02-07,3,4.0,Dallas Cowboys / 1st / 6th pick / 2012,5175069.0
La'el Collins,,,,,,,,,,,,,,,,D,71.0,22.0,LG,12.0,11.0,320.0,2020-06-04,LSU,1993-07-26,Rook,4.0,,442000.0
Jack Crawford,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Lance Dunbar,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gavin Escobar,,,,,,,,,,,,,,,O,IR,,,,,,,,,,,,,
Andrew Gachkar,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,
Chaz Green,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Randy Gregory,,O,O,O,O,P,,,,,,,,,,,,,,,,,,,,,,,
James Hanna,P,Q,P,,Q,Q,P,P,P,,,,,,,,84.0,26.0,TE,14.0,7.0,252.0,2020-06-04,Oklahoma,1989-07-14,3,0.0,Dallas Cowboys / 6th / 186th pick / 2012,686213.0
Greg Hardy,,,,,,P,,,,,,,P,,,P,76.0,27.0,RDE,12.0,12.0,279.0,2020-06-05,Mississippi,1988-07-28,5,6.0,Carolina Panthers / 6th / 175th pick / 2010,3041379.0
Nick Hayden,,,,,,,,,Q,P,P,,,,,,96.0,29.0,RDT,16.0,15.0,295.0,2020-06-04,Wisconsin,1986-02-04,7,7.0,Carolina Panthers / 6th / 181st pick / 2008,665000.0
Jeff Heath,,,,,,,,,P,P,P,Q,P,P,P,P,,,,,,,,,,,,,
Anthony Hitchens,P,,,,,,,,Q,P,P,,,,,,59.0,23.0,MLB,16.0,9.0,235.0,2000-06-01,Iowa,1992-06-10,1,5.0,Dallas Cowboys / 4th / 119th pick / 2014,618716.0
David Irving,,,,,,P,,,,,,,,P,,IR,,,,,,,,,,,,,
Byron Jones,,,,,,,,,,,P,,,,,,31.0,23.0,FS,16.0,11.0,205.0,2000-06-01,Connecticut,1992-09-26,Rook,4.0,Dallas Cowboys / 1st / 27th pick / 2015,1563989.0
Chris Jones,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
DeMarcus Lawrence,,,,,,,P,P,P,P,P,,,P,P,P,90.0,23.0,LDE,16.0,13.0,265.0,2020-06-03,Boise St.,1992-04-28,1,7.0,Dallas Cowboys / 2nd / 34th pick / 2014,1251511.0
Ronald Leary,,D,Q,P,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Lee,,,,,P,,,,O,P,,,,,,Q,,,,,,,,,,,,,
Zack Martin,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolando McClain,,,,,,,,,Q,P,P,,,O,P,,55.0,26.0,MLB,11.0,11.0,254.0,2020-06-03,Alabama,1989-07-14,5,6.0,Oakland Raiders / 1st / 8th pick / 2010,2636029.0
Terrell McClain,,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Danny McCray,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Darren McFadden,,,,,,,,,,Q,P,,,,,,20.0,28.0,RB,16.0,10.0,210.0,2020-06-02,Arkansas,1987-08-27,7,7.0,Oakland Raiders / 1st / 4th pick / 2008,1150000.0
Christine Michael,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Jordan Mills,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Mincey,,,O,P,,,,,,Q,,,,,,P,92.0,32.0,rde,14.0,6.0,280.0,2020-06-04,Florida,1983-12-14,8,3.0,New England Patriots / 6th / 191st pick / 2006,2250000.0
Mark Nzeocha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,,,,,,,,
Joseph Randle,,,,,,,O,,,,,,,,,,21.0,24.0,rb,6.0,6.0,204.0,2000-06-01,Oklahoma St.,1991-12-29,2,2.0,Dallas Cowboys / 5th / 151st pick / 2013,632220.0
Tony Romo,P,P,IR,IR,IR,IR,IR,IR,IR,,P,O,O,O,O,IR,,,,,,,,,,,,,
Ryan Russell,,,P,P,P,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Orlando Scandrick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rod Smith,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Devin Street,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
Geoff Swaim,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
Brandon Weeden,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Whitehead,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Wilber,,,P,P,,,,,,Q,P,,,P,Q,P,51.0,26.0,mlb,16.0,6.0,240.0,2020-06-04,Wake Forest,1989-04-26,3,3.0,Dallas Cowboys / 4th / 113th pick / 2012,769805.0
J.J. Wilcox,P,,,,,,,,,,,,,,,,27.0,24.0,DB,16.0,13.0,212.0,2000-06-01,Georgia Southern,1991-02-14,2,5.0,Dallas Cowboys / 3rd / 80th pick / 2013,751517.0
Jason Witten,,,P,P,,,,,,,,,,,P,P,82.0,33.0,TE,16.0,16.0,263.0,2020-06-06,Tennessee,1982-05-06,12,4.0,Dallas Cowboys / 3rd / 69th pick / 2003,8512000.0
