Player ,09/11vs. NYG,09/18vs. WAS,09/25vs. CHI,10/02vs. SFO,10/09vs. CIN,10/16vs. GNB,10/30vs. PHI,11/06vs. CLE,11/13vs. PIT,11/20vs. BAL,11/24vs. WAS,12/01vs. MIN,12/11vs. NYG,12/18vs. TAM,12/26vs. DET,01/01vs. PHI,01/15vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Dan Bailey,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Brown,,,,,,,,,,,,,,,,Q,,30.0,23.0,RCB,16.0,9.0,196.0,2020-05-11,Purdue,1993-12-15,Rook,4.0,Dallas Cowboys / 6th / 189th pick / 2016,450000.0
Dez Bryant,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,Q,Q,,,,,,,,,,,,,,,
La'el Collins,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Maliek Collins,,,,,,,,Q,,,,,,,,,,96.0,21.0,RDT,16.0,14.0,308.0,2020-06-02,Nebraska,1995-04-08,Rook,7.0,Dallas Cowboys / 3rd / 67th pick / 2016,450000.0
Tyrone Crawford,,,,,,,,,,,,,,,D,O,Q,98.0,27.0,LDE,14.0,14.0,290.0,2020-06-04,Boise St.,1989-11-22,4,7.0,Dallas Cowboys / 3rd / 81st pick / 2012,1250000.0
Ryan Davis,,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Justin Durant,,,,,,,,,,,,O,Q,,O,O,Q,,,,,,,,,,,,,
Doug Free,,,Q,Q,,,,,,,,,,,,,,68.0,32.0,RT,16.0,16.0,324.0,2020-06-06,Northern Illinois,1984-01-06,9,8.0,Dallas Cowboys / 4th / 122nd pick / 2007,4000000.0
Andrew Gachkar,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Chaz Green,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,IR,IR,IR,,,,,,,,,,,,,
Randy Gregory,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
James Hanna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jeff Heath,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Hitchens,,,,,,,,Q,,,,,,,,,,59.0,24.0,MLB,16.0,16.0,235.0,2000-06-01,Iowa,1992-06-10,2,7.0,Dallas Cowboys / 4th / 119th pick / 2014,600000.0
David Irving,,,,,O,Q,Q,,,,,Q,,,,,,,,,,,,,,,,,,
L.P. Ladouceur,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
DeMarcus Lawrence,,,,,,,Q,Q,Q,Q,Q,Q,Q,O,O,O,Q,,,,,,,,,,,,,
Sean Lee,,,,,,,,,,,,Q,,Q,Q,Q,,,,,,,,,,,,,,
Rolando McClain,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Darren McFadden,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
Kellen Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mark Nzeocha,O,O,D,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Romo,O,O,O,O,O,O,O,O,Q,Q,,,,,,,,,,,,,,,,,,,,
Orlando Scandrick,,Q,Q,Q,Q,O,Q,,,,,,Q,Q,,,,32.0,29.0,DB,12.0,10.0,196.0,2020-05-10,Boise St.,1987-02-10,8,4.0,Dallas Cowboys / 5th / 143rd pick / 2008,1000000.0
Jaylon Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyron Smith,,,,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,
Geoff Swaim,,Q,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,87.0,23.0,te,9.0,6.0,260.0,2020-06-04,Texas,1993-09-16,1,1.0,Dallas Cowboys / 7th / 246th pick / 2015,525000.0
Charles Tapper,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cedric Thornton,,,,,,,,,,,,,,Q,O,O,Q,,,,,,,,,,,,,
Kyle Wilber,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
Terrance Williams,,,,,,Q,,,,,,,,,,,,83.0,27.0,WR,16.0,15.0,210.0,2020-06-02,Baylor,1989-09-08,3,6.0,Dallas Cowboys / 3rd / 74th pick / 2013,1661000.0
Jason Witten,,,,,,Q,Q,,,,,,,,,,,82.0,34.0,TE,16.0,16.0,263.0,2020-06-06,Tennessee,1982-05-06,13,7.0,Dallas Cowboys / 3rd / 69th pick / 2003,1000000.0
