Player ,09/08vs. NYG,09/15vs. WAS,09/22vs. MIA,09/29vs. NOR,10/06vs. GNB,10/13vs. NYJ,10/20vs. PHI,11/04vs. NYG,11/10vs. MIN,11/17vs. DET,11/24vs. NWE,11/28vs. BUF,12/05vs. CHI,12/15vs. LAR,12/22vs. PHI,12/29vs. WAS,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Dorance Armstrong Jr.,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Tavon Austin,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Brown,,,,,,,O,Q,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Noah Brown,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
Ventell Bryant,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Randall Cobb,,,,,,Q,Q,,,,,,,,,,18.0,29.0,wr,15.0,6.0,192.0,2020-05-10,Kentucky,1990-08-22,8.0,7.0,Green Bay Packers / 2nd / 64th pick / 2011,2000000.0
La'el Collins,,,,,Q,Q,Q,,,Q,,,,,,,71.0,26.0,RT,15.0,15.0,320.0,2020-06-04,LSU,1993-07-26,4.0,9.0,,6516750.0
Amari Cooper,,,,,,,Q,,Q,,,,,,,,,,,,,,,,,,,,
Tyrone Crawford,,,O,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cameron Fleming,,,,,,,,O,O,,,,,,,,,,,,,,,,,,,,
Kavon Frazier,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Gallup,,,O,O,Q,,,,,,,,,,,,13.0,23.0,WR,14.0,12.0,198.0,2020-06-01,Colorado St.,1996-03-04,1.0,9.0,Dallas Cowboys / 3rd / 81st pick / 2018,629000.0
Luke Gifford,O,O,O,Q,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
C.J. Goodwin,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Jeff Heath,,,,,,,,,,Q,,Q,O,,,,38.0,28.0,SS,13.0,13.0,212.0,2020-06-01,Saginaw Valley St.,1991-05-14,6.0,5.0,,2000000.0
Jalen Jelks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jon'Vea Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Byron Jones,,,,,,,Q,,,,,,,,,Q,31.0,27.0,CB,15.0,14.0,205.0,2000-06-01,Connecticut,1992-09-26,4.0,5.0,Dallas Cowboys / 1st / 27th pick / 2015,6266000.0
Sean Lee,,,,,,,,,,,,,,Q,,,50.0,33.0,LLB,16.0,13.0,245.0,2020-06-02,Penn St.,1986-07-22,9.0,7.0,Dallas Cowboys / 2nd / 55th pick / 2010,2000000.0
Lance Lenoir,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joe Looney,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Zack Martin,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Connor McGovern,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tony Pollard,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Tyvis Powell,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Puni,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Redmond,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daniel Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jameill Showers,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Smith,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Tyron Smith,,,,,O,Q,Q,,,,,,,,,Q,,,,,,,,,,,,,
Xavier Su'a-Filo,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Joe Thomas,,,,,,,,,,,Q,,,,Q,O,,,,,,,,,,,,,
Darian Thompson,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton Vander Esch,,,,,,,,Q,,,O,O,O,O,O,IR,55.0,23.0,RLB,9.0,9.0,256.0,2020-06-04,Boise St.,1996-02-08,1.0,5.0,Dallas Cowboys / 1st / 19th pick / 2018,1018535.0
Chris Westry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cody Wichmann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Connor Williams,,,,,,,,,,O,Q,,IR,IR,IR,IR,52.0,22.0,LG,11.0,11.0,298.0,2020-06-05,Texas,1997-05-12,1.0,5.0,Dallas Cowboys / 2nd / 50th pick / 2018,729500.0
Cedrick Wilson Jr.,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Donovan Wilson,O,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Antwaun Woods,,,O,O,Q,,,,,,,O,O,,,Q,99.0,26.0,RDT,10.0,10.0,318.0,2020-06-01,USC,1993-01-03,3.0,5.0,,570000.0
Xavier Woods,,,O,,,,,,,,,,,,,,25.0,24.0,FS,15.0,15.0,202.0,2020-05-11,Louisiana Tech,1995-07-26,2.0,6.0,Dallas Cowboys / 6th / 191st pick / 2017,645000.0
