Player ,09/13vs. LAR,09/20vs. ATL,09/27vs. SEA,10/04vs. CLE,10/11vs. NYG,10/19vs. ARI,10/25vs. WAS,11/01vs. PHI,11/08vs. PIT,11/22vs. MIN,11/26vs. WAS,12/08vs. BAL,12/13vs. CIN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Chidobe Awuzie,,,O,IR,IR,IR,IR,IR,IR,IR,,,C19,24.0,25.0,CB,5.0,5.0,202.0,2000-06-01,Colorado,1995-05-24,3,,Dallas Cowboys / 2nd / 60th pick / 2017,1049126.0
Tyler Biadasz,,,,,,,,,,O,IR,IR,IR,63.0,23.0,OL,9.0,4.0,314.0,2020-06-04,Wisconsin,1997-11-20,Rook,,Dallas Cowboys / 4th / 146th pick / 2020,610000.0
Anthony Brown,,IR,IR,IR,IR,,,,,,Q,,,30.0,27.0,CB,7.0,5.0,196.0,2020-05-11,Purdue,1993-12-15,4,,Dallas Cowboys / 6th / 189th pick / 2016,1750000.0
Ventell Bryant,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Maurice Canady,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
La'el Collins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andy Dalton,,,,,,,,O,C19,C19,,,,14.0,33.0,QB,8.0,6.0,220.0,2020-06-02,TCU,1987-10-29,9,,Cincinnati Bengals / 2nd / 35th pick / 2011,1000000.0
Trevon Diggs,,,,Q,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Ezekiel Elliott,,,,,,,,,Q,,,,,21.0,25.0,RB,13.0,13.0,228.0,2000-06-01,Ohio St.,1995-07-22,4,,Dallas Cowboys / 1st / 4th pick / 2016,6800000.0
Cameron Erving,,IR,IR,IR,IR,IR,IR,,,,,,IR,,,,,,,,,,,,,
Travis Frederick,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Randy Gregory,,,,,,,,,,Q,,,,94.0,28.0,DE,7.0,0.0,255.0,2020-06-05,Nebraska,1992-11-23,5,,Dallas Cowboys / 2nd / 60th pick / 2015,825000.0
Stephen Guidry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trysten Hill,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mitch Hyatt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Blake Jarwin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Jones,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Azur Kamara,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Knight,,,,,,,IR,IR,IR,IR,,,,69.0,23.0,T,10.0,6.0,314.0,2020-06-04,Indiana,1997-04-01,1,,,513236.0
DeMarcus Lawrence,,,Q,,,,,,,Q,,,,90.0,28.0,DE,13.0,12.0,265.0,2020-06-03,Boise St.,1992-04-28,6,,Dallas Cowboys / 2nd / 34th pick / 2014,1900000.0
Sean Lee,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,50.0,34.0,MLB,6.0,0.0,245.0,2020-06-02,Penn St.,1986-07-22,10,,Dallas Cowboys / 2nd / 55th pick / 2010,2000000.0
Jourdan Lewis,O,,,,,,,,,,,,,26.0,25.0,CB,12.0,10.0,195.0,2020-05-10,Michigan,1995-08-31,3,,Dallas Cowboys / 3rd / 92nd pick / 2017,2133000.0
Joe Looney,,,,,IR,IR,IR,IR,,,,,,73.0,30.0,G,10.0,9.0,315.0,2020-06-03,Wake Forest,1990-08-31,8,,San Francisco 49ers / 4th / 117th pick / 2012,2300000.0
Zack Martin,,,,,,,O,,,,,IR,IR,,,,,,,,,,,,,
Jamize Olawale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Steven Parker,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Dak Prescott,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Aldon Smith,,,,,,,,,Q,,,,,58.0,31.0,DE,13.0,13.0,255.0,2020-06-05,Missouri,1989-09-25,9,,San Francisco 49ers / 1st / 7th pick / 2011,910000.0
Tyron Smith,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joe Thomas,,,,,,,,,Q,,,,,48.0,29.0,LB,12.0,4.0,232.0,2020-06-01,South Carolina St.,1991-05-06,6,,,1000000.0
Leighton Vander Esch,,IR,IR,IR,IR,IR,,,,,,,,55.0,24.0,OLB,9.0,9.0,256.0,2020-06-04,Boise St.,1996-02-08,2,,Dallas Cowboys / 1st / 19th pick / 2018,1557071.0
Greg Zuerlein,,,,,,,,,,,Q,,,2.0,33.0,K,13.0,0.0,191.0,2000-06-01,Missouri Western St.,1987-12-27,8,,St. Louis Rams / 6th / 171st pick / 2012,1250000.0
