Player ,09/13vs. WAS,09/20vs. JAX,09/27vs. BUF,10/04vs. NYJ,10/18vs. TEN,10/25vs. HOU,10/29vs. NWE,11/08vs. BUF,11/15vs. PHI,11/22vs. DAL,11/29vs. NYJ,12/06vs. BAL,12/14vs. NYG,12/20vs. SDG,12/27vs. IND,01/03vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Walt Aikens,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,
Jay Ajayi,IR,IR,IR,IR,IR,IR,IR,,,,P,P,,,,,,,,,,,,,,,,,
Branden Albert,P,,D,D,Q,P,,,,,P,P,P,,P,,,,,,,,,,,,,,
Zackary Bowman,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,,
Jordan Cameron,,,Q,Q,,,,Q,P,,,,,,,,84.0,27.0,TE,16.0,16.0,265.0,2020-06-05,USC,1988-08-07,4,3.0,Cleveland Browns / 4th / 102nd pick / 2011,4562500.0
Louis Delmas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
John Denney,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,
Jamil Douglas,,,,,,,,,,P,,,,,,Q,75.0,23.0,rg,16.0,6.0,309.0,2020-06-04,Arizona St.,1992-02-28,Rook,3.0,Miami Dolphins / 4th / 114th pick / 2015,564641.0
Jason Fox,D,,,,,,,,,,,,,,,,74.0,27.0,RT,15.0,11.0,299.0,2020-06-06,Miami (FL),1988-05-02,5,5.0,Detroit Lions / 4th / 128th pick / 2010,957500.0
A.J. Francis,,,,,Q,P,,,,,,,,,,,,,,,,,,,,,,,
Shamiel Gary,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
Jonas Gray,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Brent Grimes,,,,,Q,P,P,P,,,,,,,,,,,,,,,,,,,,,
Neville Hewitt,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Ja'Wuan James,,,,,,,,O,O,O,O,O,O,O,D,Q,70.0,23.0,rt,7.0,7.0,312.0,2020-06-06,Tennessee,1992-06-03,1,3.0,Miami Dolphins / 1st / 19th pick / 2014,1915545.0
LaMichael James,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelani Jenkins,,,,,,,,,P,D,Q,P,P,D,Q,D,53.0,23.0,RLB,13.0,13.0,240.0,2000-06-01,Florida,1992-03-13,2,6.0,Miami Dolphins / 4th / 104th pick / 2013,703172.0
Reshad Jones,,Q,P,,,P,,P,,,P,,,,,,,,,,,,,,,,,,
Jordan Kovacs,,,,,,,,D,P,,,,,,,,,,,,,,,,,,,,
Jarvis Landry,,,,,,,,,,,Q,P,P,P,P,P,,,,,,,,,,,,,
Rishard Matthews,,,,,,,,,,,,IR,IR,IR,IR,Q,18.0,26.0,WR,11.0,11.0,217.0,2000-06-01,Nevada,1989-10-12,3,4.0,Miami Dolphins / 7th / 227th pick / 2012,673403.0
Bobby McCain,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Brice McCain,,,,,,D,Q,P,P,Q,P,,,,,,24.0,29.0,RCB,14.0,11.0,190.0,2020-05-09,Utah,1986-12-10,6,4.0,Houston Texans / 6th / 188th pick / 2009,2000000.0
Chris McCain,,,,,P,,P,,,,D,P,,,,IR,,,,,,,,,,,,,
Lamar Miller,,,Q,,,,,,,,,,,P,P,,26.0,24.0,RB,16.0,16.0,221.0,2020-05-10,Miami (FL),1991-04-25,3,7.0,Miami Dolphins / 4th / 97th pick / 2012,1663500.0
Koa Misi,,,,,,,,P,P,Q,Q,P,,,IR,IR,55.0,28.0,LLB,13.0,13.0,244.0,2020-06-03,Utah,1987-01-17,5,5.0,Miami Dolphins / 2nd / 40th pick / 2010,4438000.0
Earl Mitchell,,,Q,P,,,,,,,,O,Q,O,D,Q,90.0,28.0,RDT,12.0,12.0,310.0,2020-06-03,Arizona,1987-09-25,5,5.0,Houston Texans / 3rd / 81st pick / 2010,4500000.0
Matt Moore,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,
DeVante Parker,P,,,,,,,D,Q,,,,,,P,,,,,,,,,,,,,,
Spencer Paysinger,,,,,,,P,P,D,D,Q,,,,,,,,,,,,,,,,,,
Jordan Phillips,,,,,,P,P,Q,P,,,P,P,,,,,,,,,,,,,,,,
Mike Pouncey,,,P,,,P,P,,,,,Q,P,,Q,D,,,,,,,,,,,,,
Derrick Shelby,,Q,,,,,,,,,,,,,,,79.0,26.0,LDE,16.0,9.0,280.0,2020-06-02,Utah,1989-03-04,3,5.0,,2356000.0
Kelvin Sheppard,,,,,,,,,,,Q,P,,,,,52.0,27.0,MLB,16.0,13.0,249.0,2020-06-02,LSU,1988-01-02,4,6.0,Buffalo Bills / 3rd / 68th pick / 2011,2000000.0
Dion Sims,,O,D,O,P,,,,,,,P,,,,,,,,,,,,,,,,,
Kenny Stills,,,,,,P,,,,,,Q,P,,,Q,10.0,23.0,WR,16.0,8.0,202.0,2020-06-01,Oklahoma,1992-04-22,2,3.0,New Orleans Saints / 5th / 144th pick / 2013,585000.0
Jake Stoneburner,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
Ryan Tannehill,,,P,,,,,,,,,,,,,P,17.0,27.0,QB,16.0,16.0,207.0,2020-06-04,Texas A&M,1988-07-27,3,11.0,Miami Dolphins / 1st / 8th pick / 2012,4873364.0
Jamar Taylor,P,,,,,,,,,,,,,,,,22.0,25.0,rcb,12.0,6.0,192.0,2020-05-11,Boise St.,1990-09-29,2,2.0,Miami Dolphins / 2nd / 54th pick / 2013,988950.0
Michael Thomas,,,,,,,,,,P,,,,,,,31.0,25.0,SS,16.0,13.0,195.0,2020-05-11,Stanford,1990-03-17,2,4.0,,585000.0
Robert Thomas,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Billy Turner,,,,,,,,,Q,,,,,P,P,P,77.0,24.0,RG,13.0,12.0,310.0,2020-06-05,North Dakota St.,1991-10-17,1,5.0,Miami Dolphins / 3rd / 67th pick / 2014,723000.0
Olivier Vernon,,P,,,,,,,,,,,,,,,50.0,25.0,RDE,16.0,16.0,262.0,2020-06-02,Miami (FL),1990-10-07,3,7.0,Miami Dolphins / 3rd / 72nd pick / 2012,1701520.0
Cameron Wake,,Q,P,,P,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,91.0,33.0,lde,7.0,7.0,263.0,2020-06-03,Penn St.,1982-01-30,6,3.0,,10450000.0
Brandon Williams,,,,,,,,,,,,,O,IR,IR,IR,,,,,,,,,,,,,
Damien Williams,,,,,,,,Q,P,P,,,,P,,,,,,,,,,,,,,,
