Player ,09/11vs. SEA,09/18vs. NWE,09/25vs. CLE,09/29vs. CIN,10/09vs. TEN,10/16vs. PIT,10/23vs. BUF,11/06vs. NYJ,11/13vs. SDG,11/20vs. LAR,11/27vs. SFO,12/04vs. BAL,12/11vs. ARI,12/17vs. NYJ,12/24vs. BUF,01/01vs. NWE,01/08vs. PIT,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Isa Abdul-Quddus,,,,,,Q,,Q,Q,Q,,,Q,Q,Q,IR,IR,24.0,27.0,SS,15.0,15.0,200.0,2020-06-01,Fordham,1989-08-03,5,6.0,,2583333.0
Jay Ajayi,O,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Kiko Alonso,,,,Q,,,,,,,,Q,D,Q,Q,,,47.0,26.0,MLB,15.0,15.0,239.0,2020-06-03,Oregon,1990-08-14,3,8.0,Buffalo Bills / 2nd / 46th pick / 2013,991418.0
Jermon Bushrod,,,,Q,,,,Q,Q,Q,,Q,,Q,Q,,,74.0,32.0,RG,16.0,16.0,318.0,2020-06-05,Towson,1984-08-19,9,7.0,New Orleans Saints / 4th / 125th pick / 2007,1437500.0
Jordan Cameron,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Leonte Carroo,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Chimdi Chekwa,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Culliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kenyan Drake,,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,
Ifo Ekpre-Olomu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Terrence Fede,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arian Foster,,Q,O,O,D,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
MarQueis Gray,,,,,,Q,,,Q,,,,,,,,,48.0,27.0,TE,16.0,7.0,263.0,2020-06-04,Minnesota,1989-11-07,3,1.0,,675000.0
Xavien Howard,,Q,Q,Q,O,O,O,O,O,O,D,D,Q,,,,,25.0,23.0,rcb,7.0,6.0,198.0,2020-06-01,Baylor,1993-07-04,Rook,2.0,Miami Dolphins / 2nd / 38th pick / 2016,1114189.0
Mike Hull,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Jason Jones,,,Q,Q,,,,,,Q,,,,,,,,98.0,30.0,rdt,14.0,5.0,272.0,2020-06-05,East. Michigan,1986-05-23,8,3.0,Tennessee Titans / 2nd / 54th pick / 2008,1502188.0
Reshad Jones,,,,Q,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,20.0,28.0,FS,6.0,6.0,215.0,2020-06-01,Georgia,1988-02-25,6,2.0,Miami Dolphins / 5th / 163rd pick / 2010,8202942.0
Dion Jordan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jarvis Landry,,,,Q,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,
Tony Lippett,,,,,,,Q,,,,,,,,,,Q,36.0,24.0,RCB,16.0,13.0,192.0,2020-06-02,Michigan St.,1992-07-02,1,6.0,Miami Dolphins / 5th / 156th pick / 2015,578691.0
Byron Maxwell,,,,,,,,,,,,,,,D,D,D,41.0,28.0,LCB,13.0,13.0,207.0,2020-06-01,Clemson,1988-02-23,5,5.0,Seattle Seahawks / 6th / 173rd pick / 2011,8500000.0
Bobby McCain,,,,,,,,,,,,,,Q,Q,,,28.0,23.0,DB,16.0,8.0,192.0,2020-05-11,Memphis,1993-08-18,1,4.0,Miami Dolphins / 5th / 145th pick / 2015,582072.0
Koa Misi,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Earl Mitchell,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,90.0,29.0,rdt,9.0,5.0,310.0,2020-06-03,Arizona,1987-09-25,6,2.0,Houston Texans / 3rd / 81st pick / 2010,3500000.0
Matt Moore,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
DeVante Parker,Q,Q,Q,Q,,,,Q,,,,Q,Q,,,,,11.0,23.0,WR,15.0,8.0,216.0,2020-06-03,Louisville,1993-01-20,1,6.0,Miami Dolphins / 1st / 14th pick / 2015,2471942.0
Spencer Paysinger,,Q,Q,Q,,,Q,,,,Q,,Q,Q,,Q,,,,,,,,,,,,,,
Isaiah Pead,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Phillips,,Q,,,,,,,,,,,,,,,,97.0,24.0,RDT,16.0,11.0,341.0,2020-06-06,Oklahoma,1992-09-21,1,5.0,Miami Dolphins / 2nd / 52nd pick / 2015,991570.0
