Player ,09/17vs. LAC,09/24vs. NYJ,10/01vs. NOR,10/08vs. TEN,10/15vs. ATL,10/22vs. NYJ,10/26vs. BAL,11/05vs. OAK,11/13vs. CAR,11/19vs. TAM,11/26vs. NWE,12/03vs. DEN,12/11vs. NWE,12/17vs. BUF,12/24vs. KAN,12/31vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jay Ajayi,,Q,Q,,,,,,,,,,,,,,23.0,24.0,RB,7.0,7.0,223.0,2000-06-01,Boise St.,1993-06-15,2,3.0,Miami Dolphins / 5th / 149th pick / 2015,615000.0
Chase Allen,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Allen,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,29.0,30.0,fs,7.0,7.0,205.0,2020-06-01,South Florida,1987-11-30,7,2.0,Philadelphia Eagles / 2nd / 37th pick / 2010,1400000.0
Kiko Alonso,,,Q,,,,,,,,,,,,,,47.0,27.0,LOLB,16.0,16.0,239.0,2020-06-03,Oregon,1990-08-14,4,7.0,Buffalo Bills / 2nd / 46th pick / 2013,1075000.0
Stephone Anthony,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Isaac Asiata,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamin Barrow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andre Branch,,,,,,Q,Q,Q,,,,,,Q,Q,,50.0,28.0,LDE,14.0,14.0,263.0,2020-06-05,Clemson,1989-07-14,5,6.0,Jacksonville Jaguars / 2nd / 38th pick / 2012,2900000.0
Jermon Bushrod,,,,,,,,Q,,,IR,IR,IR,IR,IR,IR,74.0,33.0,RG,10.0,10.0,318.0,2020-06-05,Towson,1984-08-19,10,4.0,New Orleans Saints / 4th / 125th pick / 2007,1475000.0
Leonte Carroo,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Jay Cutler,,,,,,,O,Q,,,O,,,,,,6.0,34.0,QB,14.0,14.0,231.0,2020-06-03,Vanderbilt,1983-04-29,11,5.0,Denver Broncos / 1st / 11th pick / 2006,5000000.0
John Denney,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Fede,,,,Q,,,,,,,,,,,Q,,,,,,,,,,,,,,
Isaiah Ford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Davon Godchaux,,,,,,,,,,,,Q,Q,,,,56.0,23.0,rdt,15.0,5.0,311.0,2020-06-03,LSU,1994-11-11,Rook,3.0,Miami Dolphins / 5th / 178th pick / 2017,465000.0
Jakeem Grant,,,Q,,,,,,Q,,,,,,,,,,,,,,,,,,,,
MarQueis Gray,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Charles Harris,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
William Hayes,,,,,,,,Q,,Q,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Neville Hewitt,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Xavien Howard,,,,Q,Q,Q,,,,,,,,Q,,,25.0,24.0,RCB,16.0,16.0,198.0,2020-06-01,Baylor,1993-07-04,1,6.0,Miami Dolphins / 2nd / 38th pick / 2016,728547.0
Mike Hull,,,,Q,,,,,Q,,,,,,,,,,,,,,,,,,,,
Ja'Wuan James,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,70.0,25.0,RT,8.0,8.0,312.0,2020-06-06,Tennessee,1992-06-03,3,3.0,Miami Dolphins / 1st / 19th pick / 2014,1569327.0
Jarvis Landry,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Larsen,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,62.0,30.0,LG,8.0,8.0,323.0,2020-06-03,North Carolina St.,1987-06-13,7,3.0,New England Patriots / 6th / 205th pick / 2010,975000.0
Tony Lippett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rey Maualuga,O,O,Q,,,,,,,,,,,,,,58.0,30.0,MLB,6.0,4.0,254.0,2020-06-01,USC,1987-01-20,8,2.0,Cincinnati Bengals / 2nd / 38th pick / 2009,900000.0
Byron Maxwell,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
Bobby McCain,,,,,,,,,Q,,,,,,,,28.0,24.0,db,16.0,7.0,192.0,2020-05-11,Memphis,1993-08-18,2,3.0,Miami Dolphins / 5th / 145th pick / 2015,615000.0
