Player ,09/09vs. TEN,09/16vs. NYJ,09/23vs. OAK,09/30vs. NWE,10/07vs. CIN,10/14vs. CHI,10/21vs. DET,10/25vs. HOU,11/04vs. NYJ,11/11vs. GNB,11/25vs. IND,12/02vs. BUF,12/09vs. NWE,12/16vs. MIN,12/23vs. JAX,12/30vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Chase Allen,,,,O,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kiko Alonso,,,,,,,,,,Q,,,,,Q,Q,47.0,28.0,LLB,15.0,15.0,239.0,2020-06-03,Oregon,1990-08-14,5,7.0,Buffalo Bills / 2nd / 46th pick / 2013,7875000.0
Danny Amendola,,,,,,,,,,,Q,D,Q,,,,80.0,33.0,WR,15.0,15.0,185.0,2020-05-11,Texas Tech,1985-11-02,9,4.0,,2950000.0
Stephone Anthony,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bolden,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Andre Branch,,,,O,Q,Q,,,,,,,,,,Q,,,,,,,,,,,,,
Jake Brendel,IR,IR,IR,IR,IR,IR,IR,IR,,,,,O,IR,IR,IR,,,,,,,,,,,,,
John Denney,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Derby,,,,O,O,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Luke Falk,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mike Gesicki,,,,,,,,Q,,,,,,,,,86.0,23.0,te,16.0,7.0,250.0,2020-06-06,Penn St.,1995-10-03,Rook,2.0,Miami Dolphins / 2nd / 42nd pick / 2018,480000.0
Davon Godchaux,,,,Q,,,,,,,Q,,,,,,56.0,24.0,LDT,16.0,16.0,311.0,2020-06-03,LSU,1994-11-11,1,7.0,Miami Dolphins / 5th / 178th pick / 2017,555000.0
Frank Gore,,,,,,,,,,,,,,,IR,IR,21.0,35.0,RB,14.0,14.0,212.0,2020-05-09,Miami (FL),1983-05-14,13,5.0,San Francisco 49ers / 3rd / 65th pick / 2005,1015000.0
Jakeem Grant,,,,,,Q,,,,Q,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
MarQueis Gray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Charles Harris,,,,,,Q,O,O,O,O,,,,,,,,,,,,,,,,,,,
William Hayes,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Evander Hood,,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,
Xavien Howard,,,,,,,,,Q,,,,O,D,Q,Q,,,,,,,,,,,,,
Mike Hull,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,
Ja'Wuan James,,,,,,,,,,Q,Q,,,,,,70.0,26.0,RT,15.0,15.0,312.0,2020-06-06,Tennessee,1992-06-03,4,7.0,Miami Dolphins / 1st / 19th pick / 2014,9341000.0
Reshad Jones,,,Q,Q,Q,,,,,,,,,,,,20.0,30.0,SS,14.0,13.0,215.0,2020-06-01,Georgia,1988-02-25,8,5.0,Miami Dolphins / 5th / 163rd pick / 2010,970000.0
Daniel Kilgore,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ted Larsen,,,,,,,,,,D,Q,,,,,,62.0,31.0,LG,15.0,13.0,323.0,2020-06-03,North Carolina St.,1987-06-13,8,5.0,New England Patriots / 6th / 205th pick / 2010,1500000.0
