Player ,09/08vs. BAL,09/15vs. NWE,09/22vs. DAL,09/29vs. LAC,10/13vs. WAS,10/20vs. BUF,10/28vs. PIT,11/03vs. NYJ,11/10vs. IND,11/17vs. BUF,11/24vs. CLE,12/01vs. PHI,12/08vs. NYJ,12/15vs. NYG,12/22vs. CIN,12/29vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Walt Aikens,,,,,,,,Q,,,,,,O,,,,,,,,,,,,,,,
Chase Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Johnson Bademosi,Q,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Kalen Ballage,,,,,Q,,,,,,,,IR,IR,IR,IR,27.0,24.0,RB,12.0,6.0,231.0,2020-06-02,Arizona St.,1995-12-22,1,1.0,Miami Dolphins / 4th / 131st pick / 2018,570000.0
Vince Biegel,,,,,,,,,,,,,,,,Q,47.0,26.0,RILB,15.0,10.0,246.0,2020-06-03,Wisconsin,1993-07-22,2,4.0,Green Bay Packers / 4th / 108th pick / 2017,
Evan Boehm,,,,,,,,,Q,,,,,,Q,,76.0,26.0,C,13.0,8.0,321.0,2020-06-03,Missouri,1993-08-19,3,4.0,Arizona Cardinals / 4th / 128th pick / 2016,
Taco Charlton,,,,,,,,,,Q,Q,,,,Q,Q,96.0,25.0,lde,10.0,5.0,270.0,2020-06-06,Michigan,1994-11-07,2,2.0,Dallas Cowboys / 1st / 28th pick / 2017,
Chandler Cox,,,,,,,,,,,,,,D,Q,,,,,,,,,,,,,,
James Crawford,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ken Crawley,,,,,,,,,,,,Q,IR,IR,IR,,,,,,,,,,,,,,
Julie'n Davenport,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,70.0,24.0,LT,8.0,8.0,325.0,2020-06-07,Bucknell,1995-01-09,2,4.0,Houston Texans / 4th / 130th pick / 2017,645000.0
Jesse Davis,,,,Q,Q,,,,,,,,,,,,77.0,28.0,RT,15.0,15.0,325.0,2020-06-06,Idaho,1991-09-15,2,6.0,,645000.0
Trevor Davis,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,
Andrew Donnal,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,
Kenyan Drake,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,
Myles Gaskin,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Davon Godchaux,,,,,,,,,Q,,,,,,,,56.0,25.0,NT,16.0,16.0,311.0,2020-06-03,LSU,1994-11-11,2,6.0,Miami Dolphins / 5th / 178th pick / 2017,645000.0
Jakeem Grant,,,,,Q,Q,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Charles Harris,Q,Q,Q,,,,,,,,,,,,,,90.0,24.0,lb,14.0,5.0,252.0,2020-06-03,Missouri,1995-03-06,2,2.0,Miami Dolphins / 1st / 22nd pick / 2017,1450794.0
Trent Harris,Q,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Tae Hayes,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,
Xavien Howard,,,,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,25.0,26.0,LCB,5.0,5.0,198.0,2020-06-01,Baylor,1993-07-04,3,2.0,Miami Dolphins / 2nd / 38th pick / 2016,1285642.0
Mike Hull,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
Allen Hurns,,,,O,,,,,,,,,,,,Q,17.0,28.0,WR,14.0,7.0,195.0,2020-06-03,Miami (FL),1991-11-12,5,3.0,,1750000.0
Danny Isidora,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gary Jennings Jr,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
