Player ,09/13vs. NWE,09/20vs. BUF,09/24vs. JAX,10/04vs. SEA,10/11vs. SFO,10/18vs. NYJ,11/01vs. LAR,11/08vs. ARI,11/15vs. LAC,11/22vs. DEN,11/29vs. NYJ,12/06vs. CIN,12/13vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Salvon Ahmed,,,,,,,,,,,O,,,26.0,22.0,RB,3.0,2.0,196.0,2020-05-11 00:00:00,Washington,1998-12-29,Rook,,,466471.0
Vince Biegel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Lynn Bowden Jr.,,,,,,,,C19,C19,,,,,15.0,23.0,WR,7.0,1.0,204.0,2020-05-11 00:00:00,Kentucky,1997-10-14,Rook,,Las Vegas Raiders / 3rd / 80th pick / 2020,
Matt Breida,,,,,,,,O,Q,,,C19,C19,22.0,25.0,RB,9.0,1.0,190.0,2020-05-10 00:00:00,Georgia Southern,1995-02-28,3,,,3259000.0
Nate Brooks,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Davis,,,,,,,,,,,C19,,,77.0,29.0,T,13.0,12.0,325.0,2020-06-06 00:00:00,Idaho,1991-09-15,3,,,3855000.0
Clayton Fejedelem,D,D,D,,,,,,,,,,,42.0,27.0,FS,10.0,0.0,205.0,2000-06-01 00:00:00,Illinois,1993-06-02,4,,Cincinnati Bengals / 7th / 245th pick / 2016,1500000.0
Kavon Frazier,,,,D,,,,,,,,,,35.0,26.0,FS,12.0,0.0,220.0,2000-06-01 00:00:00,Central Michigan,1994-08-11,4,,Dallas Cowboys / 6th / 212th pick / 2016,910000.0
Myles Gaskin,,,,,,,,IR,IR,IR,IR,IR,C19,,,,,,,,,,,,,
Davon Godchaux,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jakeem Grant,,,,,Q,,,,,,Q,,,19.0,28.0,WR,13.0,3.0,171.0,2020-05-07 00:00:00,Texas Tech,1992-10-30,4,,Miami Dolphins / 6th / 186th pick / 2016,3780000.0
Allen Hurns,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Austin Jackson,,,,,IR,IR,IR,IR,,,,,,73.0,21.0,OL,10.0,9.0,322.0,2020-06-05 00:00:00,USC,1999-08-11,Rook,,Miami Dolphins / 1st / 18th pick / 2020,560588.0
Byron Jones,,,O,D,,,,,,,,,,24.0,28.0,CB,11.0,11.0,205.0,2000-06-01 00:00:00,Connecticut,1992-09-26,5,,Dallas Cowboys / 1st / 27th pick / 2015,11000000.0
Solomon Kindley,,,,Q,,,,,,Q,O,,,66.0,23.0,OL,12.0,12.0,337.0,2020-06-03 00:00:00,Georgia,1997-07-03,Rook,,Miami Dolphins / 4th / 111th pick / 2020,610000.0
Shaq Lawson,,,,,O,Q,,,,,,,,90.0,26.0,DE,12.0,7.0,267.0,2020-06-03 00:00:00,Clemson,1994-06-17,4,,Buffalo Bills / 1st / 19th pick / 2016,6400000.0
Jonathan Ledbetter,,,,,IR,,,,,,,,,,,,,,,,,,,,,
DeVante Parker,,Q,,,,,,,,,,,,11.0,27.0,WR,13.0,10.0,216.0,2020-06-03 00:00:00,Louisville,1993-01-20,5,,Miami Dolphins / 1st / 14th pick / 2015,1300000.0
Jamal Perry,,,,,,,O,Q,Q,,,,C19,,,,,,,,,,,,,
Elandon Roberts,,O,,,,,,,,,,,,44.0,26.0,ILB,11.0,10.0,238.0,2000-06-01 00:00:00,Houston,1994-04-22,4,,New England Patriots / 6th / 214th pick / 2016,1000000.0
Adam Shaheen,,,,,,,Q,,,,,,,80.0,26.0,TE,13.0,4.0,257.0,2020-06-06 00:00:00,Ashland,1994-10-24,3,,Chicago Bears / 2nd / 45th pick / 2017,1270982.0
Ray Smith,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Durham Smythe,,,,,O,Q,,,Q,,,,,81.0,25.0,TE,12.0,10.0,260.0,2020-06-06 00:00:00,Notre Dame,1995-08-09,2,,Miami Dolphins / 4th / 123rd pick / 2018,750000.0
Jason Strowbridge,,,O,,,,,,,,,,,58.0,24.0,DL,6.0,0.0,275.0,2020-06-04 00:00:00,North Carolina,1996-09-10,Rook,,Miami Dolphins / 5th / 154th pick / 2020,610000.0
Tua Tagovailoa,,,,Q,,,,,,,Q,,,1.0,22.0,QB,7.0,6.0,217.0,2000-06-01 00:00:00,Alabama,1998-03-02,Rook,,Miami Dolphins / 1st / 5th pick / 2020,610000.0
Kyle Van Noy,,,,,,Q,,,C19,Q,,,,53.0,29.0,OLB,11.0,10.0,250.0,2020-06-03 00:00:00,BYU,1991-03-26,6,,Detroit Lions / 2nd / 40th pick / 2014,3000000.0
Christian Wilkins,,,,,,,,,C19,C19,C19,,,94.0,25.0,DL,11.0,9.0,315.0,2020-06-04 00:00:00,Clemson,1995-12-20,1,,Miami Dolphins / 1st / 13th pick / 2019,1196777.0
Albert Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
