Player ,09/13vs. DAL,09/20vs. ATL,09/24vs. WAS,10/04vs. BUF,10/11vs. SFO,10/19vs. PHI,10/25vs. DAL,11/01vs. NOR,11/08vs. TAM,11/15vs. NWE,11/29vs. WAS,12/06vs. NYJ,12/14vs. MIA,12/20vs. CAR,12/27vs. MIN,01/03vs. PHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Danny Aiken,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Prince Amukamara,,,,,,O,O,O,O,O,P,,,,,,20.0,26.0,LCB,11.0,10.0,206.0,2000-06-01,Nebraska,1989-06-06,4,4.0,New York Giants / 1st / 19th pick / 2011,6898000.0
Robert Ayers,,,Q,O,O,Q,P,,,,,P,Q,,,,91.0,30.0,LDE,12.0,11.0,275.0,2020-06-03,Tennessee,1985-09-06,6,5.0,Denver Broncos / 1st / 18th pick / 2009,2437500.0
Jon Beason,O,D,P,,,Q,P,IR,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Will Beatty,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Odell Beckham Jr.,,,,,,Q,Q,P,,,,,,,,,,,,,,,,,,,,,
Nat Berhe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jay Bromley,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Casillas,P,,,,Q,Q,Q,,,,,,,,,,54.0,28.0,rlb,15.0,7.0,225.0,2000-06-01,Wisconsin,1987-06-03,6,4.0,,1666666.0
Victor Cruz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jerome Cunningham,,,O,O,P,,,,,,,,,,,,,,,,,,,,,,,,
Craig Dahl,,,,,,,,,P,,,,,,,O,,,,,,,,,,,,,
Orleans Darkwa,,,,P,,,,,P,,,,,,P,,,,,,,,,,,,,,
Zak DeOssie,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Larry Donnell,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,84.0,27.0,TE,8.0,8.0,269.0,2020-06-05,Grambling St.,1988-11-01,3,2.0,,585000.0
Daniel Fells,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ereck Flowers,,P,D,Q,P,,,,,,,,Q,Q,P,,76.0,21.0,LT,15.0,15.0,330.0,2020-06-06,Miami (FL),1994-04-25,Rook,9.0,New York Giants / 1st / 9th pick / 2015,2616676.0
Josh Gordy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Johnathan Hankins,,,,,,,P,,,IR,IR,IR,IR,IR,IR,IR,95.0,23.0,RDT,9.0,9.0,340.0,2020-06-03,Ohio St.,1992-03-30,2,3.0,New York Giants / 2nd / 49th pick / 2013,1099278.0
Dwayne Harris,,,,,,,,,,,,,,Q,Q,Q,17.0,28.0,wr,15.0,6.0,215.0,2020-05-10,East Carolina,1987-09-16,4,6.0,Dallas Cowboys / 6th / 176th pick / 2011,1800000.0
Mark Herzlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayron Hosley,,,,,Q,,,,,,,,,,,,28.0,25.0,rcb,14.0,6.0,178.0,2020-05-10,Virginia Tech,1990-09-18,3,2.0,New York Giants / 3rd / 94th pick / 2012,796250.0
Bennett Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cullen Jenkins,P,,P,,,,,,,,,,,,,,99.0,34.0,LDT,16.0,13.0,305.0,2020-06-02,Central Michigan,1981-01-20,11,5.0,,2091668.0
Brett Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Devon Kennard,,,,,O,O,P,,,,,O,O,O,O,,59.0,24.0,LLB,9.0,9.0,256.0,2020-06-03,USC,1991-06-24,1,4.0,New York Giants / 5th / 174th pick / 2014,546140.0
Markus Kuhn,,O,O,O,P,,,,,,,,,IR,O,IR,78.0,29.0,LDT,10.0,9.0,299.0,2020-06-04,North Carolina St.,1986-05-06,3,3.0,New York Giants / 7th / 239th pick / 2012,671474.0
Trumaine McBride,,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,
Leon McFadden,,,,,,,,,Q,Q,P,,,,,,,,,,,,,,,,,,
Brandon McGee,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Brandon Meriweather,,,,,,,,,,,,O,Q,,,,22.0,31.0,SS,13.0,12.0,195.0,2020-05-11,Miami (FL),1984-01-14,8,4.0,New England Patriots / 1st / 24th pick / 2007,585000.0
Damontre Moore,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,
James Morris,,,,,,,,,,,,,,,O,IR,,,,,,,,,,,,,
Marshall Newhouse,,,,,,,,,,,,Q,P,,,O,73.0,27.0,RT,14.0,14.0,330.0,2020-06-04,TCU,1988-09-29,4,8.0,Green Bay Packers / 5th / 169th pick / 2010,1300000.0
Owamagbe Odighizuwa,P,O,O,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jason Pierre-Paul,,,,,,,,,,,,P,,,,Q,90.0,26.0,RDE,8.0,8.0,275.0,2020-06-05,South Florida,1989-01-01,5,4.0,New York Giants / 1st / 15th pick / 2010,14813000.0
Justin Pugh,,,,,,P,,,,P,O,P,,,,,67.0,25.0,LG,14.0,14.0,311.0,2020-06-05,Syracuse,1990-08-15,2,7.0,New York Giants / 1st / 19th pick / 2013,2276154.0
Rueben Randle,,,,,,P,P,,Q,,,,,,,,82.0,24.0,WR,16.0,16.0,208.0,2020-06-02,LSU,1991-05-07,3,7.0,New York Giants / 2nd / 63rd pick / 2012,1047432.0
Weston Richburg,,,,,,,,,,,D,Q,,,,,70.0,24.0,C,15.0,15.0,290.0,2020-06-04,Colorado St.,1991-07-09,1,7.0,New York Giants / 2nd / 43rd pick / 2014,1108489.0
Dominique Rodgers-Cromartie,,,O,P,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Schwartz,,,P,,,,,P,P,P,P,IR,IR,IR,IR,IR,74.0,29.0,RG,11.0,11.0,332.0,2020-06-06,Oregon,1986-07-11,7,5.0,Carolina Panthers / 7th / 241st pick / 2008,2845833.0
George Selvie,,,,,O,P,,,,,,,,O,P,,,,,,,,,,,,,,
Cooper Taylor,,,,,,,,,,,,,,,O,O,,,,,,,,,,,,,
J.T. Thomas,,,,,,,,O,O,O,Q,,,Q,,IR,55.0,27.0,RLB,12.0,11.0,241.0,2020-06-01,West Virginia,1988-08-15,4,4.0,Chicago Bears / 6th / 195th pick / 2011,2000000.0
Mykkele Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trevin Wade,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
Nikita Whitlock,,,,,,,,,,,,P,,,IR,IR,49.0,24.0,te,14.0,5.0,251.0,2020-05-10,Wake Forest,1991-05-16,1,0.0,,435000.0
