Player ,09/11vs. DAL,09/18vs. NOR,09/25vs. WAS,10/03vs. MIN,10/09vs. GNB,10/16vs. BAL,10/23vs. LAR,11/06vs. PHI,11/14vs. CIN,11/20vs. CHI,11/27vs. CLE,12/04vs. PIT,12/11vs. DAL,12/18vs. DET,12/22vs. PHI,01/01vs. WAS,01/08vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Andrew Adams,,,,,,,,,Q,,,,,,,,,33.0,24.0,FS,14.0,13.0,200.0,2020-05-11,Connecticut,1992-10-28,Rook,4.0,,450000.0
Jerell Adams,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Eli Apple,,,,D,Q,Q,,,,,,,,,,,,24.0,21.0,LCB,14.0,11.0,203.0,2020-06-01,Ohio St.,1995-08-09,Rook,4.0,New York Giants / 1st / 10th pick / 2016,450000.0
Nat Berhe,,,,O,O,O,O,Q,,,,O,O,Q,O,O,,,,,,,,,,,,,,
Jonathan Casillas,,,,,,,,,Q,,,,,,Q,,,52.0,29.0,RLB,16.0,15.0,225.0,2000-06-01,Wisconsin,1987-06-03,7,8.0,,2475000.0
Victor Cruz,,,,,,,,,Q,,,,,,,,,80.0,30.0,WR,15.0,12.0,204.0,2000-06-01,Massachusetts,1986-11-11,6,4.0,,2400000.0
Orleans Darkwa,,,,,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Zak DeOssie,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Larry Donnell,,,,,O,,,,,,,,,,,,,84.0,28.0,te,14.0,6.0,269.0,2020-06-05,Grambling St.,1988-11-01,4,1.0,,1671000.0
Adam Gettis,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
B.J. Goodson,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Dwayne Harris,,,,,,Q,,,,,,,Q,,,,,,,,,,,,,,,,,
Mark Herzlich,,,,,,,,,,,,O,O,,,,,,,,,,,,,,,,,
Janoris Jenkins,,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,
Rashad Jennings,,,,Q,Q,Q,,,,,,,,,,,,23.0,31.0,RB,13.0,12.0,234.0,2020-06-01,Liberty,1985-03-26,7,5.0,Jacksonville Jaguars / 7th / 250th pick / 2009,2230000.0
Will Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brett Jones,,,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,,,
Devon Kennard,,,,,,Q,,,,,,,,,,,,59.0,25.0,LLB,16.0,9.0,256.0,2020-06-03,USC,1991-06-24,2,5.0,New York Giants / 5th / 174th pick / 2014,600000.0
Matt LaCosse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Roger Lewis,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Ryan Nassib,,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Owamagbe Odighizuwa,,,,,,,,,,,,O,Q,,,,D,,,,,,,,,,,,,
Jason Pierre-Paul,,Q,,,,Q,,,,,Q,,O,O,O,O,O,90.0,27.0,LDE,12.0,12.0,275.0,2020-06-05,South Florida,1989-01-01,6,8.0,New York Giants / 1st / 15th pick / 2010,4250000.0
Justin Pugh,,,,,,,,,O,O,O,O,Q,,,,,67.0,26.0,LG,11.0,11.0,311.0,2020-06-05,Syracuse,1990-08-15,3,4.0,New York Giants / 1st / 19th pick / 2013,1157307.0
Bobby Rainey,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Keenan Robinson,,,,,,,,,,,,,,Q,,,,57.0,27.0,mlb,16.0,6.0,245.0,2020-06-03,Texas,1989-07-07,4,4.0,Washington Redskins / 4th / 119th pick / 2012,1150000.0
Jake Rodgers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dominique Rodgers-Cromartie,,,,Q,Q,Q,,,,,,,,,,,,41.0,30.0,LCB,15.0,9.0,205.0,2020-06-02,Tennessee St.,1986-04-07,8,10.0,Arizona Cardinals / 1st / 16th pick / 2008,5980000.0
Byron Stingily,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
J.T. Thomas,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Robert Thomas,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Darian Thompson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mykkele Thompson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shane Vereen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,,,,,,,,,,,,,
Nikita Whitlock,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kerry Wynn,,,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,
