Player ,09/10vs. DAL,09/18vs. DET,09/24vs. PHI,10/01vs. TAM,10/08vs. LAC,10/15vs. DEN,10/22vs. SEA,11/05vs. LAR,11/12vs. SFO,11/19vs. KAN,11/23vs. WAS,12/03vs. OAK,12/10vs. DAL,12/17vs. PHI,12/24vs. ARI,12/31vs. WAS,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Eli Apple,,,,,,,,,,,,Q,Q,,,,24.0,22.0,lcb,11.0,7.0,203.0,2020-06-01,Ohio St.,1995-08-09,1,3.0,New York Giants / 1st / 10th pick / 2016,1138742.0
Josh Banks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Odell Beckham Jr.,Q,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nat Berhe,,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,
Corbin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nordly Capi,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
Jonathan Casillas,,,,Q,,O,O,O,Q,,Q,IR,IR,IR,IR,IR,52.0,30.0,RLB,8.0,8.0,225.0,2000-06-01,Wisconsin,1987-06-03,8,3.0,,2750000.0
Landon Collins,,,,,,Q,,,,,,,,D,Q,IR,,,,,,,,,,,,,
Orleans Darkwa,,,,Q,,,,,,,,,Q,,,,26.0,25.0,RB,15.0,11.0,210.0,2000-06-01,Tulane,1992-02-28,3,4.0,,690000.0
Zak DeOssie,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Donte Deayon,,,,,,,,Q,D,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Dixon,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Shaun Draughn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Evan Engram,,,,,,,,,,,,,,,,O,88.0,23.0,TE,15.0,11.0,240.0,2020-06-03,Mississippi,1994-09-02,Rook,5.0,New York Giants / 1st / 23rd pick / 2017,465000.0
Ereck Flowers,,,,,,,,,,,,,,,,Q,74.0,23.0,LT,15.0,15.0,330.0,2020-06-06,Miami (FL),1994-04-25,2,6.0,New York Giants / 1st / 9th pick / 2015,1743338.0
D.J. Fluker,,Q,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Adam Gettis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
B.J. Goodson,,Q,O,,,,,O,O,O,O,,O,,IR,IR,93.0,24.0,MLB,7.0,7.0,241.0,2020-06-01,Clemson,1993-05-29,1,3.0,New York Giants / 4th / 109th pick / 2016,540000.0
Curtis Grant,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dwayne Harris,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nigel Harris,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Damon Harrison,,,,,,,,,,Q,Q,Q,,,,,98.0,29.0,LDT,16.0,16.0,350.0,2020-06-03,William Penn,1988-11-29,5,8.0,,8750000.0
Bobby Hart,,,O,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Mark Herzlich,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Duke Ihenacho,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Janoris Jenkins,,,Q,,,,,,,,,IR,IR,IR,IR,IR,20.0,29.0,RCB,9.0,9.0,190.0,2020-05-10,"North Alabama,Florida",1988-10-29,5,4.0,St. Louis Rams / 2nd / 39th pick / 2012,12900000.0
John Jerry,,,,,Q,,,,,,,,,,,,77.0,31.0,LG,16.0,16.0,340.0,2020-06-05,Mississippi,1986-06-14,7,6.0,Miami Dolphins / 3rd / 73rd pick / 2010,925000.0
Keeon Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brett Jones,,,,Q,,,,,,,,,,,,,69.0,26.0,C,16.0,13.0,315.0,2020-06-02,Regina (Canada),1991-07-29,1,5.0,,615000.0
Devon Kennard,,,,,,,,,O,Q,,,,,,,59.0,26.0,LLB,15.0,11.0,256.0,2020-06-03,USC,1991-06-24,3,5.0,New York Giants / 5th / 174th pick / 2014,1797000.0
Tavarres King,,,,,,,,,,,,,,,IR,O,,,,,,,,,,,,,
Roger Lewis,,,,,,,,,,,,,,Q,,,18.0,24.0,WR,15.0,8.0,203.0,2000-06-01,Bowling Green,1993-11-27,1,3.0,,540000.0
Brandon Marshall,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,15.0,33.0,wr,5.0,5.0,232.0,2020-06-05,Central Florida,1984-03-23,11,1.0,Denver Broncos / 4th / 119th pick / 2006,3000000.0
Avery Moss,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Munson,,,,,,,O,,Q,,D,,,,,,46.0,23.0,mlb,14.0,5.0,243.0,2000-06-01,San Diego St.,1994-12-27,Rook,3.0,,465000.0
Kevin Norwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Romeo Okwara,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Paul Perkins,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,
Jason Pierre-Paul,,,,,Q,,,,,,,,Q,,Q,Q,90.0,28.0,LDE,16.0,16.0,275.0,2020-06-05,South Florida,1989-01-01,7,8.0,New York Giants / 1st / 15th pick / 2010,1250000.0
Darius Powe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,,,,,,,,,,
