Player ,09/09vs. JAX,09/16vs. DAL,09/23vs. HOU,09/30vs. NOR,10/07vs. CAR,10/11vs. PHI,10/22vs. ATL,10/28vs. WAS,11/12vs. SFO,11/18vs. TAM,11/25vs. PHI,12/02vs. CHI,12/09vs. WAS,12/16vs. TEN,12/23vs. IND,12/30vs. DAL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Eli Apple,,,O,O,,,,,,,,,,,,,24.0,23.0,lcb,5.0,5.0,203.0,2020-06-01,Ohio St.,1995-08-09,2,2.0,New York Giants / 1st / 10th pick / 2016,1827484.0
Thurston Armbrister,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,,,,,,,,,,
Ray-Ray Armstrong,,,,,,,IR,,IR,IR,,,,IR,,,,,,,,,,,,,,,
Sam Beal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Odell Beckham Jr.,,,,,,,,,,,,,,O,O,O,13.0,26.0,WR,12.0,12.0,198.0,2020-05-11,LSU,1992-11-05,4,9.0,New York Giants / 1st / 12th pick / 2014,1459000.0
Nick Becton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Lorenzo Carter,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Kaelin Clay,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Stacy Coley,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Landon Collins,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Jawill Davis,,,,,,,O,O,,,,,,,,IR,,,,,,,,,,,,,
Mario Edwards,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Rhett Ellison,,,,,,Q,,,,,,,,,,O,85.0,30.0,TE,14.0,12.0,255.0,2020-06-05,USC,1988-10-03,6,2.0,Minnesota Vikings / 4th / 128th pick / 2012,2475000.0
Evan Engram,,,,O,O,O,,,,,,O,,,,,88.0,24.0,TE,11.0,8.0,240.0,2020-06-03,Mississippi,1994-09-02,1,5.0,New York Giants / 1st / 23rd pick / 2017,952196.0
Nick Gates,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
B.J. Goodson,,,,,,,,,,,,O,Q,,,,93.0,25.0,LILB,15.0,13.0,241.0,2020-06-01,Clemson,1993-05-29,2,6.0,New York Giants / 4th / 109th pick / 2016,630000.0
Jon Halapio,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Antonio Hamilton,,,,Q,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Quadree Henderson,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cody Latimer,,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,
R.J. McIntosh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Alec Ogletree,,,,,,,,O,,,,,,,O,O,52.0,27.0,RILB,13.0,13.0,235.0,2020-06-02,Georgia,1991-09-25,5,8.0,St. Louis Rams / 1st / 30th pick / 2013,3000000.0
Patrick Omameh,,,,,,,Q,,,,,,,,,,70.0,29.0,rg,7.0,6.0,327.0,2020-06-04,Michigan,1989-12-29,5,3.0,,900000.0
Paul Perkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Spencer Pulley,,,,,,,,,,,,,,,O,,77.0,25.0,C,13.0,9.0,308.0,2020-06-04,Vanderbilt,1993-04-03,2,5.0,,630000.0
Russell Shepard,,,,,,O,Q,,,,,,,,O,O,,,,,,,,,,,,,
Kristjan Sokoli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jonathan Stewart,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Olivier Vernon,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Williams,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kerry Wynn,,,,,,,,,,,O,,,,Q,,72.0,27.0,de,14.0,5.0,261.0,2020-06-05,Richmond,1991-02-12,4,3.0,,825000.0
