Player ,09/08vs. DAL,09/15vs. BUF,09/22vs. TAM,09/29vs. WAS,10/06vs. MIN,10/10vs. NWE,10/20vs. ARI,10/27vs. DET,11/04vs. DAL,11/10vs. NYJ,11/24vs. CHI,12/01vs. GNB,12/09vs. PHI,12/15vs. MIA,12/22vs. WAS,12/29vs. PHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Keion Adams,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,
Jonathan Anderson,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Asafo-Adjei,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Corey Ballentine,,,,,,,O,O,,,,,O,,,Q,,,,,,,,,,,,,
Saquon Barkley,,,,O,O,O,,,,,,,,,,,26.0,22.0,RB,13.0,13.0,233.0,2020-05-11,Penn St.,1997-02-09,1,9.0,New York Giants / 1st / 2nd pick / 2018,1897943.0
Sam Beal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Q,,,,,,,,,,,,,
Lorenzo Carter,,,,,Q,Q,,,,,,,,,,,59.0,24.0,ROLB,15.0,12.0,250.0,2020-06-05,Georgia,1995-12-10,1,5.0,New York Giants / 3rd / 66th pick / 2018,665613.0
Corey Coleman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Connelly,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tae Davis,,,,O,O,,,,,,,,,,,,,,,,,,,,,,,,
Zak DeOssie,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Garrett Dickerson,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhett Ellison,,,,,,,,,,,O,O,O,O,O,O,85.0,31.0,fb,10.0,7.0,255.0,2020-06-05,USC,1988-10-03,7,1.0,Minnesota Vikings / 4th / 128th pick / 2012,4475000.0
Evan Engram,,,,,,O,,,,O,O,O,O,O,IR,IR,88.0,25.0,TE,8.0,6.0,240.0,2020-06-03,Mississippi,1994-09-02,2,4.0,New York Giants / 1st / 23rd pick / 2017,1439391.0
Amba Etta-Tawo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bennie Fowler,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Gallman,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,
Brittan Golden,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Halapio,,,,,,,,,,O,,,,,,,75.0,28.0,C,15.0,15.0,315.0,2020-06-03,Florida,1991-06-23,5,7.0,New England Patriots / 6th / 179th pick / 2014,645000.0
Nate Harvey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daniel Jones,,,,,,,,,,,,,O,O,,,8.0,22.0,QB,13.0,12.0,221.0,2020-06-05,Duke,1997-05-27,Rook,9.0,New York Giants / 1st / 6th pick / 2019,495000.0
Kenny Ladler,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Latimer,,Q,O,,,,,,,,,,,,,,12.0,27.0,WR,15.0,10.0,215.0,2020-06-02,Indiana,1992-10-10,5,2.0,Denver Broncos / 2nd / 56th pick / 2014,925000.0
Kareem Martin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Mark McLaurin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Alec Ogletree,,,,O,O,,,,,,,,,,,Q,47.0,28.0,IL,13.0,13.0,235.0,2020-06-02,Georgia,1991-09-25,6,6.0,St. Louis Rams / 1st / 30th pick / 2013,4000000.0
Chris Peace,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Jabrill Peppers,,,,,,,,,,,,O,O,IR,IR,IR,21.0,24.0,SS,11.0,11.0,213.0,2020-05-11,Michigan,1995-10-04,2,4.0,Cleveland Browns / 1st / 25th pick / 2017,1405181.0
Mike Remmers,,,,,,,,,,D,,,,,,O,74.0,30.0,RT,14.0,14.0,310.0,2020-06-05,Oregon St.,1989-04-11,7,8.0,,1125000.0
Victor Salako,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Searight,IR,IR,IR,IR,IR,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Russell Shepard,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sterling Shepard,,O,,,,O,O,O,,O,,,,,,,87.0,26.0,WR,10.0,10.0,201.0,2020-05-10,Oklahoma,1993-02-10,3,5.0,New York Giants / 2nd / 40th pick / 2016,1260623.0
Scott Simonson,IR,IR,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Darius Slayton,O,O,,,,,,,,,,,,,,,86.0,22.0,WR,14.0,9.0,190.0,2020-06-01,Auburn,1997-01-12,Rook,6.0,New York Giants / 5th / 171st pick / 2019,495000.0
Rod Smith,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Tate,,,,,,,,,,,,O,,,,,15.0,31.0,WR,11.0,10.0,197.0,2020-05-10,Notre Dame,1988-08-02,9,5.0,Seattle Seahawks / 2nd / 60th pick / 2010,1975000.0
Henre' Toliver,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Wesley,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Wheeler,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Zamort,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Zeitler,,,,,,,,,,,,,,O,,,70.0,29.0,RG,15.0,15.0,315.0,2020-06-04,Wisconsin,1990-03-08,7,7.0,Cincinnati Bengals / 1st / 27th pick / 2012,10000000.0
