Player ,09/14vs. PIT,09/20vs. CHI,09/27vs. SFO,10/04vs. LAR,10/11vs. DAL,10/18vs. WAS,10/22vs. PHI,11/02vs. TAM,11/08vs. WAS,11/15vs. PHI,11/29vs. CIN,12/06vs. SEA,12/13vs. ARI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Saquon Barkley,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sam Beal,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
C.J. Board,,,,,,,O,Q,,,,,,18.0,27.0,WR,11.0,4.0,181.0,2020-06-01,Chattanooga,1993-12-12,2,,,675000.0
Lorenzo Carter,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Adrian Colbert,,O,D,,Q,Q,O,O,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cody Core,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Carter Coughlin,,Q,,,,,,,,,,,,49.0,23.0,LB,11.0,1.0,236.0,2020-06-03,Minnesota,1997-07-21,Rook,,New York Giants / 7th / 218th pick / 2020,610000.0
Tae Crowder,Q,,,,,,IR,IR,IR,IR,IR,,,48.0,23.0,,8.0,4.0,235.0,2020-06-03,Georgia,1997-03-12,Rook,,New York Giants / 7th / 255th pick / 2020,474116.0
Kyler Fackrell,,,,,Q,,,,,,IR,IR,IR,,,,,,,,,,,,,
Devonta Freeman,,,,,,,,O,O,O,IR,IR,C19,,,,,,,,,,,,,
Graham Gano,,,,,,,,,,,C19,,,5.0,33.0,K,13.0,0.0,202.0,2020-06-02,Florida St.,1987-04-09,11,,,1050000.0
Madre Harper,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Will Hernandez,,,,,,,,C19,C19,C19,,,,71.0,25.0,OG,11.0,7.0,327.0,2020-06-02,Texas-El Paso,1995-09-02,2,,New York Giants / 2nd / 34th pick / 2018,1157340.0
Darnay Holmes,,,,,,,Q,,,,,,,30.0,22.0,CB,11.0,5.0,195.0,2020-05-10,UCLA,1998-06-23,Rook,,New York Giants / 4th / 110th pick / 2020,610000.0
Jaquarius Landrews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dexter Lawrence,,,,,,Q,,,,,,,,97.0,23.0,DL,13.0,12.0,342.0,2020-06-04,Clemson,1997-11-12,1,,New York Giants / 1st / 17th pick / 2019,1097184.0
Ryan Lewis,,,,,,,,,O,IR,IR,IR,IR,,,,,,,,,,,,,
Julian Love,,,,Q,,,,,,,,,,20.0,22.0,CB,13.0,4.0,195.0,2020-05-11,Notre Dame,1998-03-19,1,,New York Giants / 4th / 108th pick / 2019,675000.0
David Mayo,IR,IR,IR,IR,IR,IR,,,,,,,,55.0,27.0,ILB,8.0,1.0,245.0,2020-06-02,Texas St.,1993-08-18,5,,Carolina Panthers / 5th / 169th pick / 2015,1500000.0
Xavier McKinney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,29.0,21.0,S,3.0,1.0,201.0,2000-06-01,Alabama,1999-08-09,Rook,,New York Giants / 2nd / 36th pick / 2020,400000.0
Matt Peart,,,,,,,,,,,C19,,,74.0,23.0,OL,10.0,1.0,318.0,2020-06-07,Connecticut,1997-06-11,Rook,,New York Giants / 3rd / 99th pick / 2020,610000.0
Jabrill Peppers,,,,O,Q,,,,,,,,,21.0,25.0,SS,12.0,11.0,213.0,2020-05-11,Michigan,1995-10-04,3,,Cleveland Browns / 1st / 25th pick / 2017,1875271.0
Dante Pettis,,,,,,,,,,,C19,,,13.0,25.0,WR,,,195.0,2020-06-01,Washington,1995-10-23,2,,San Francisco 49ers / 2nd / 44th pick / 2018,1061869.0
Da'Mari Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sterling Shepard,,,IR,IR,IR,IR,IR,,,,,,,87.0,27.0,WR,9.0,9.0,201.0,2020-05-10,Oklahoma,1993-02-10,4,,New York Giants / 2nd / 40th pick / 2016,6475000.0
David Sills,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Darius Slayton,,,,,,Q,,,,,,,,86.0,23.0,WR,13.0,12.0,190.0,2020-06-01,Auburn,1997-01-12,1,,New York Giants / 5th / 171st pick / 2019,675000.0
Kaden Smith,,,,,,,,,,,C19,,,82.0,23.0,TE,12.0,10.0,252.0,2020-06-05,Stanford,1997-04-24,1,,San Francisco 49ers / 6th / 176th pick / 2019,675000.0
Nate Solder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Golden Tate,Q,Q,,,,,,,,Q,,,,15.0,32.0,WR,11.0,4.0,197.0,2020-05-10,Notre Dame,1988-08-02,10,,Seattle Seahawks / 2nd / 60th pick / 2010,7975000.0
Shakial Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Levine Toilolo,Q,,,,,,,,,,,,,85.0,29.0,TE,13.0,2.0,268.0,2020-06-08,Stanford,1991-07-30,7,,Atlanta Falcons / 4th / 133rd pick / 2013,1225000.0
Brandon Williams,,,Q,IR,IR,IR,IR,IR,IR,,Q,,,,,,,,,,,,,,,
Nate Wozniak,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Oshane Ximines,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
