Player ,09/13vs. CAR,09/20vs. MIA,09/27vs. NWE,10/04vs. IND,10/11vs. TAM,10/18vs. HOU,10/25vs. BUF,11/08vs. NYJ,11/15vs. BAL,11/19vs. TEN,11/29vs. SDG,12/06vs. TEN,12/13vs. IND,12/20vs. ATL,12/27vs. NOR,01/03vs. HOU,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Tyson Alualu,,,,,,,,,,,,,,,,P,93.0,28.0,LDT,16.0,13.0,304.0,2020-06-03,California,1987-05-12,5,6.0,Jacksonville Jaguars / 1st / 10th pick / 2010,3000000.0
Thurston Armbrister,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zane Beadles,,,,P,,,,Q,P,,,,,,,,68.0,29.0,LG,16.0,16.0,305.0,2020-06-04,Utah,1986-11-19,5,7.0,Denver Broncos / 2nd / 45th pick / 2010,5000000.0
Arrelious Benn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Bennett,P,,,,,,,,Q,Q,P,,,,,,,,,,,,,,,,,,
Blake Bortles,,,,,,P,,,,,,,,,,,5.0,23.0,QB,16.0,16.0,236.0,2020-06-05,Central Florida,1992-04-28,1,14.0,Jacksonville Jaguars / 1st / 3rd pick / 2014,4694275.0
Luke Bowanko,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
Andre Branch,O,O,O,,,,,,,,,,,P,,,90.0,26.0,LDE,13.0,9.0,263.0,2020-06-05,Clemson,1989-07-14,3,5.0,Jacksonville Jaguars / 2nd / 38th pick / 2012,1619525.0
Sergio Brown,,,,D,P,,,,,,,,P,Q,P,,,,,,,,,,,,,,
A.J. Cann,,,,,,,,,,,,,,,P,,60.0,24.0,RG,14.0,13.0,325.0,2020-06-03,South Carolina,1991-10-23,Rook,6.0,Jacksonville Jaguars / 3rd / 67th pick / 2015,635399.0
Chris Clemons,,,,P,P,P,P,,P,P,,P,P,P,P,P,91.0,34.0,LDE,16.0,8.0,255.0,2020-06-03,Georgia,1981-10-31,11,4.0,,5000000.0
Aaron Colvin,,,,,P,P,,,,,,,,,P,,22.0,24.0,RCB,16.0,15.0,191.0,2000-06-01,Oklahoma,1991-10-02,1,5.0,Jacksonville Jaguars / 4th / 114th pick / 2014,548288.0
