Player ,09/09vs. NYG,09/16vs. NWE,09/23vs. TEN,09/30vs. NYJ,10/07vs. KAN,10/14vs. DAL,10/21vs. HOU,10/28vs. PHI,11/11vs. IND,11/18vs. PIT,11/25vs. BUF,12/02vs. IND,12/06vs. TEN,12/16vs. WAS,12/23vs. MIA,12/30vs. HOU,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Kenneth Acker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eli Ankou,,,,,,,,,D,D,Q,,,,,,,,,,,,,,,,,,
A.J. Bouye,,,,,,,,O,O,,,,,,,O,21.0,27.0,RCB,13.0,13.0,191.0,2000-06-01,Central Florida,1991-08-16,5,5.0,,13000000.0
Calais Campbell,,Q,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
A.J. Cann,,,Q,Q,,,,,,Q,Q,,,,,,60.0,27.0,RG,15.0,15.0,325.0,2020-06-03,South Carolina,1991-10-23,3,5.0,Jacksonville Jaguars / 3rd / 67th pick / 2015,1907000.0
Don Carey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
DJ Chark,,,,,,,,,,,O,O,O,O,O,,,,,,,,,,,,,,
Zach Conque,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marcell Dareus,,,,,,,,,,Q,Q,,,,,,99.0,28.0,LDT,15.0,15.0,331.0,2020-06-03,Alabama,1990-03-13,7,8.0,Buffalo Bills / 1st / 3rd pick / 2011,9925000.0
Cody Davis,Q,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,
Kaleb Eulls,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Leonard Fournette,,Q,Q,Q,O,O,O,O,,,,,,,,D,27.0,23.0,RB,8.0,8.0,228.0,2000-06-01,LSU,1995-01-18,1,3.0,Jacksonville Jaguars / 1st / 4th pick / 2017,1699129.0
Tashaun Gipson,,,,,,,,,,,,Q,,,,,39.0,28.0,FS,16.0,16.0,212.0,2020-06-01,Wyoming,1990-08-07,6,6.0,,5750000.0
DeAndre Goolsby,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Corey Grant,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
David Grinnage,IR,IR,IR,IR,IR,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ronnie Harrison,,,,,,,,,,,,,,,O,IR,36.0,21.0,DB,14.0,8.0,214.0,2020-06-03,Alabama,1997-04-18,Rook,4.0,Jacksonville Jaguars / 3rd / 93rd pick / 2018,480000.0
D.J. Hayden,,,Q,O,O,O,O,D,,,,,,,,Q,25.0,28.0,db,10.0,6.0,190.0,2020-05-11,Houston,1990-06-27,5,3.0,Oakland Raiders / 1st / 12th pick / 2013,2250000.0
Michael Hughes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Carlos Hyde,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Leon Jacobs,,,,,,,,,,,,,,O,IR,IR,,,,,,,,,,,,,
Abry Jones,,,,,,,,,,,,,O,,,,95.0,27.0,ldt,15.0,6.0,318.0,2020-06-04,Georgia,1991-09-08,5,4.0,,3000000.0
Josh Lambo,,,,,,,,,,,,,,IR,IR,O,,,,,,,,,,,,,
Marqise Lee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kapron Lewis-Moore,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Linder,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,65.0,26.0,C,9.0,9.0,315.0,2020-06-06,Miami (FL),1992-01-25,4,3.0,Jacksonville Jaguars / 3rd / 93rd pick / 2014,9000000.0
Lerentee McCray,,,,,,,,,Q,,O,Q,,Q,,,,,,,,,,,,,,,
Quenton Meeks,,,,,,,,,O,O,O,Q,,,,,,,,,,,,,,,,,
Jaydon Mickens,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Andrew Norwell,,,,,,,,,,,,IR,IR,IR,IR,IR,68.0,27.0,LG,11.0,11.0,325.0,2020-06-06,Ohio St.,1991-10-25,4,3.0,,2000000.0
James O'Shaughnessy,,,,,,,O,O,Q,,,,,,,,80.0,26.0,TE,14.0,9.0,245.0,2020-06-04,Illinois St.,1992-01-14,3,1.0,Kansas City Chiefs / 5th / 173rd pick / 2015,705000.0
Jermey Parnell,,,,,,,,,,,,,,IR,O,IR,78.0,32.0,RT,13.0,13.0,326.0,2020-06-06,Mississippi,1986-07-20,7,5.0,,4000000.0
Tyler Patmon,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,
Niles Paul,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Donald Payne,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Jalen Ramsey,,,Q,,,Q,,,,,,Q,,,,,,,,,,,,,,,,,
Will Richardson,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cam Robinson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,,,,,,,
Austin Seferian-Jenkins,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,88.0,26.0,te,5.0,5.0,262.0,2020-06-05,Washington,1992-09-29,4,1.0,Tampa Bay Buccaneers / 2nd / 38th pick / 2014,790000.0
Telvin Smith,,,,,,,,,Q,,,,,,,,50.0,27.0,LLB,16.0,16.0,215.0,2020-06-03,Florida St.,1991-04-11,4,11.0,Jacksonville Jaguars / 5th / 144th pick / 2014,3000000.0
Tevaun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Carson Tinker,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Walker,,,,,,,,,,IR,IR,IR,IR,O,IR,IR,,,,,,,,,,,,,
Josh Wells,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,O,72.0,27.0,t,7.0,5.0,306.0,2020-06-06,James Madison,1991-02-14,4,2.0,,705000.0
T.J. Yeldon,,,Q,,,,,,,,,,,,,,24.0,25.0,rb,14.0,5.0,223.0,2020-06-01,Alabama,1993-10-02,3,5.0,Jacksonville Jaguars / 2nd / 36th pick / 2015,1241421.0
