Player ,09/08vs. KAN,09/15vs. HOU,09/19vs. TEN,09/29vs. DEN,10/06vs. CAR,10/13vs. NOR,10/20vs. CIN,10/27vs. NYJ,11/03vs. HOU,11/17vs. IND,11/24vs. TEN,12/01vs. TAM,12/08vs. LAC,12/15vs. OAK,12/22vs. ATL,12/29vs. IND,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
D.J. Alexander,,,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dakota Allen,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Alfred Blue,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
A.J. Bouye,,Q,Q,,,,,,,,,,,,,O,21.0,28.0,CB,14.0,14.0,191.0,2000-06-01,Central Florida,1991-08-16,6,5.0,,13000000.0
Cody Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
DJ Chark,,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,
Marcell Dareus,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,99.0,29.0,rdt,6.0,6.0,331.0,2020-06-03,Alabama,1990-03-13,8,2.0,Buffalo Bills / 1st / 3rd pick / 2011,2835000.0
Seth Devalve,,,,,,,,,,D,O,O,D,,,,88.0,26.0,te,12.0,6.0,245.0,2020-06-03,Princeton,1993-01-29,3,1.0,Cleveland Browns / 4th / 138th pick / 2016,
Nick Foles,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
Leonard Fournette,,,,,,,,,,,,,,,,D,27.0,24.0,RB,15.0,15.0,228.0,2000-06-01,LSU,1995-01-18,2,10.0,Jacksonville Jaguars / 1st / 4th pick / 2017,2933258.0
Najee Goode,,,,,,,,O,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Donnell Greene,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ronnie Harrison,,,,,,,,,,,,O,Q,,,,36.0,22.0,SS,14.0,14.0,214.0,2020-06-03,Alabama,1997-04-18,1,5.0,Jacksonville Jaguars / 3rd / 93rd pick / 2018,617500.0
D.J. Hayden,,,,,Q,,,,Q,,,,,,,,25.0,29.0,DB,15.0,8.0,190.0,2020-05-11,Houston,1990-06-27,6,3.0,Oakland Raiders / 1st / 12th pick / 2013,5750000.0
Tre Herndon,,,,,,,,,,,,Q,,,,,37.0,23.0,LCB,16.0,14.0,185.0,2020-05-11,Vanderbilt,1996-03-05,1,5.0,,570000.0
Ben Ijalana,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Myles Jack,,,,,,,,,,,,Q,IR,IR,IR,IR,44.0,24.0,MLB,11.0,11.0,244.0,2020-06-01,UCLA,1995-09-03,3,5.0,Jacksonville Jaguars / 2nd / 36th pick / 2016,1313787.0
Leon Jacobs,,,,,,,,O,O,,,,,,,,48.0,24.0,RLB,14.0,7.0,245.0,2020-06-02,Wisconsin,1995-10-03,1,4.0,Jacksonville Jaguars / 7th / 230th pick / 2018,570000.0
Marqise Lee,,Q,,,,,O,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Devante Mays,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Lerentee McCray,,,,,Q,Q,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
KC McDermott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Taj McGowan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gardner Minshew II,,,,,,,,,,,,,,,,Q,15.0,23.0,QB,14.0,12.0,225.0,2020-06-01,Washington St.,1996-05-16,Rook,10.0,Jacksonville Jaguars / 6th / 178th pick / 2019,495000.0
Yannick Ngakoue,,O,,,,,,,,,,,,,,,91.0,24.0,LDE,15.0,15.0,246.0,2020-06-02,Maryland,1995-03-31,3,7.0,Jacksonville Jaguars / 3rd / 69th pick / 2016,2025000.0
