Player ,09/13vs. IND,09/20vs. TEN,09/24vs. MIA,10/04vs. CIN,10/11vs. HOU,10/18vs. DET,10/25vs. LAC,11/08vs. HOU,11/15vs. GNB,11/22vs. PIT,11/29vs. CLE,12/06vs. MIN,12/13vs. TEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Dakota Allen,,,,,,Q,,O,O,,,,,53.0,25.0,LB,10.0,2.0,232.0,2020-06-01,"Texas Tech,East Mississippi CC",1995-11-02,1,,Los Angeles Rams / 7th / 251st pick / 2019,675000.0
Josh Allen,,,,,Q,Q,,,,,IR,IR,IR,,,,,,,,,,,,,
Ryquell Armstead,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,,,,,,,,,,,,,
A.J. Cann,,,,,,,Q,,,,,,,60.0,29.0,OG,12.0,12.0,325.0,2020-06-03,South Carolina,1991-10-23,5,,Jacksonville Jaguars / 3rd / 67th pick / 2015,4675000.0
DJ Chark,,,Q,,,Q,,,,,O,,,17.0,24.0,WR,11.0,11.0,198.0,2020-06-04,LSU,1996-09-23,2,,Jacksonville Jaguars / 2nd / 61st pick / 2018,884294.0
Chris Claybrooks,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Chris Conley,,,,,,,,,,,O,,,18.0,28.0,WR,12.0,2.0,205.0,2020-06-03,Georgia,1992-10-25,5,,Kansas City Chiefs / 3rd / 76th pick / 2015,2275000.0
Doug Costin,,,,,,,,,O,,,,,58.0,23.0,DT,9.0,6.0,295.0,2020-06-02,Miami (OH),1997-10-05,Rook,,,610000.0
Tyler Davis,O,O,,,,,,,,,,,,87.0,23.0,TE,6.0,0.0,,,"Connecticut,Georgia Tech",1997-04-02,Rook,,Jacksonville Jaguars / 6th / 206th pick / 2020,610000.0
Tyler Eifert,,,,,,Q,O,,,,,,,88.0,30.0,TE,12.0,3.0,255.0,2020-06-06,Notre Dame,1990-09-08,7,,Cincinnati Bengals / 1st / 21st pick / 2013,1000000.0
Daniel Ekuale,,,,O,Q,,,,,,,,,99.0,26.0,DL,6.0,2.0,300.0,2020-06-03,Washington St.,1994-01-13,1,,,595588.0
Ben Ellefson,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Rodney Gunter,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,
DaVon Hamilton,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Stephen Hauschka,,,,Q,,,,,,,,,,,,,,,,,,,,,,
D.J. Hayden,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
C.J. Henderson,,,,,Q,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Myles Jack,,,,,Q,,O,,,,,,,44.0,25.0,OLB,11.0,11.0,244.0,2020-06-01,UCLA,1995-09-03,4,,Jacksonville Jaguars / 2nd / 36th pick / 2016,12750000.0
Leon Jacobs,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Collin Johnson,,,,,,,,,,Q,,,,19.0,23.0,WR,13.0,0.0,222.0,2020-06-06,Texas,1997-09-23,Rook,,Jacksonville Jaguars / 5th / 165th pick / 2020,610000.0
Abry Jones,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Jones,,,,,,,,,IR,IR,IR,IR,,29.0,26.0,S,10.0,10.0,220.0,2020-06-02,North Carolina St.,1994-09-20,3,,Green Bay Packers / 2nd / 61st pick / 2017,825000.0
Sidney Jones,,,,,,,,,,Q,O,,,35.0,24.0,CB,9.0,6.0,181.0,2000-06-01,Washington,1996-05-21,3,,Philadelphia Eagles / 2nd / 43rd pick / 2017,776471.0
Josh Lambo,,,O,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Linder,,,O,O,,,,,Q,,,,,,,,,,,,,,,,,
Aaron Lynch,IR,IR,IR,IR,IR,IR,IR,,,,,,,59.0,27.0,DE,5.0,0.0,285.0,2020-06-05,South Florida,1993-02-08,6,,San Francisco 49ers / 5th / 150th pick / 2014,588824.0
Josh Mauro,,,,,,C19,C19,,,,,,,,,,,,,,,,,,,
Lerentee McCray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Chase McLaughlin,,,,,,,,,,,C19,,,,,,,,,,,,,,,
Rashaan Melvin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Gardner Minshew II,,,,,,,,O,O,Q,Q,,,15.0,24.0,QB,8.0,7.0,225.0,2020-06-01,Washington St.,1996-05-16,1,,Jacksonville Jaguars / 6th / 178th pick / 2019,850000.0
Andrew Norwell,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
James O'Shaughnessy,,,,,,,,,,O,,,,80.0,28.0,TE,12.0,11.0,245.0,2020-06-04,Illinois St.,1992-01-14,5,,Kansas City Chiefs / 5th / 173rd pick / 2015,910000.0
Dare Ogunbowale,,,,,,,,,,,Q,,,33.0,26.0,RB,11.0,0.0,205.0,2020-05-10,Wisconsin,1994-05-04,3,,,675000.0
Josh Oliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Devine Ozigbo,IR,IR,IR,IR,IR,IR,IR,O,O,,,,,22.0,24.0,RB,5.0,0.0,225.0,2000-06-01,Nebraska,1996-10-02,1,,,544706.0
Shaquille Quarterman,,,,,,,,IR,IR,IR,IR,IR,,50.0,23.0,LB,9.0,0.0,234.0,2000-06-01,Miami (FL),1997-10-28,Rook,,Jacksonville Jaguars / 4th / 140th pick / 2020,498821.0
Dontavius Russell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Laviska Shenault Jr.,,,,,,,,,O,O,,,,10.0,22.0,WR,11.0,10.0,227.0,2020-06-01,Colorado,1998-10-05,Rook,,Jacksonville Jaguars / 2nd / 42nd pick / 2020,
Daniel Thomas,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Chris Thompson,,,,,,,C19,C19,,IR,IR,IR,IR,,,,,,,,,,,,,
Dede Westbrook,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Quincy Williams,IR,IR,IR,IR,IR,,,,,,,,,56.0,24.0,,7.0,0.0,226.0,2020-05-11,Murray St.,1996-08-28,1,,Jacksonville Jaguars / 3rd / 98th pick / 2019,616176.0
Jarrod Wilson,,IR,IR,IR,IR,,O,,,,,,,26.0,26.0,S,9.0,9.0,210.0,2020-06-02,Michigan,1994-02-09,4,,,2450000.0
Andrew Wingard,,,,,IR,IR,IR,IR,IR,,,,,42.0,24.0,S,10.0,4.0,209.0,2000-06-01,Wyoming,1996-12-05,1,,,498530.0
Al Woods,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Wright,,,,IR,,,,,,,,,,,,,,,,,,,,,,
