Player ,09/13vs. CLE,09/21vs. IND,09/27vs. PHI,10/04vs. MIA,10/18vs. WAS,10/25vs. NWE,11/01vs. OAK,11/08vs. JAX,11/12vs. BUF,11/22vs. HOU,11/29vs. MIA,12/06vs. NYG,12/13vs. TEN,12/19vs. DAL,12/27vs. NWE,01/03vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Antonio Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jace Amaro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dion Bailey,,,,,P,P,P,,O,O,D,D,P,P,,,,,,,,,,,,,,,
T.J. Barnes,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Bohanon,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Stephen Bowen,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,
James Carpenter,P,P,P,P,,,,,,,,,,,,,77.0,26.0,LG,16.0,16.0,321.0,2020-06-05,Alabama,1989-03-22,4,7.0,Seattle Seahawks / 1st / 25th pick / 2011,2375000.0
Mike Catapano,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Willie Colon,P,P,Q,O,Q,Q,Q,IR,O,IR,IR,IR,IR,IR,IR,IR,66.0,32.0,rg,6.0,6.0,315.0,2020-06-03,Hofstra,1983-04-09,9,3.0,Pittsburgh Steelers / 4th / 131st pick / 2006,665000.0
Quinton Coples,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,
Antonio Cromartie,P,Q,P,P,P,,,P,D,P,,,P,,,,31.0,31.0,LCB,15.0,15.0,210.0,2020-06-02,Florida St.,1984-04-15,9,6.0,San Diego Chargers / 1st / 19th pick / 2006,7000000.0
Jeff Cumberland,,,,O,P,,,,,,,,,,,,85.0,28.0,TE,15.0,6.0,249.0,2020-06-04,Illinois,1987-05-02,5,1.0,,1900000.0
Demario Davis,,,,,,,,,,,P,,,,,P,56.0,26.0,LILB,16.0,16.0,248.0,2020-06-02,Arkansas St.,1989-01-11,3,9.0,New York Jets / 3rd / 77th pick / 2012,1686490.0
Kellen Davis,,,,,,,,P,P,,P,,P,P,P,Q,47.0,30.0,TE,16.0,9.0,259.0,2020-06-06,Michigan St.,1985-10-11,7,0.0,Chicago Bears / 5th / 158th pick / 2008,625000.0
Eric Decker,,,Q,Q,P,P,Q,P,P,P,P,P,P,P,P,P,87.0,28.0,WR,15.0,13.0,214.0,2020-06-03,Minnesota,1987-03-15,5,9.0,Denver Broncos / 3rd / 87th pick / 2010,6500000.0
Leger Douzable,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,
Quincy Enunwa,,,,,,,,,,,,,,,Q,P,81.0,23.0,wr,12.0,6.0,225.0,2020-06-02,Nebraska,1992-05-31,1,3.0,New York Jets / 6th / 209th pick / 2014,435000.0
Ryan Fitzpatrick,,,,,,P,,P,P,P,P,P,P,P,P,P,14.0,33.0,QB,16.0,16.0,228.0,2020-06-02,Harvard,1982-11-24,10,13.0,St. Louis Rams / 7th / 250th pick / 2005,3250000.0
Nick Folk,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Breno Giacomini,,P,P,,,,P,,,,,,,P,P,Q,68.0,30.0,RT,16.0,16.0,320.0,2020-06-07,Louisville,1985-09-27,7,9.0,Green Bay Packers / 5th / 150th pick / 2008,5125000.0
David Harris,,,,P,Q,,,,,,,,,,P,,52.0,31.0,RILB,16.0,16.0,250.0,2020-06-02,Michigan,1984-01-21,8,9.0,New York Jets / 2nd / 47th pick / 2007,7500000.0
Damon Harrison,,,,,,P,,,,,,,,,,,94.0,27.0,NT,16.0,16.0,350.0,2020-06-03,William Penn,1988-11-29,3,9.0,,2356000.0
Erin Henderson,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
Ben Ijalana,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Ivory,P,Q,Q,P,P,,P,P,P,,,,,,,P,,,,,,,,,,,,,
Jaiquawn Jarrett,P,P,P,P,D,D,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Kerley,P,,,,,,,,P,,,,P,P,,,,,,,,,,,,,,,
Jamari Lattimore,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,
Nick Mangold,,,,,,,D,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,
Brandon Marshall,,,,,,P,,Q,P,P,P,P,P,P,P,P,,,,,,,,,,,,,
Ronald Martin,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,
Lorenzo Mauldin,P,O,P,,,,,,,,,,,,,P,,,,,,,,,,,,,
Dexter McDougle,,,,,,,P,P,P,P,,,,,P,,,,,,,,,,,,,,
Rontez Miles,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,
Dee Milliner,IR,IR,IR,IR,IR,IR,IR,IR,,P,,,,P,D,P,,,,,,,,,,,,,
Chris Owusu,,,O,O,D,P,,,,,,,,,,,,,,,,,,,,,,,
Calvin Pace,,,,,,,,,,,P,Q,P,P,P,P,97.0,35.0,ROLB,16.0,12.0,265.0,2020-06-04,Wake Forest,1980-10-28,12,7.0,Arizona Cardinals / 1st / 18th pick / 2003,2250000.0
Bilal Powell,,,,,Q,O,O,D,D,P,,,,,,Q,,,,,,,,,,,,,
Calvin Pryor,,,,,P,,O,O,O,P,,,P,,,,25.0,23.0,SS,13.0,12.0,207.0,2020-05-11,Louisville,1992-07-02,1,5.0,New York Jets / 1st / 18th pick / 2014,1946194.0
Ryan Quigley,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,
Brent Qvale,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Reilly,,P,O,,,,,,,,,P,,,,,,,,,,,,,,,,,
Darrelle Revis,,,Q,P,,,,,,P,O,O,P,,,,,,,,,,,,,,,,
Sheldon Richardson,,,,,,,,,,Q,P,,,,,,91.0,25.0,LOLB,11.0,11.0,294.0,2020-06-03,Missouri,1990-11-29,2,6.0,New York Jets / 1st / 13th pick / 2013,2431647.0
Stevan Ridley,IR,IR,IR,IR,IR,IR,,P,P,,,,,,,,,,,,,,,,,,,,
Buster Skrine,,,,,,P,Q,Q,Q,Q,P,P,,,,,41.0,26.0,DB,16.0,8.0,187.0,2020-05-09,Chattanooga,1989-04-26,4,4.0,Cleveland Browns / 5th / 137th pick / 2011,2750000.0
Devin Smith,P,P,P,P,,,O,P,,,P,,,O,IR,IR,,,,,,,,,,,,,
Geno Smith,O,O,P,,,,,P,P,,,,,,P,,,,,,,,,,,,,,
Zach Sudfeld,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kenbrell Thompkins,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,
Kevin Vickerson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Darrin Walls,,D,D,O,P,,,,,,,,,,,,,,,,,,,,,,,,
Muhammad Wilkerson,,,,,P,,,,,,,,,P,,P,,,,,,,,,,,,,
Leonard Williams,P,,,,P,,P,,,,,,,,,,92.0,21.0,RDE,16.0,15.0,302.0,2020-06-05,USC,1994-06-20,Rook,9.0,New York Jets / 1st / 6th pick / 2015,3387430.0
Marcus Williams,,,,,D,P,P,,,,P,D,Q,P,,,,,,,,,,,,,,,
