Player ,09/10vs. BUF,09/17vs. OAK,09/24vs. MIA,10/01vs. JAX,10/08vs. CLE,10/15vs. NWE,10/22vs. MIA,10/29vs. ATL,11/02vs. BUF,11/12vs. TAM,11/26vs. CAR,12/03vs. KAN,12/10vs. DEN,12/17vs. NOR,12/24vs. LAC,12/31vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Terrence Brooks,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,
Brandin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Juston Burris,,,,,Q,,,,,,,O,,,,,,,,,,,,,,,,,
Bruce Carter,,O,,,,,,,,,,,O,,,,,,,,,,,,,,,,
Morris Claiborne,,,,,,,,,Q,Q,,,,,,,21.0,27.0,RCB,15.0,15.0,192.0,2020-05-11,LSU,1990-02-07,5,6.0,Dallas Cowboys / 1st / 6th pick / 2012,2500000.0
Jeremy Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Xavier Coleman,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Xavier Cooper,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Dylan Donahue,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kony Ealy,,,,,O,,,,,,,,,,,Q,,,,,,,,,,,,,
Quincy Enunwa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brisly Estime,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt Forte,,,,O,O,,,,,O,Q,Q,Q,Q,Q,Q,22.0,32.0,rb,12.0,4.0,221.0,2020-06-01,Tulane,1985-12-10,9,5.0,Chicago Bears / 2nd / 44th pick / 2008,4000000.0
Chris Gragg,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jonotthan Harrison,,O,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Anthony Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,,,,,,,,,,,,,,
Wesley Johnson,,,,,,,,,,,,,,,Q,,76.0,26.0,C,15.0,15.0,309.0,2020-06-05,Vanderbilt,1991-01-09,3,6.0,Pittsburgh Steelers / 5th / 173rd pick / 2014,2746000.0
Akeem Judd,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Bryson Keeton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Leggett,,O,D,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Corey Lemonier,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Martin,,,,D,O,,,,,,,,,,,,95.0,26.0,LOLB,14.0,9.0,245.0,2020-06-03,Columbia,1991-11-07,4,5.0,,1550000.0
Lorenzo Mauldin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh McCown,,,,,,,,,,,,,,IR,IR,IR,15.0,38.0,QB,13.0,13.0,218.0,2020-06-04,"SMU,Sam Houston St.",1979-07-04,15,9.0,Arizona Cardinals / 3rd / 81st pick / 2002,3000000.0
Elijah McGuire,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Doug Middleton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rontez Miles,O,O,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Parker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Quinton Patton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Charone Peake,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bilal Powell,,,,,,Q,,,,,,,,,,,29.0,29.0,RB,15.0,10.0,204.0,2020-05-10,Louisville,1988-10-27,6,6.0,New York Jets / 4th / 126th pick / 2011,3750000.0
Darryl Roberts,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,
Edmond Robinson,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Austin Seferian-Jenkins,,,,,,,,,,,,,,,,D,88.0,25.0,TE,13.0,10.0,262.0,2020-06-05,Washington,1992-09-29,3,3.0,Tampa Bay Buccaneers / 2nd / 38th pick / 2014,936690.0
Brandon Shell,,,,D,,,,O,D,,,,,,,O,72.0,25.0,RT,12.0,12.0,324.0,2020-06-05,South Carolina,1992-02-06,1,5.0,New York Jets / 5th / 158th pick / 2016,540000.0
Buster Skrine,,,,,,,,O,,,,,,,,,41.0,28.0,LCB,15.0,15.0,187.0,2020-05-09,Chattanooga,1989-04-26,6,6.0,Cleveland Browns / 5th / 137th pick / 2011,6000000.0
Devin Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
ArDarius Stewart,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Ed Stinson,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,
Lawrence Thomas,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Eric Tomlinson,,O,O,,,,,,,,,,,,,,83.0,25.0,TE,14.0,12.0,263.0,2020-06-06,Texas-El Paso,1992-04-22,1,1.0,,540000.0
Will Tye,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Muhammad Wilkerson,,,Q,Q,Q,Q,Q,Q,Q,Q,Q,,,O,,,96.0,28.0,RDE,13.0,12.0,315.0,2020-06-04,Temple,1989-10-22,6,6.0,New York Jets / 1st / 30th pick / 2011,14750000.0
Brian Winters,,,O,,,,,,,Q,Q,Q,Q,Q,IR,IR,67.0,26.0,RG,13.0,13.0,320.0,2020-06-04,Kent St.,1991-07-16,4,5.0,New York Jets / 3rd / 72nd pick / 2013,1000000.0
