Player ,09/10vs. DET,09/16vs. MIA,09/20vs. CLE,09/30vs. JAX,10/07vs. DEN,10/14vs. IND,10/21vs. MIN,10/28vs. CHI,11/04vs. MIA,11/11vs. BUF,11/25vs. NWE,12/02vs. TEN,12/09vs. BUF,12/15vs. HOU,12/23vs. GNB,12/30vs. NWE,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Robby Anderson,,,,,,,,D,Q,D,Q,Q,Q,,,,11.0,25.0,WR,14.0,9.0,190.0,2020-06-03,Temple,1993-05-09,2,6.0,,630000.0
Jeremiah Attaochu,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Kelvin Beachum,,,,,,,,Q,,,,,,,,,68.0,29.0,LT,16.0,16.0,308.0,2020-06-03,SMU,1989-06-08,6,7.0,Pittsburgh Steelers / 7th / 248th pick / 2012,8000000.0
Trenton Cannon,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
James Carpenter,,,,,,,,,,,IR,IR,IR,IR,IR,IR,77.0,29.0,LG,10.0,10.0,321.0,2020-06-05,Alabama,1989-03-22,7,3.0,Seattle Seahawks / 1st / 25th pick / 2011,4450000.0
Morris Claiborne,,,,,,,,Q,,,,,,,,O,21.0,28.0,RCB,15.0,15.0,192.0,2020-05-11,LSU,1990-02-07,6,5.0,Dallas Cowboys / 1st / 6th pick / 2012,3850000.0
Brandon Copeland,,,,,,,,,,,Q,,,,,,51.0,27.0,LOLB,16.0,10.0,263.0,2020-06-03,Pennsylvania,1991-07-02,5,5.0,,1000000.0
Isaiah Crowell,,,,,,Q,Q,,,,,,Q,O,IR,IR,20.0,25.0,rb,13.0,6.0,225.0,2020-05-11,Alabama St.,1993-01-08,4,5.0,,1000000.0
Sam Darnold,,,,,,,,,,D,O,Q,,,,,14.0,21.0,QB,13.0,13.0,225.0,2020-06-03,USC,1997-06-05,Rook,7.0,New York Jets / 1st / 3rd pick / 2018,480000.0
Quincy Enunwa,,,,,,,O,O,Q,,,,,IR,IR,O,81.0,26.0,WR,11.0,10.0,225.0,2020-06-02,Nebraska,1992-05-31,4,4.0,New York Jets / 6th / 209th pick / 2014,2914000.0
Ben Ijalana,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordan Jenkins,,,,,,,,,,,,,,Q,Q,Q,48.0,24.0,ROLB,16.0,11.0,259.0,2020-06-03,Georgia,1994-07-01,2,6.0,New York Jets / 3rd / 83rd pick / 2016,6500000.0
Trumaine Johnson,,,,,O,D,D,D,D,,,,,Q,,,22.0,28.0,LCB,10.0,10.0,213.0,2020-06-02,Montana,1990-01-01,6,4.0,St. Louis Rams / 3rd / 65th pick / 2012,6000000.0
Jermaine Kearse,D,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Jordan Leggett,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Spencer Long,,,,,,,,Q,,D,,,,,,,61.0,28.0,C,13.0,13.0,318.0,2020-06-05,Nebraska,1990-11-08,4,4.0,Washington Redskins / 3rd / 78th pick / 2014,5000000.0
Frankie Luvu,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Josh Martin,O,O,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rishard Matthews,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
Marcus Maye,D,D,D,Q,Q,Q,O,Q,,,IR,IR,IR,IR,IR,IR,26.0,25.0,FS,6.0,6.0,207.0,2000-06-01,Florida,1993-03-09,1,2.0,New York Jets / 2nd / 39th pick / 2017,762911.0
Elijah McGuire,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,
Steve McLendon,,,,,,,,,Q,Q,,,,,,,99.0,32.0,NT,16.0,14.0,310.0,2020-06-03,Troy,1986-01-03,8,7.0,,3125000.0
Doug Middleton,,Q,,Q,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
