Player ,09/08vs. BUF,09/16vs. CLE,09/22vs. NWE,10/06vs. PHI,10/13vs. DAL,10/21vs. NWE,10/27vs. JAX,11/03vs. MIA,11/10vs. NYG,11/17vs. WAS,11/24vs. OAK,12/01vs. CIN,12/08vs. MIA,12/12vs. BAL,12/22vs. PIT,12/29vs. BUF,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jamal Adams,,,,,,,,,,,,,D,D,Q,Q,,,,,,,,,,,,,
Henry Anderson,,,,,D,D,Q,,Q,Q,Q,Q,Q,Q,Q,Q,96.0,28.0,LDE,13.0,13.0,301.0,2020-06-06,Stanford,1991-08-03,4,7.0,Indianapolis Colts / 3rd / 93rd pick / 2015,2000000.0
Robby Anderson,Q,,,,,,,,,,,,,,Q,Q,11.0,26.0,WR,16.0,15.0,190.0,2020-06-03,Temple,1993-05-09,3,5.0,,3095000.0
Blessuan Austin,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,31.0,23.0,rcb,7.0,6.0,198.0,2020-06-01,Rutgers,1996-07-19,Rook,2.0,New York Jets / 6th / 196th pick / 2019,495000.0
Kelvin Beachum,,Q,Q,,,D,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,68.0,30.0,LT,13.0,13.0,308.0,2020-06-03,SMU,1989-06-08,7,5.0,Pittsburgh Steelers / 7th / 248th pick / 2012,8000000.0
Le'Veon Bell,,Q,,,,,,,Q,Q,,,O,,,,26.0,27.0,RB,15.0,15.0,225.0,2020-06-01,Michigan St.,1992-02-18,6,5.0,Pittsburgh Steelers / 2nd / 48th pick / 2013,2000000.0
Josh Bellamy,,,Q,Q,Q,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Braxton Berrios,Q,Q,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,
Daniel Brown,,,,Q,,,,,,,,,,,,,87.0,27.0,wr,16.0,5.0,247.0,2020-06-05,James Madison,1992-05-26,4,0.0,,805000.0
Kyron Brown,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Brandon Bryant,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Canady,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Trenton Cannon,,,Q,,D,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Blake Cashman,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,53.0,23.0,lb,7.0,5.0,237.0,2020-06-01,Minnesota,1996-05-10,Rook,3.0,New York Jets / 5th / 157th pick / 2019,495000.0
Tom Compton,,,,,,,,,,,,,,,D,IR,77.0,30.0,g,14.0,5.0,315.0,2020-06-06,South Dakota,1989-05-10,7,2.0,Washington Redskins / 6th / 193rd pick / 2012,1410000.0
Brandon Copeland,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,
Sam Darnold,,O,O,O,,,,,,,,,,,,,14.0,22.0,QB,13.0,13.0,225.0,2020-06-03,USC,1997-06-05,1,6.0,New York Jets / 1st / 3rd pick / 2018,570000.0
Kenneth Dixon,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Chuma Edoga,,,,,,,,,,,Q,O,D,O,IR,IR,75.0,22.0,RT,8.0,8.0,308.0,2020-06-03,USC,1997-05-25,Rook,3.0,New York Jets / 3rd / 92nd pick / 2019,495000.0
Quincy Enunwa,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matthias Farley,,,,,,,,,,O,D,Q,D,Q,,,,,,,,,,,,,,,
John Franklin-Myers,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Griffin,,,,,,,,,,,,,Q,O,IR,IR,84.0,29.0,TE,13.0,13.0,255.0,2020-06-06,Connecticut,1990-01-11,6,2.0,Houston Texans / 6th / 201st pick / 2013,1000000.0
Nate Hairston,,,,,Q,Q,,,,,,,,,,,21.0,25.0,LCB,11.0,6.0,185.0,2000-06-01,Temple,1994-06-30,2,3.0,Indianapolis Colts / 5th / 158th pick / 2017,
Chris Herndon,,,,,,D,D,Q,Q,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Neville Hewitt,,,,,,D,D,D,D,Q,Q,,,,,,46.0,26.0,RLB,12.0,12.0,234.0,2020-06-02,Marshall,1993-04-06,4,7.0,,1000000.0
Jordan Jenkins,,,O,O,Q,,,,Q,,,,,,,,48.0,25.0,LLB,14.0,13.0,259.0,2020-06-03,Georgia,1994-07-01,3,7.0,New York Jets / 3rd / 83rd pick / 2016,2025000.0
Trumaine Johnson,Q,,,,,,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,22.0,29.0,cb,7.0,5.0,213.0,2020-06-02,Montana,1990-01-01,7,2.0,St. Louis Rams / 3rd / 65th pick / 2012,8000000.0
Ryan Kalil,,,,,,Q,,O,D,O,IR,IR,IR,IR,IR,IR,55.0,34.0,c,7.0,7.0,300.0,2020-06-02,USC,1985-03-29,12,2.0,Carolina Panthers / 2nd / 59th pick / 2007,2400000.0
Alex Lewis,,Q,,,,Q,,,,Q,Q,Q,,,,O,71.0,27.0,LG,15.0,12.0,305.0,2020-06-06,"Colorado,Nebraska",1992-04-21,3,4.0,Baltimore Ravens / 4th / 130th pick / 2016,2025000.0
Arthur Maulet,,,,,,,,,,,,,D,D,Q,,23.0,26.0,rcb,12.0,6.0,190.0,2020-05-10,Memphis,1993-07-13,2,3.0,,645000.0
Albert McClellan,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Steve McLendon,,Q,Q,,,Q,,Q,Q,Q,Q,Q,Q,Q,Q,Q,99.0,33.0,LDT,16.0,16.0,310.0,2020-06-03,Troy,1986-01-03,9,9.0,,1500000.0
Rontez Miles,,,Q,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ty Montgomery,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
