Player ,09/13vs. SDG,09/20vs. MIN,09/27vs. DEN,10/05vs. SEA,10/11vs. ARI,10/18vs. CHI,10/25vs. MIN,11/01vs. KAN,11/15vs. GNB,11/22vs. OAK,11/26vs. PHI,12/03vs. GNB,12/13vs. STL,12/21vs. NOR,12/27vs. SFO,01/03vs. CHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Isa Abdul-Quddus,,,,,,,,,Q,,,,,,,Q,42.0,26.0,SS,16.0,8.0,200.0,2020-06-01,Fordham,1989-08-03,4,3.0,,1500000.0
Ameer Abdullah,,,,,,,,,,,,,,,,Q,21.0,22.0,RB,16.0,9.0,203.0,2020-05-09,Nebraska,1993-06-13,Rook,5.0,Detroit Lions / 2nd / 54th pick / 2015,755659.0
Ezekiel Ansah,,,P,Q,P,,,,,P,,,Q,,,,,,,,,,,,,,,,
Joique Bell,,,,O,O,Q,P,P,,P,,,,,,,35.0,29.0,rb,13.0,5.0,220.0,2020-05-11,Wayne State (MI),1986-08-04,5,4.0,,3500000.0
Bill Bentley,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Crezdon Butler,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,
Josh Bynes,,,,,,,P,,,,,,,,Q,P,57.0,26.0,RLB,16.0,11.0,235.0,2020-06-01,Auburn,1989-08-24,4,5.0,,785000.0
Don Carey,,,P,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,
Alex Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Ebron,P,,,,O,O,P,,,,P,,,Q,,,85.0,22.0,TE,14.0,8.0,253.0,2020-06-04,North Carolina,1993-04-10,1,4.0,Detroit Lions / 1st / 10th pick / 2014,2783898.0
Andre Fluellen,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Ihedigbo,,,P,,Q,Q,P,,P,,,P,,,,,32.0,32.0,SS,15.0,8.0,202.0,2020-06-01,Massachusetts,1983-12-03,7,3.0,,2000000.0
Calvin Johnson,,,,,,,P,P,Q,P,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,
Jason Jones,,,,P,,P,P,,,P,,,,,,D,91.0,29.0,LDE,15.0,15.0,272.0,2020-06-05,East. Michigan,1986-05-23,7,6.0,Tennessee Titans / 2nd / 54th pick / 2008,3983333.0
Darren Keyton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nevin Lawson,,,,,,,,,,Q,,,,,,Q,24.0,24.0,RCB,15.0,9.0,190.0,2020-05-09,Utah St.,1991-04-23,1,3.0,Detroit Lions / 4th / 133rd pick / 2014,510146.0
DeAndre Levy,IR,IR,IR,IR,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Travis Lewis,,,,,P,,,,P,,,,Q,,,,,,,,,,,,,,,,
Cornelius Lucas,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Martin,,,,,P,,P,P,,P,,,,,,,,,,,,,,,,,,,
Rashean Mathis,,,,,P,,,IR,O,IR,IR,IR,IR,IR,IR,IR,31.0,35.0,rcb,7.0,7.0,195.0,2020-06-01,Bethune-Cookman,1980-08-27,12,2.0,Jacksonville Jaguars / 2nd / 39th pick / 2003,1625000.0
Lance Moore,,,,,P,,,,,,,O,Q,P,,,16.0,32.0,WR,14.0,8.0,187.0,2020-05-09,Toledo,1983-08-31,9,3.0,,665000.0
Haloti Ngata,,Q,,,O,O,P,,,,,,,Q,Q,Q,92.0,31.0,RDT,14.0,14.0,340.0,2020-06-04,Oregon,1984-01-21,9,5.0,Baltimore Ravens / 1st / 12th pick / 2006,8500000.0
Michael Ola,,,,,,,,,,,,,Q,Q,Q,Q,74.0,27.0,RT,9.0,7.0,312.0,2020-06-05,Hampton,1988-04-19,1,4.0,,
Chris Owens,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Brandon Pettigrew,,O,O,O,P,,O,P,,,,,,IR,IR,IR,87.0,30.0,TE,8.0,8.0,257.0,2020-06-05,Oklahoma St.,1985-02-23,6,1.0,Detroit Lions / 1st / 20th pick / 2009,3800000.0
Matt Prater,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Glover Quin,,,P,,,,,,,P,,Q,Q,Q,Q,,27.0,29.0,FS,16.0,16.0,207.0,2000-06-01,New Mexico,1986-01-15,6,6.0,Houston Texans / 4th / 112th pick / 2009,3572500.0
Caraun Reid,O,Q,,,,,,,,,Q,Q,Q,,Q,,97.0,24.0,LDT,14.0,12.0,292.0,2020-06-02,Princeton,1991-11-23,1,5.0,Detroit Lions / 5th / 158th pick / 2014,557220.0
Theo Riddick,,,,,,Q,P,,,,,,,,,,25.0,24.0,rb,16.0,1.0,201.0,2020-05-09,Notre Dame,1991-05-04,2,7.0,Detroit Lions / 6th / 199th pick / 2013,607750.0
Corey Robinson,,,,D,P,,,,,,,,,,,,,,,,,,,,,,,,
