Player ,09/10vs. ARI,09/18vs. NYG,09/24vs. ATL,10/01vs. MIN,10/08vs. CAR,10/15vs. NOR,10/29vs. PIT,11/06vs. GNB,11/12vs. CLE,11/19vs. CHI,11/23vs. MIN,12/03vs. BAL,12/10vs. TAM,12/16vs. CHI,12/24vs. CIN,12/31vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Ameer Abdullah,,,,,,,,,,,,Q,Q,,,,21.0,24.0,RB,14.0,11.0,203.0,2020-05-09,Nebraska,1993-06-13,2,5.0,Detroit Lions / 2nd / 54th pick / 2015,687830.0
Jamal Agnew,,,,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,
Ezekiel Ansah,Q,Q,Q,Q,Q,Q,Q,Q,D,O,Q,,Q,Q,,,94.0,28.0,RDE,14.0,14.0,275.0,2020-06-05,BYU,1989-05-29,4,7.0,Detroit Lions / 1st / 5th pick / 2013,12734000.0
Don Barclay,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Armonty Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Don Carey,,,,Q,Q,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,
Brandon Chubb,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Emmett Cleary,,,,,,,O,,,,,,Q,Q,,,,,,,,,,,,,,,
Rodney Coe,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Brandon Copeland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joe Dahl,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,
Jarrad Davis,,,O,Q,Q,,,,,,,,,,,,40.0,23.0,MLB,14.0,14.0,245.0,2020-06-01,Florida,1994-11-16,Rook,7.0,Detroit Lions / 1st / 21st pick / 2017,465000.0
Taylor Decker,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,68.0,24.0,LT,8.0,8.0,318.0,2020-06-07,Ohio St.,1993-08-23,1,5.0,Detroit Lions / 1st / 16th pick / 2016,948499.0
Kenny Golladay,,,,Q,O,Q,O,D,Q,,,,,,,,19.0,24.0,wr,11.0,5.0,214.0,2020-06-04,Northern Illinois,1993-11-03,Rook,4.0,Detroit Lions / 3rd / 96th pick / 2017,465000.0
Jordan Hill,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kerry Hyder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mike James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
T.J. Jones,,,,,,,,,,,,,,,IR,IR,13.0,25.0,wr,14.0,6.0,190.0,2000-06-01,Notre Dame,1992-07-19,3,3.0,Detroit Lions / 6th / 189th pick / 2014,690000.0
Zac Kerin,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cyrus Kouandjio,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,
T.J. Lang,,,,,Q,Q,,,O,,,Q,Q,Q,D,,,,,,,,,,,,,,
DeMarcus Lawrence,,IR,IR,,,IR,,IR,,,,IR,,IR,,,,,,,,,,,,,,,
Des Lawrence,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nevin Lawson,,,,,,,,,,,,,,,,O,24.0,26.0,RCB,15.0,15.0,190.0,2020-05-09,Utah St.,1991-04-23,3,4.0,Detroit Lions / 4th / 133rd pick / 2014,1797000.0
Tim Lelito,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Sam Martin,IR,IR,IR,IR,IR,IR,,,,,,,Q,,,,,,,,,,,,,,,,
Brian Mihalik,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Rolan Milligan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Haloti Ngata,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,92.0,33.0,rdt,5.0,5.0,340.0,2020-06-04,Oregon,1984-01-21,11,2.0,Baltimore Ravens / 1st / 12th pick / 2006,5500000.0
Kasey Redfern,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jalen Reeves-Maybin,,,,,,,,,O,Q,Q,,,,,,,,,,,,,,,,,,
Corey Robinson,Q,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,,,,,,,,,,,,,,,
