Player ,09/08vs. ARI,09/15vs. LAC,09/22vs. PHI,09/29vs. KAN,10/14vs. GNB,10/20vs. MIN,10/27vs. NYG,11/03vs. OAK,11/10vs. CHI,11/17vs. DAL,11/24vs. WAS,11/28vs. CHI,12/08vs. MIN,12/15vs. TAM,12/22vs. DEN,12/29vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jamal Agnew,,,,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,
Danny Amendola,,,,Q,Q,,,,,,,,,,,,80.0,34.0,WR,15.0,10.0,185.0,2020-05-11,Texas Tech,1985-11-02,10,5.0,,4250000.0
John Atkins,,,,,,,,,,,,,,Q,,,99.0,27.0,dt,12.0,6.0,320.0,2020-06-03,Georgia,1992-12-21,1,3.0,,495000.0
Nick Bawden,,,,,,Q,Q,,,Q,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Austin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,D,,,,,,,,,,,,,,,,
Tra Carson,,,,,,,,IR,IR,,,,,,,,,,,,,,,,,,,,
Joe Dahl,,,,,,,,,Q,,,,,IR,IR,IR,66.0,26.0,LG,13.0,13.0,310.0,2020-06-04,Washington St.,1993-04-09,3,6.0,Detroit Lions / 5th / 151st pick / 2016,720000.0
Mike Daniels,,,,O,O,O,O,D,Q,,,,,,IR,IR,,,,,,,,,,,,,
Jarrad Davis,Q,Q,Q,,,,,,,,,,,O,IR,IR,40.0,25.0,MLB,11.0,11.0,245.0,2020-06-01,Florida,1994-11-16,2,5.0,Detroit Lions / 1st / 21st pick / 2017,1462198.0
Taylor Decker,,Q,Q,,,,,,,,,,,,,,68.0,26.0,LT,15.0,15.0,318.0,2020-06-07,Ohio St.,1993-08-23,3,8.0,Detroit Lions / 1st / 16th pick / 2016,1945498.0
Quandre Diggs,,,,,Q,Q,,,,,,,,,,,28.0,26.0,ss,5.0,5.0,197.0,2020-05-09,Texas,1993-01-22,4,1.0,Detroit Lions / 6th / 200th pick / 2015,2657000.0
Jeff Driskel,,,,,,,,,,,,Q,IR,IR,IR,IR,,,,,,,,,,,,,
Trey Flowers,,,,,,,,,,,O,Q,,,,,90.0,26.0,LDE,15.0,15.0,265.0,2020-06-02,Arkansas,1993-08-16,4,7.0,New England Patriots / 4th / 101st pick / 2015,805000.0
