Player ,09/13vs. CHI,09/20vs. GNB,09/27vs. ARI,10/04vs. NOR,10/18vs. JAX,10/25vs. ATL,11/01vs. IND,11/08vs. MIN,11/15vs. WAS,11/22vs. CAR,11/26vs. HOU,12/06vs. CHI,12/13vs. GNB,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jamal Agnew,,,,,,,,O,Q,,,,,39.0,25.0,CB,11.0,1.0,190.0,2020-05-10,San Diego,1995-04-03,3,,Detroit Lions / 5th / 165th pick / 2017,825000.0
Geronimo Allison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Danny Amendola,Q,,,,,,,,,O,O,,,80.0,35.0,WR,11.0,3.0,185.0,2020-05-11,Texas Tech,1985-11-02,11,,,1500000.0
John Atkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nick Bawden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Russell Bodine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Austin Bryant,,,,,,,,,,Q,O,,,94.0,24.0,EDGE,3.0,1.0,261.0,2020-06-06,Clemson,1996-11-12,1,,Detroit Lions / 4th / 117th pick / 2019,557353.0
Hunter Bryant,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,,,86.0,22.0,TE,2.0,0.0,239.0,2020-06-02,Washington,1998-08-20,Rook,,,461763.0
Justin Coleman,,IR,IR,IR,IR,IR,IR,,,,,,,27.0,27.0,CB,8.0,4.0,190.0,2020-05-11,Tennessee,1993-03-27,5,,,6950000.0
Jashon Cornell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Joe Dahl,,IR,IR,IR,IR,,,Q,Q,,,,,66.0,27.0,OG,7.0,2.0,310.0,2020-06-04,Washington St.,1993-04-09,4,,Detroit Lions / 5th / 151st pick / 2016,1475000.0
Jarrad Davis,,,,,,,,C19,Q,Q,,,,40.0,26.0,ILB,11.0,2.0,245.0,2020-06-01,Florida,1994-11-16,3,,Detroit Lions / 1st / 21st pick / 2017,1960798.0
Taylor Decker,,,,,,,Q,,,,,,,68.0,27.0,OT,13.0,13.0,318.0,2020-06-07,Ohio St.,1993-08-23,4,,Detroit Lions / 1st / 16th pick / 2016,6850000.0
Trey Flowers,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mike Ford,IR,IR,IR,IR,IR,IR,,,,,O,,,38.0,25.0,CB,6.0,0.0,198.0,2000-06-01,SE Missouri St.,1995-08-04,2,,,644120.0
