Player ,09/11vs. JAX,09/18vs. MIN,09/25vs. DET,10/09vs. NYG,10/16vs. DAL,10/20vs. CHI,10/30vs. ATL,11/06vs. IND,11/13vs. TEN,11/20vs. WAS,11/28vs. PHI,12/04vs. HOU,12/11vs. SEA,12/18vs. CHI,12/24vs. MIN,01/01vs. DET,01/08vs. NYG,01/15vs. DAL,01/22vs. ATL,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Jared Abbrederis,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Davante Adams,,,,,,Q,,,,,,,,,,,,,Q,17.0,24.0,WR,16.0,15.0,215.0,2020-06-01,Fresno St.,1992-12-24,2,10.0,Green Bay Packers / 2nd / 53rd pick / 2014,1072746.0
Geronimo Allison,,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Kennard Backman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Banjo,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR,,,,,,,,,,,,,
Don Barclay,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Bryan Bulaga,,,,,,,,,,,,,,,,,Q,,,75.0,27.0,RT,16.0,16.0,314.0,2020-06-05,Iowa,1989-03-21,6,11.0,Green Bay Packers / 1st / 23rd pick / 2010,5462500.0
Morgan Burnett,,,Q,,,,,,,,,,,,,,,,Q,42.0,27.0,SS,15.0,15.0,210.0,2020-06-01,Georgia Tech,1989-01-13,6,5.0,Green Bay Packers / 3rd / 71st pick / 2010,5956250.0
Randall Cobb,,,,,,,Q,Q,,,,,,Q,Q,Q,Q,,,18.0,26.0,WR,13.0,10.0,192.0,2020-05-10,Kentucky,1990-08-22,5,6.0,Green Bay Packers / 2nd / 64th pick / 2011,9150000.0
John Crockett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trevor Davis,D,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makinton Dorleant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,,,,,,,,,,,,,
Jayrone Elliott,D,D,,,,,,,,,,,,,O,Q,Q,Q,,,,,,,,,,,,,,
Kyler Fackrell,,,,,,,,,,,O,O,O,Q,,,,,,,,,,,,,,,,,,
Jacob Flores,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Demetri Goodson,,,,,,,,Q,,,IR,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Letroy Guion,,,Q,,,,,,,,,,,,,,,,,98.0,29.0,NT,15.0,15.0,295.0,2020-06-04,Florida St.,1987-06-21,8,6.0,Minnesota Vikings / 5th / 152nd pick / 2008,3516666.0
Ladarius Gunter,,,,,,,,,,,,,Q,,,,,,,36.0,24.0,RCB,16.0,15.0,200.0,2020-06-02,Miami (FL),1992-05-13,1,4.0,,526666.0
Josh Hawkins,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Jackson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jeff Janis,Q,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Tyler Kuder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eddie Lacy,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27.0,26.0,rb,5.0,5.0,250.0,2020-05-11,Alabama,1990-06-02,3,3.0,Green Bay Packers / 2nd / 61st pick / 2013,1079404.0
Corey Linsley,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,63.0,25.0,C,9.0,9.0,301.0,2020-06-03,Ohio St.,1991-07-27,2,5.0,Green Bay Packers / 5th / 161st pick / 2014,646250.0
Blake Martinez,,,,,,,,,,,O,Q,Q,Q,,,,,,50.0,22.0,RILB,13.0,9.0,237.0,2020-06-02,Stanford,1994-01-09,Rook,5.0,Green Bay Packers / 4th / 131st pick / 2016,545848.0
