Player ,09/10vs. SEA,09/17vs. ATL,09/24vs. CIN,09/28vs. CHI,10/08vs. DAL,10/15vs. MIN,10/22vs. NOR,11/06vs. DET,11/12vs. CHI,11/19vs. BAL,11/26vs. PIT,12/03vs. TAM,12/10vs. CLE,12/17vs. CAR,12/23vs. MIN,12/31vs. DET,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Davante Adams,,,,,Q,,,,,,,,,,O,O,,,,,,,,,,,,,
Montravius Adams,IR,Q,,IR,IR,IR,IR,,,IR,,IR,,IR,,,,,,,,,,,,,,,
Geronimo Allison,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
David Bakhtiari,,Q,D,D,Q,Q,,,,,,,,,,,69.0,26.0,LT,12.0,12.0,310.0,2020-06-04,Colorado,1991-09-30,4,11.0,Green Bay Packers / 4th / 109th pick / 2013,775000.0
Don Barclay,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,,,,,,,,,,,,,
Martellus Bennett,,,,,,,,D,,,,,,,,,80.0,30.0,TE,7.0,7.0,275.0,2020-06-06,Texas A&M,1987-03-10,9,2.0,Dallas Cowboys / 2nd / 61st pick / 2008,900000.0
Vince Biegel,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,
Kentrell Brice,,Q,D,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ahmad Brooks,,D,,,Q,D,O,D,Q,Q,,Q,,,,,,,,,,,,,,,,,
Bryan Bulaga,Q,Q,Q,D,Q,Q,,,IR,O,IR,IR,IR,IR,IR,IR,75.0,28.0,rt,5.0,5.0,314.0,2020-06-05,Iowa,1989-03-21,7,3.0,Green Bay Packers / 1st / 23rd pick / 2010,5400000.0
Morgan Burnett,,,,,,O,O,,O,O,Q,,,,,,42.0,28.0,SS,12.0,12.0,210.0,2020-06-01,Georgia Tech,1989-01-13,7,3.0,Green Bay Packers / 3rd / 71st pick / 2010,4750000.0
Kenny Clark,,,,,,,,,,,D,Q,,,,,97.0,22.0,NT,15.0,15.0,314.0,2020-06-03,UCLA,1995-10-04,1,7.0,Green Bay Packers / 1st / 27th pick / 2016,875529.0
Randall Cobb,,,D,,,,,,,,,,,,,,18.0,27.0,WR,15.0,14.0,192.0,2020-05-10,Kentucky,1990-08-22,6,6.0,Green Bay Packers / 2nd / 64th pick / 2011,8600000.0
Mike Daniels,,Q,D,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Quinton Dial,,,,,,,,D,O,Q,,,Q,,,,,,,,,,,,,,,,
Jahri Evans,,,,,,,,,,,,,,,Q,O,73.0,34.0,RG,14.0,14.0,318.0,2020-06-04,Bloomsburg,1983-08-22,11,7.0,New Orleans Saints / 4th / 108th pick / 2006,1150000.0
Brett Goode,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Antwan Goodley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Demetri Goodson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,IR,,,,,,,,,,,,,
Davon House,,,D,O,Q,Q,Q,,,,,,D,O,Q,,31.0,28.0,LCB,12.0,12.0,195.0,2000-06-01,New Mexico St.,1989-07-10,6,4.0,Green Bay Packers / 4th / 131st pick / 2011,1500000.0
Ulrick John,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Aaron Jones,,,,,,,,,,O,O,Q,,,,O,,,,,,,,,,,,,
Kevin King,,,,,,D,,,,Q,Q,IR,IR,IR,IR,IR,20.0,22.0,rcb,9.0,5.0,200.0,2020-06-03,Washington,1995-05-05,Rook,2.0,Green Bay Packers / 2nd / 33rd pick / 2017,465000.0
Corey Linsley,,,,,,,Q,,,,Q,,,,,,63.0,26.0,C,16.0,16.0,301.0,2020-06-03,Ohio St.,1991-07-27,3,7.0,Green Bay Packers / 5th / 161st pick / 2014,1797000.0
Clay Matthews,,,,,,,,,,,Q,Q,,,Q,Q,52.0,31.0,LOLB,14.0,14.0,255.0,2020-06-03,USC,1986-05-14,8,6.0,Green Bay Packers / 1st / 26th pick / 2009,10100000.0
Devante Mays,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Justin McCray,,,,,,,,,Q,,,,,,,,64.0,25.0,RT,13.0,8.0,317.0,2020-06-03,Central Florida,1992-05-31,Rook,4.0,,465000.0
Ty Montgomery,,,,,D,Q,,,,IR,IR,O,IR,IR,IR,IR,88.0,24.0,rb,8.0,5.0,216.0,2000-06-01,Stanford,1993-01-22,2,4.0,Green Bay Packers / 3rd / 94th pick / 2015,625000.0
Kyle Murphy,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jordy Nelson,,,Q,,,,,,,,,,,,,O,87.0,32.0,WR,15.0,15.0,217.0,2020-06-03,Kansas St.,1985-05-31,9,5.0,Green Bay Packers / 2nd / 36th pick / 2008,8250000.0
Lucas Patrick,,,,,,,,,,Q,Q,Q,Q,,,,,,,,,,,,,,,,
Taybor Pepper,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
