Player ,09/05vs. CHI,09/15vs. MIN,09/22vs. DEN,09/26vs. PHI,10/06vs. DAL,10/14vs. DET,10/20vs. OAK,10/27vs. KAN,11/03vs. LAC,11/10vs. CAR,11/24vs. SFO,12/01vs. NYG,12/08vs. WAS,12/15vs. CHI,12/23vs. MIN,12/29vs. DET,01/12vs. SEA,01/19vs. SFO,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Davante Adams,,,,,O,O,O,D,Q,,,,,,,,,,,,,,,,,,,,,,
Montravius Adams,,,D,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaire Alexander,,,,,,,,,,Q,,,,,,,,,23.0,22.0,LCB,16.0,16.0,196.0,2020-05-10,Louisville,1997-02-09,1,6.0,Green Bay Packers / 1st / 18th pick / 2018,1027761.0
Geronimo Allison,,,,,,,D,,,,,,,,,,,,81.0,25.0,wr,16.0,6.0,202.0,2020-06-03,Illinois,1994-01-18,3,3.0,,1450000.0
Adrian Amos,,,,,,,,,,Q,,,,,,,,,31.0,26.0,SS,16.0,16.0,214.0,2000-06-01,Penn St.,1993-04-29,4,6.0,Chicago Bears / 5th / 142nd pick / 2015,1250000.0
DaShaun Amos,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,
David Bakhtiari,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Begelton,,,,,,,,,,,,,,,,,/,/,,,,,,,,,,,,,
Curtis Bolton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tony Brown,,,,,O,D,Q,,,,,Q,Q,,,,,,,,,,,,,,,,,,
Bryan Bulaga,,,,,Q,,,,,,,Q,,,,,,,75.0,30.0,RT,16.0,16.0,314.0,2020-06-05,Iowa,1989-03-21,9,9.0,Green Bay Packers / 1st / 23rd pick / 2010,5800000.0
Oren Burks,O,O,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibraheim Campbell,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,,,,,,,,,
Kenny Clark,,,,,,,Q,,,,,,,,,,Q,,,,,,,,,,,,,,
Kyler Fackrell,,,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Graham,,,Q,,,,,,,,,,,Q,,,,,80.0,33.0,TE,16.0,10.0,265.0,2020-06-07,Miami (FL),1986-11-24,9,4.0,New Orleans Saints / 3rd / 95th pick / 2010,3450000.0
Raven Greene,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ka'dar Hollman,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kevin King,,,,,D,,,,,,,,Q,Q,,,,,20.0,24.0,RCB,15.0,14.0,200.0,2020-06-03,Washington,1995-05-05,2,6.0,Green Bay Packers / 2nd / 33rd pick / 2017,1108717.0
Jake Kumerow,,,Q,Q,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Tyler Lancaster,,,,,,,,,,,,,,,,,Q,,95.0,25.0,RDE,16.0,10.0,313.0,2020-06-03,Northwestern,1994-11-04,1,6.0,,570000.0
Corey Linsley,,,,,,,,Q,,,,,,,,,,,63.0,28.0,C,16.0,16.0,301.0,2020-06-03,Ohio St.,1991-07-27,5,7.0,Green Bay Packers / 5th / 161st pick / 2014,4300000.0
Dean Lowry,,,,,,,,,,,,,,,Q,,,,94.0,25.0,LDE,16.0,16.0,296.0,2020-06-06,Northwestern,1994-06-09,3,9.0,Green Bay Packers / 4th / 137th pick / 2016,2025000.0
Cole Madison,,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Yosuah Nijman,,,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Will Redmond,,,,,,,,,,,,Q,,,,D,,,,,,,,,,,,,,,
Greg Roberts,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,
Darnell Savage Jr.,,,,,,O,O,Q,,,,,,,,,,,26.0,22.0,FS,14.0,14.0,198.0,2020-05-11,Maryland,1997-07-30,Rook,5.0,Green Bay Packers / 1st / 21st pick / 2019,3120000.0
JK Scott,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Darrius Shepherd,O,O,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Za'Darius Smith,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Spriggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Equanimeous St. Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jace Sternberger,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,
Lane Taylor,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Robert Tonyan,,,,,,O,D,D,Q,D,Q,,,,,,,,,,,,,,,,,,,,
Billy Turner,,,,,,,,,,,,,Q,,,,,,77.0,28.0,RG,16.0,16.0,310.0,2020-06-05,North Dakota St.,1991-10-17,5,7.0,Miami Dolphins / 3rd / 67th pick / 2014,1350000.0
Marquez Valdes-Scantling,,,,,,,Q,,,,,,,,,,,,83.0,25.0,WR,16.0,10.0,206.0,2020-06-04,"North Carolina St.,South Florida",1994-10-10,1,4.0,Green Bay Packers / 5th / 174th pick / 2018,570000.0
Danny Vitale,,,,,,,,,,,Q,,,,,D,Q,Q,,,,,,,,,,,,,
Elijah Wellman,,,,,,,,,,,,,,,,,/,/,,,,,,,,,,,,,
Dexter Williams,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Jamaal Williams,,,,,O,,,,,,,,,,,D,,,,,,,,,,,,,,,
