Player ,09/13vs. MIN,09/20vs. DET,09/27vs. NOR,10/05vs. ATL,10/18vs. TAM,10/25vs. HOU,11/01vs. MIN,11/05vs. SFO,11/15vs. JAX,11/22vs. IND,11/29vs. CHI,12/06vs. PHI,12/13vs. DET,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Davante Adams,,,D,Q,,,,,,,,,,17.0,28.0,WR,11.0,11.0,215.0,2020-06-01,Fresno St.,1992-12-24,6,,Green Bay Packers / 2nd / 53rd pick / 2014,12000000.0
Montravius Adams,D,Q,,,Q,Q,,,,D,IR,IR,IR,,,,,,,,,,,,,
Jaire Alexander,,,,Q,,,,,D,,,,,23.0,23.0,CB,12.0,12.0,196.0,2020-05-10,Louisville,1997-02-09,2,,Green Bay Packers / 1st / 18th pick / 2018,1575522.0
David Bakhtiari,,,,,,D,Q,Q,,,,,,69.0,29.0,OT,10.0,10.0,310.0,2020-06-04,Colorado,1991-09-30,7,,Green Bay Packers / 4th / 109th pick / 2013,10500000.0
Krys Barnes,,,,,,,,,C19,C19,C19,,,51.0,22.0,LB,10.0,7.0,235.0,2020-06-01,UCLA,1998-04-02,Rook,,,610000.0
James Burgess,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Kenny Clark,,O,Q,Q,,,,,,,,,,97.0,25.0,DT,10.0,10.0,314.0,2020-06-03,UCLA,1995-10-04,4,,Green Bay Packers / 1st / 27th pick / 2016,1690000.0
Mason Crosby,,,,,,,Q,,,,,,,2.0,36.0,K,13.0,0.0,207.0,2020-06-01,Colorado,1984-09-03,13,,Green Bay Packers / 6th / 193rd pick / 2007,1400000.0
Josiah Deguara,,Q,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
AJ Dillon,,,,,,,,C19,C19,C19,C19,C19,C19,28.0,22.0,RB,8.0,0.0,247.0,2000-06-01,Boston Col.,1998-05-02,Rook,,Green Bay Packers / 2nd / 62nd pick / 2020,610000.0
Kabion Ento,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tyler Ervin,,,,Q,O,O,Q,,,O,Q,,IR,,,,,,,,,,,,,
Devin Funchess,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rashan Gary,,,,Q,Q,,,,,,,,,52.0,23.0,DL,12.0,3.0,277.0,2020-06-05,Michigan,1997-12-03,1,,Green Bay Packers / 1st / 12th pick / 2019,1216696.0
