Player ,09/13vs. JAX,09/20vs. HOU,09/27vs. NOR,10/04vs. TAM,10/18vs. SEA,10/25vs. PHI,11/02vs. IND,11/08vs. GNB,11/15vs. TEN,11/22vs. WAS,11/26vs. DAL,12/06vs. NOR,12/13vs. ATL,12/20vs. NYG,12/27vs. ATL,01/03vs. TAM,01/17vs. SEA,01/24vs. ARI,02/07vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mario Addison,,,,,,,O,P,,,,O,P,,,,,,,,,,,,,,,,,,,
Jared Allen,,,,,O,P,,,,P,,,P,P,,,,O,,69.0,33.0,RDE,12.0,12.0,270.0,2020-06-06,Idaho St.,1982-04-03,11,5.0,Kansas City Chiefs / 4th / 126th pick / 2004,823529.0
Kelvin Benjamin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bene Benwikere,,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brenton Bersin,,,,,,,,,,,,,D,P,,,,,,,,,,,,,,,,,,
Richie Brockel,O,Q,P,,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Corey Brown,,,,P,,,,,,D,Q,P,,,,,,,,10.0,24.0,WR,14.0,11.0,190.0,2020-05-11,Ohio St.,1991-12-16,1,5.0,,515000.0
Nate Chandler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kurt Coleman,,,,,,,,,,,,,,,,D,,,,20.0,27.0,FS,15.0,15.0,208.0,2020-05-11,Ohio St.,1988-07-01,5,7.0,Philadelphia Eagles / 7th / 244th pick / 2010,1340625.0
Jerricho Cotchery,,,O,O,P,,,,,,,,P,P,,,,,,,,,,,,,,,,,,
Thomas Davis,,,,P,,,P,,,,,,P,P,,P,,,,,,,,,,,,,,,,
Ed Dickson,,,,,,,,P,P,,,,,,,,,,,84.0,28.0,TE,16.0,11.0,250.0,2020-06-04,Oregon,1987-07-25,5,1.0,Baltimore Ravens / 3rd / 70th pick / 2010,1516666.0
