Player ,09/08vs. DEN,09/18vs. SFO,09/25vs. MIN,10/02vs. ATL,10/10vs. TAM,10/16vs. NOR,10/30vs. ARI,11/06vs. LAR,11/13vs. KAN,11/17vs. NOR,11/27vs. OAK,12/04vs. SEA,12/11vs. SDG,12/19vs. WAS,12/24vs. ATL,01/01vs. TAM,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mario Addison,,,,,,,,Q,,,O,O,Q,,,,,,,,,,,,,,,,
Derek Anderson,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,
Kelvin Benjamin,,,,,,Q,,,,,,,,Q,,,13.0,25.0,WR,16.0,13.0,245.0,2020-06-05,Florida St.,1991-02-05,2,7.0,Carolina Panthers / 1st / 28th pick / 2014,2090250.0
Tre Boston,,,,,,,,,,,Q,,,,,IR,33.0,24.0,FS,15.0,10.0,205.0,2020-06-01,North Carolina,1992-06-25,2,5.0,Carolina Panthers / 4th / 128th pick / 2014,701367.0
James Bradberry,,,,,O,O,Q,,,,,,,,,,24.0,23.0,LCB,13.0,13.0,212.0,2020-06-01,"Samford,Arkansas St.",1993-08-04,Rook,6.0,Carolina Panthers / 2nd / 62nd pick / 2016,720152.0
Vernon Butler,Q,,,O,O,O,O,O,Q,,,,,,,,,,,,,,,,,,,,
LaRon Byrd,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jeremy Cash,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Coleman,,,,,,,,,,,,O,Q,,,,20.0,28.0,SS,15.0,15.0,208.0,2020-05-11,Ohio St.,1988-07-01,6,7.0,Philadelphia Eagles / 7th / 244th pick / 2010,2184375.0
Rakim Cox,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Thomas Davis,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Delaire,,,,IR,IR,IR,IR,IR,IR,IR,,,,,O,IR,,,,,,,,,,,,,
Devin Funchess,,,,,,,,,,,,,,,,IR,17.0,22.0,wr,15.0,7.0,225.0,2020-06-04,Michigan,1994-05-21,1,3.0,Carolina Panthers / 2nd / 41st pick / 2015,1254747.0
Gino Gradkowski,,,,,,,,,Q,Q,Q,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Charles Johnson,,,,,Q,Q,,,,,,,O,O,,Q,95.0,30.0,LDE,13.0,13.0,270.0,2020-06-02,Georgia,1986-07-10,9,6.0,Carolina Panthers / 3rd / 83rd pick / 2007,2562500.0
Devon Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Leonard Johnson,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,
Colin Jones,,,,,,,,,O,O,Q,,,,,,,,,,,,,,,,,,
Ryan Kalil,,,,,,,,IR,IR,Q,IR,IR,IR,IR,IR,IR,67.0,31.0,C,8.0,8.0,300.0,2020-06-02,USC,1985-03-29,9,3.0,Carolina Panthers / 2nd / 59th pick / 2007,11829000.0
Luke Kuechly,,,,,,,,Q,,,O,O,Q,Q,,,,,,,,,,,,,,,
Andy Lee,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kyle Love,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Dean Marlowe,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
David Mayo,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,,
Cam Newton,,,,,O,Q,,,,,,,,Q,,Q,1.0,27.0,QB,15.0,14.0,245.0,2020-06-05,"Florida,Blinn College (TX),Auburn",1989-05-11,5,11.0,Carolina Panthers / 1st / 1st pick / 2011,19500000.0
Kevin Norwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Oher,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Greg Olsen,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Jordan Rigsbee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Zack Sanchez,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kawann Short,,,Q,,,,,,,,,,,,,,99.0,27.0,RDT,16.0,16.0,315.0,2020-06-03,Purdue,1989-02-02,3,7.0,Carolina Panthers / 2nd / 44th pick / 2013,1473192.0
Paul Soliai,,,,,,O,Q,,,,,,,,,,,,,,,,,,,,,,
Jonathan Stewart,,Q,O,O,O,Q,,,,,,,,,,Q,28.0,29.0,RB,13.0,13.0,240.0,2020-05-10,Oregon,1987-03-21,8,5.0,Carolina Panthers / 1st / 13th pick / 2008,9550000.0
Shaq Thompson,,,,,,,,O,Q,,,,,,,,54.0,22.0,LLB,14.0,12.0,230.0,2000-06-01,Washington,1994-04-21,1,6.0,Carolina Panthers / 1st / 25th pick / 2015,2001983.0
Trai Turner,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Williams,,,,,,,,,,,,O,O,O,,,60.0,24.0,RT,13.0,10.0,330.0,2020-06-06,Oklahoma,1992-08-31,1,4.0,Carolina Panthers / 4th / 102nd pick / 2015,664280.0
Teddy Williams,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daryl Worley,,,,,,,Q,Q,,,,,Q,,,,26.0,21.0,RCB,16.0,11.0,215.0,2020-06-01,West Virginia,1995-02-22,Rook,5.0,Carolina Panthers / 3rd / 77th pick / 2016,645921.0
