Player ,09/10vs. SFO,09/17vs. BUF,09/24vs. NOR,10/01vs. NWE,10/08vs. DET,10/12vs. PHI,10/22vs. CHI,10/29vs. TAM,11/05vs. ATL,11/13vs. MIA,11/26vs. NYJ,12/03vs. NOR,12/10vs. MIN,12/17vs. GNB,12/24vs. TAM,12/31vs. ATL,01/07vs. NOR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mario Addison,,,,,Q,,,,,,,,,,Q,,,97.0,30.0,RDE,16.0,16.0,260.0,2020-06-03,Troy,1987-09-06,6,7.0,,1000000.0
Derek Anderson,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Alex Armah,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,
Kelvin Benjamin,,,,,,,Q,,,,,,,,,,,13.0,26.0,WR,8.0,8.0,245.0,2020-06-05,Florida St.,1991-02-05,3,4.0,Carolina Panthers / 1st / 28th pick / 2014,1000000.0
Brenton Bersin,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,
Vernon Butler,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damiere Byrd,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,,,,,,,,,,,,,
Jeremy Cash,,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaelin Clay,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Kurt Coleman,,,,,O,O,Q,Q,,,,,,,,Q,,20.0,29.0,FS,12.0,12.0,208.0,2020-05-11,Ohio St.,1988-07-01,7,4.0,Philadelphia Eagles / 7th / 244th pick / 2010,1900000.0
Demetrious Cox,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Thomas Davis,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Ed Dickson,,,,,,,,Q,,,,,,,,,,84.0,30.0,TE,16.0,12.0,250.0,2020-06-04,Oregon,1987-07-25,7,4.0,Baltimore Ravens / 3rd / 70th pick / 2010,1950000.0
Travell Dixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Corn Elder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dan France,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Devin Funchess,,,,,,,,,,,,,Q,Q,Q,,Q,17.0,23.0,WR,16.0,16.0,225.0,2020-06-04,Michigan,1994-05-21,2,8.0,Carolina Panthers / 2nd / 41st pick / 2015,836900.0
Graham Gano,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,
Gino Gradkowski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ladarius Gunter,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
