Player ,09/09vs. DAL,09/16vs. ATL,09/23vs. CIN,10/07vs. NYG,10/14vs. WAS,10/21vs. PHI,10/28vs. BAL,11/04vs. TAM,11/08vs. PIT,11/18vs. DET,11/25vs. SEA,12/02vs. TAM,12/09vs. CLE,12/17vs. NOR,12/23vs. ATL,12/30vs. NOR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mario Addison,,,,,,,,,Q,,,,,,,,97.0,31.0,LDE,16.0,16.0,260.0,2020-06-03,Troy,1987-09-06,7,7.0,,6250000.0
Kenjon Barner,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Damiere Byrd,,O,Q,,O,,,,,,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ross Cockrell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Bryan Cox Jr.,,IR,,IR,IR,IR,,,IR,,,,,,,,,,,,,,,,,,,,
Devin Funchess,,,,,,,,,,,D,Q,,,,,17.0,24.0,WR,14.0,12.0,225.0,2020-06-04,Michigan,1994-05-21,3,5.0,Carolina Panthers / 2nd / 41st pick / 2015,1087850.0
Graham Gano,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Rashaan Gaulden,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,
Marquis Haynes,,,,,O,,,,O,,,,,,,,,,,,,,,,,,,,
Taylor Heinicke,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Elijah Hood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Donte Jackson,,,Q,,,,,,,,,,,,,,26.0,23.0,RCB,16.0,16.0,180.0,2020-05-10,LSU,1995-11-08,Rook,6.0,Carolina Panthers / 2nd / 55th pick / 2018,480000.0
Colin Jones,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
Matt Kalil,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Kalil,,,,,,,,,Q,,,,,,,,67.0,33.0,C,16.0,16.0,300.0,2020-06-02,USC,1985-03-29,11,8.0,Carolina Panthers / 2nd / 59th pick / 2007,4500000.0
Brendan Mahon,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Manhertz,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Mayo,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,
Marshall Newhouse,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Cam Newton,,,,,,,,,,,,,,,O,O,1.0,29.0,QB,14.0,14.0,245.0,2020-06-05,"Florida,Blinn College (TX),Auburn",1989-05-11,7,13.0,Carolina Panthers / 1st / 1st pick / 2011,14500000.0
Jared Norris,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Greg Olsen,Q,O,O,O,Q,,,,,,,,IR,IR,IR,IR,88.0,33.0,TE,9.0,9.0,255.0,2020-06-05,Miami (FL),1985-03-11,11,3.0,Chicago Bears / 1st / 31st pick / 2007,1015000.0
Damian Parms,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Eric Reid,,,,,,,,,Q,,,,,,,,25.0,27.0,SS,13.0,13.0,215.0,2020-06-01,LSU,1991-12-10,5,4.0,San Francisco 49ers / 1st / 18th pick / 2013,823529.0
Fred Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Curtis Samuel,O,O,O,,,,,,,,,,,,,,10.0,22.0,WR,13.0,8.0,195.0,2020-05-11,Ohio St.,1996-08-11,1,5.0,Carolina Panthers / 2nd / 40th pick / 2017,758349.0
Da'Norris Searcy,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kevon Seymour,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Kawann Short,,,,,,,,,,,,,,D,Q,O,,,,,,,,,,,,,
Amini Silatolu,Q,,,,,,,,,,,,O,IR,IR,IR,,,,,,,,,,,,,
Jeremiah Sirles,IR,IR,IR,,,,IR,,IR,IR,,,,IR,,,,,,,,,,,,,,,
Andre Smith,,,,,O,O,O,,,,,,,,,,,,,,,,,,,,,,
Torrey Smith,,,,,,,O,O,O,O,Q,,,,,,11.0,29.0,wr,11.0,6.0,205.0,2000-06-01,Maryland,1989-01-26,7,2.0,Baltimore Ravens / 2nd / 58th pick / 2011,5000000.0
Shaq Thompson,,,,,,,,,,,,,,,O,IR,54.0,24.0,LLB,14.0,11.0,230.0,2000-06-01,Washington,1994-04-21,3,5.0,Carolina Panthers / 1st / 25th pick / 2015,936000.0
Trai Turner,,O,O,,,,,,,,,,,,,O,,,,,,,,,,,,,
Fozzy Whittaker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daryl Williams,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
