Player ,09/08vs. LAR,09/12vs. TAM,09/22vs. ARI,09/29vs. HOU,10/06vs. JAX,10/13vs. TAM,10/27vs. SFO,11/03vs. TEN,11/10vs. GNB,11/17vs. ATL,11/24vs. NOR,12/01vs. WAS,12/08vs. ATL,12/15vs. SEA,12/22vs. IND,12/29vs. NOR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Mario Addison,,,,,,,,Q,,,,,Q,Q,,,97.0,32.0,LOLB,15.0,15.0,260.0,2020-06-03,Troy,1987-09-06,8,6.0,,6500000.0
Kofi Amichia,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Baugh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Bradberry,,,,,,,,,Q,,,,,,,,24.0,26.0,CB,15.0,15.0,212.0,2020-06-01,"Samford,Arkansas St.",1993-08-04,3,5.0,Carolina Panthers / 2nd / 62nd pick / 2016,940114.0
Brian Burns,,,,,Q,,,,,,,,,,,,53.0,21.0,rolb,16.0,5.0,250.0,2020-06-05,Florida St.,1998-04-23,Rook,4.0,Carolina Panthers / 1st / 16th pick / 2019,495000.0
Vernon Butler,,,,,,,,,Q,,,,,,Q,,92.0,25.0,DE,14.0,9.0,330.0,2020-06-04,Louisiana Tech,1994-06-14,3,4.0,Carolina Panthers / 1st / 30th pick / 2016,1144980.0
Ross Cockrell,,,,,,,,,,O,Q,,,,,,47.0,28.0,CB,14.0,11.0,190.0,2000-06-01,Duke,1991-08-06,5,4.0,Buffalo Bills / 4th / 109th pick / 2014,2300000.0
Dennis Daley,,,,,,Q,,,,D,Q,,,,,,65.0,23.0,LT,14.0,9.0,325.0,2020-06-06,South Carolina,1996-08-07,Rook,4.0,Carolina Panthers / 6th / 212th pick / 2019,495000.0
Corn Elder,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Graham Gano,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rashaan Gaulden,,Q,O,,,,,,,,,,,,,,,,,,,,,,,,,,
