Player ,09/10vs. PIT,09/20vs. BUF,09/27vs. JAX,10/11vs. DAL,10/18vs. IND,10/25vs. NYJ,10/29vs. MIA,11/08vs. WAS,11/15vs. NYG,11/23vs. BUF,11/29vs. DEN,12/06vs. PHI,12/13vs. HOU,12/20vs. TEN,12/27vs. NYJ,01/03vs. MIA,01/16vs. KAN,01/24vs. DEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Danny Amendola,,,,,,,,,,,Q,Q,Q,P,Q,Q,Q,Q,80.0,30.0,wr,14.0,7.0,185.0,2020-05-11,Texas Tech,1985-11-02,6,7.0,,3116666.0
LeGarrette Blount,,,,,,,,,,,,,,IR,IR,IR,IR,IR,29.0,29.0,rb,12.0,6.0,247.0,2000-06-01,"East Mississippi CC,Oregon",1986-12-05,5,6.0,,955882.0
Brandon Bolden,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,,
Tom Brady,,,,,,,,,,,,,,Q,,,P,P,,,,,,,,,,,,,
Alan Branch,,,,,,,,,,P,P,P,,,,,,,97.0,31.0,LDT,16.0,15.0,350.0,2020-06-06,Michigan,1984-12-29,8,7.0,Arizona Cardinals / 2nd / 33rd pick / 2007,2150000.0
Tarell Brown,,,,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Travaris Cadet,Q,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Cannon,,,,,,O,O,O,O,Q,P,P,P,,,,,,61.0,27.0,RT,12.0,8.0,335.0,2020-06-06,TCU,1988-05-06,4,6.0,New England Patriots / 5th / 138th pick / 2011,2616666.0
Scott Chandler,,,,,,,,,,,,P,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,
Patrick Chung,,,,,,,,,,,,Q,Q,Q,Q,Q,,P,23.0,28.0,SS,15.0,14.0,215.0,2020-05-11,Oregon,1987-08-19,6,5.0,New England Patriots / 2nd / 34th pick / 2009,2000000.0
Justin Coleman,,,,,,,,,Q,O,O,Q,Q,P,P,O,Q,,,,,,,,,,,,,,
Jamie Collins,,,,,,,,,O,O,D,Q,,,,,,Q,,,,,,,,,,,,,
A.J. Derby,,,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
James Develin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Aaron Dobson,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Dominique Easley,,D,Q,,,,,,,,,Q,,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nate Ebner,,,,,,,,,,,,,,,Q,,Q,Q,,,,,,,,,,,,,
Julian Edelman,,,,,,,,P,P,O,O,O,O,D,D,O,Q,Q,11.0,29.0,WR,9.0,9.0,198.0,2020-05-10,Kent St.,1986-05-22,6,7.0,New England Patriots / 7th / 232nd pick / 2009,4656250.0
Darius Fleming,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Bradley Fletcher,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dane Fletcher,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Trey Flowers,Q,P,P,Q,Q,Q,P,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jonathan Freeny,,,,,,,,,,,,,,O,O,O,Q,Q,55.0,26.0,llb,13.0,7.0,245.0,2020-06-02,Rutgers,1989-06-15,4,4.0,,1000000.0
Tyler Gaffney,,,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Brandon Gibson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Rob Gronkowski,,,,,,,,,,,,O,Q,P,,,Q,Q,,,,,,,,,,,,,
Duron Harmon,,,,,,,,,P,,,,,,,,,,30.0,24.0,db,16.0,5.0,205.0,2020-06-01,Rutgers,1991-01-24,2,3.0,New England Patriots / 3rd / 91st pick / 2013,724000.0
Dont'a Hightower,,,P,,Q,Q,P,,,,,Q,Q,Q,Q,O,Q,Q,54.0,25.0,RLB,12.0,12.0,260.0,2020-06-03,Alabama,1990-03-12,3,6.0,New England Patriots / 1st / 25th pick / 2012,2457637.0
Tre' Jackson,,,,,,,,,,,,,,,,,O,,63.0,23.0,RG,13.0,9.0,323.0,2020-06-04,Florida St.,1992-12-14,Rook,5.0,New England Patriots / 4th / 111th pick / 2015,565935.0
Rufus Johnson,,,,,,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chandler Jones,,,,,,,,,,P,P,P,P,P,P,O,Q,Q,,,,,,,,,,,,,
Chris Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Kline,,,,,,Q,P,,,,,,Q,Q,Q,Q,P,P,67.0,26.0,LG,14.0,13.0,300.0,2020-06-03,Kent St.,1989-12-29,2,7.0,,585000.0
Brandon LaFell,IR,IR,IR,IR,IR,,,,,,,,,,Q,Q,P,P,19.0,29.0,wr,11.0,7.0,210.0,2020-06-03,LSU,1986-11-04,5,5.0,Carolina Panthers / 3rd / 78th pick / 2010,3500000.0
Dion Lewis,,,,,Q,Q,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,33.0,25.0,RB,7.0,6.0,195.0,2020-05-08,Pittsburgh,1990-09-27,4,6.0,Philadelphia Eagles / 5th / 149th pick / 2011,585000.0
