Player ,09/07vs. KAN,09/17vs. NOR,09/24vs. HOU,10/01vs. CAR,10/05vs. TAM,10/15vs. NYJ,10/22vs. ATL,10/29vs. LAC,11/12vs. DEN,11/19vs. OAK,11/26vs. MIA,12/03vs. BUF,12/11vs. MIA,12/17vs. PIT,12/24vs. BUF,12/31vs. NYJ,01/13vs. TEN,01/21vs. JAX,02/04vs. PHI,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Danny Amendola,,O,Q,,,,,Q,Q,Q,Q,,,,,,,,,80.0,32.0,WR,15.0,8.0,185.0,2020-05-11,Texas Tech,1985-11-02,8,8.0,,1250000.0
David Andrews,,,,,,,,,,O,O,Q,,,,,,,,60.0,25.0,C,14.0,14.0,300.0,2020-06-03,Georgia,1992-07-10,2,8.0,,615000.0
Johnson Bademosi,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Martellus Bennett,,,,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Bolden,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Tom Brady,,,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Alan Branch,,,,,IR,,,,,,,,,O,O,O,Q,Q,IR,97.0,33.0,LDT,12.0,6.0,350.0,2020-06-06,Michigan,1984-12-29,10,4.0,Arizona Cardinals / 2nd / 33rd pick / 2007,1750000.0
Malcom Brown,,,,,,,,O,O,Q,Q,,,,,,,,,,,,,,,,,,,,,
Rex Burkhead,,,O,D,O,Q,,,,,,,,,O,O,Q,Q,,,,,,,,,,,,,,
Marcus Cannon,,Q,Q,Q,Q,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,61.0,29.0,RT,7.0,7.0,335.0,2020-06-06,TCU,1988-05-06,6,5.0,New England Patriots / 5th / 138th pick / 2011,1350000.0
Patrick Chung,,,,,,,,,,,Q,,,,,,,,,23.0,30.0,SS,16.0,11.0,215.0,2020-05-11,Oregon,1987-08-19,8,5.0,New England Patriots / 2nd / 34th pick / 2009,2500000.0
Keionta Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Phillip Dorsett,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Ebner,Q,Q,Q,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Julian Edelman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chase Farris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cameron Fleming,Q,,,,,,,,,,,,,,,,,,,71.0,25.0,rt,12.0,6.0,320.0,2020-06-06,Stanford,1992-09-03,3,4.0,New England Patriots / 4th / 140th pick / 2014,1797000.0
Marquis Flowers,,,,,,,,,,,,Q,Q,,,,Q,,,,,,,,,,,,,,,
Trey Flowers,,,,,,,,,,,,Q,Q,Q,,,,,,98.0,24.0,RDE,14.0,14.0,265.0,2020-06-02,Arkansas,1993-08-16,2,9.0,New England Patriots / 4th / 101st pick / 2015,615000.0
Antonio Garcia,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mike Gillislee,,,,,,,,,,,,,Q,,,O,Q,Q,,,,,,,,,,,,,,
Stephon Gilmore,,,Q,,Q,,O,Q,Q,,,,Q,Q,,,,,,24.0,27.0,RCB,13.0,13.0,202.0,2020-06-01,South Carolina,1990-09-19,5,5.0,Buffalo Bills / 1st / 10th pick / 2012,4500000.0
Rob Gronkowski,,,Q,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Guy,,,,,,,,Q,,,,,,,,,,,,93.0,27.0,LDE,16.0,15.0,315.0,2020-06-04,Arizona St.,1990-03-17,6,8.0,Green Bay Packers / 7th / 233rd pick / 2011,900000.0
David Harris,,,,,,,,,,,,,,Q,,,,,,45.0,33.0,RLB,10.0,6.0,250.0,2020-06-02,Michigan,1984-01-21,10,3.0,New York Jets / 2nd / 47th pick / 2007,1000000.0
Dont'a Hightower,,O,Q,Q,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
