Player ,09/09vs. HOU,09/16vs. JAX,09/23vs. DET,09/30vs. MIA,10/04vs. IND,10/14vs. KAN,10/21vs. CHI,10/29vs. BUF,11/04vs. GNB,11/11vs. TEN,11/25vs. NYJ,12/02vs. MIN,12/09vs. MIA,12/16vs. PIT,12/23vs. BUF,12/30vs. NYJ,01/13vs. LAC,01/20vs. KAN,02/03vs. LAR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Dwayne Allen,,,,,,,,,,,O,O,Q,,,Q,,,,83.0,28.0,TE,13.0,8.0,260.0,2020-06-04,Clemson,1990-02-24,6,0.0,Indianapolis Colts / 3rd / 64th pick / 2012,3380000.0
Darren Andrews,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ja'Whaun Bentley,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Braxton Berrios,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Bolden,,,,,IR,,,IR,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Tom Brady,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Kenny Britt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Malcom Brown,,,,,,Q,Q,,,,,,,,,,,,,90.0,24.0,RDT,15.0,14.0,320.0,2020-06-02,Texas,1994-02-02,3,8.0,New England Patriots / 1st / 32nd pick / 2015,1473167.0
Trent Brown,,,,,,,,Q,Q,Q,,,,,,,,,,77.0,25.0,LT,16.0,16.0,380.0,2020-06-08,Florida,1993-04-13,3,10.0,San Francisco 49ers / 7th / 244th pick / 2015,190700.0
Rex Burkhead,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,,
Adam Butler,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Cannon,Q,Q,Q,Q,,,O,Q,Q,,,,,,,,,,,61.0,30.0,RT,13.0,13.0,335.0,2020-06-06,TCU,1988-05-06,7,8.0,New England Patriots / 5th / 138th pick / 2011,4000000.0
Joe Cardona,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Patrick Chung,,,D,Q,,,,,,,,,,,,,,,,23.0,31.0,SS,15.0,14.0,215.0,2020-05-11,Oregon,1987-08-19,9,5.0,New England Patriots / 2nd / 34th pick / 2009,915000.0
Keion Crossen,IR,Q,Q,Q,,,,,,IR,,IR,IR,,,,,,,,,,,,,,,,,,,
Duke Dawson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Nate Ebner,Q,,Q,Q,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Julian Edelman,,,,,,,Q,,Q,,,,,,,,,,,11.0,32.0,WR,12.0,12.0,198.0,2020-05-10,Kent St.,1986-05-22,9,9.0,New England Patriots / 7th / 232nd pick / 2009,1529412.0
Trey Flowers,,,D,Q,,,,,,,,,,,,,,,,98.0,25.0,LDE,15.0,15.0,265.0,2020-06-02,Arkansas,1993-08-16,3,9.0,New England Patriots / 4th / 101st pick / 2015,1907000.0
Stephon Gilmore,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,
Josh Gordon,,,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,,,10.0,27.0,WR,11.0,11.0,225.0,2020-06-03,"Utah,Baylor",1991-04-13,6,7.0,Cleveland Browns / 2nd / 1st pick / 2012 Supp,790000.0
Nicholas Grigsby,,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,
Geneo Grissom,,,,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
Rob Gronkowski,,,,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,87.0,29.0,TE,13.0,11.0,268.0,2020-06-06,Arizona,1989-05-14,8,6.0,New England Patriots / 2nd / 42nd pick / 2010,8000000.0
Dont'a Hightower,,,,,,,,Q,Q,Q,,,,,,,,,,54.0,28.0,LLB,15.0,15.0,260.0,2020-06-03,Alabama,1990-03-12,6,8.0,New England Patriots / 1st / 25th pick / 2012,5750000.0
Jeremy Hill,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Hogan,,,,,,Q,,,,,,,,,,,,,,15.0,31.0,wr,16.0,7.0,210.0,2020-06-01,Monmouth,1987-10-24,7,5.0,,3000000.0
Jacob Hollister,Q,,O,Q,Q,,Q,O,Q,Q,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Izzo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ulrick John,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cyrus Jones,IR,IR,,,IR,,,IR,,IR,,,,,IR,,IR,IR,IR,,,,,,,,,,,,,
Brandon King,,,,Q,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,
Shaq Mason,,,,,,,,,O,Q,Q,,,,,,,,,69.0,25.0,RG,14.0,14.0,310.0,2020-06-01,Georgia Tech,1993-08-28,3,7.0,New England Patriots / 4th / 131st pick / 2015,907000.0
Jordan Matthews,IR,IR,,,IR,IR,,IR,IR,,,IR,,,,,,IR,IR,,,,,,,,,,,,,
