Player ,09/08vs. PIT,09/15vs. MIA,09/22vs. NYJ,09/29vs. BUF,10/06vs. WAS,10/10vs. NYG,10/21vs. NYJ,10/27vs. CLE,11/03vs. BAL,11/17vs. PHI,11/24vs. DAL,12/01vs. HOU,12/08vs. KAN,12/15vs. CIN,12/21vs. BUF,12/29vs. MIA,01/04vs. TEN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
David Andrews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Michael Bennett,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Whaun Bentley,,,,,,,,,,,Q,Q,Q,Q,Q,Q,Q,,,,,,,,,,,,,
Brandon Bolden,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Brady,,,,,,,,,,,Q,,,,,,,12.0,42.0,QB,16.0,16.0,225.0,2020-06-04,Michigan,1977-08-03,19,11.0,New England Patriots / 6th / 199th pick / 2000,14000000.0
Terrence Brooks,,,,,,,,,,,,,,,,Q,Q,,,,,,,,,,,,,
Rex Burkhead,,,,Q,O,Q,Q,Q,Q,,,,,,,,,,,,,,,,,,,,,
Yodny Cajuste,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shilique Calhoun,,,Q,,,Q,,,,,,,,,,Q,,,,,,,,,,,,,,
Marcus Cannon,,Q,Q,,,,,,,,Q,Q,Q,,,Q,,61.0,31.0,RT,15.0,15.0,335.0,2020-06-06,TCU,1988-05-06,8,7.0,New England Patriots / 5th / 138th pick / 2011,5500000.0
Patrick Chung,,,,,O,Q,Q,Q,Q,Q,Q,Q,Q,,,,,23.0,32.0,SS,13.0,12.0,215.0,2020-05-11,Oregon,1987-08-19,10,5.0,New England Patriots / 2nd / 34th pick / 2009,1900000.0
Jamie Collins,,,,,,,,,,,,Q,,,Q,Q,Q,58.0,30.0,LLB,16.0,15.0,255.0,2020-06-03,Southern Miss,1989-10-20,6,15.0,New England Patriots / 2nd / 52nd pick / 2013,900000.0
Byron Cowart,,,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,,,
Keionta Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James Develin,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Phillip Dorsett,,,,,,O,Q,,,,Q,Q,,,,,,,,,,,,,,,,,,
Nate Ebner,,,Q,Q,O,Q,,,,Q,Q,Q,,,,,,,,,,,,,,,,,,
Julian Edelman,,,,Q,Q,Q,Q,Q,Q,,Q,Q,Q,Q,Q,Q,Q,11.0,33.0,WR,16.0,13.0,198.0,2020-05-10,Kent St.,1986-05-22,10,10.0,New England Patriots / 7th / 232nd pick / 2009,1000000.0
Jermaine Eluemunor,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Hjalte Froholdt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Malik Gant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Stephon Gilmore,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Josh Gordon,,,,,,Q,O,IR,IR,,,,,,,,,10.0,28.0,WR,6.0,6.0,225.0,2020-06-03,"Utah,Baylor",1991-04-13,7,2.0,Cleveland Browns / 2nd / 1st pick / 2012 Supp,2025000.0
Stephen Gostkowski,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Damien Harris,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,,
N'Keal Harry,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,15.0,22.0,wr,7.0,5.0,225.0,2020-06-04,Arizona St.,1997-12-17,Rook,1.0,New England Patriots / 1st / 32nd pick / 2019,495000.0
Dont'a Hightower,,,,Q,Q,,,,,,,Q,,,,,,,,,,,,,,,,,,
Ryan Izzo,,,Q,,,,O,O,Q,,,O,,,,,,,,,,,,,,,,,,
Jakob Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,47.0,25.0,FB,4.0,3.0,255.0,2020-06-03,Tennessee,1994-12-15,Rook,0.0,,
Jonathan Jones,,,,,,,,,,,,,,,O,Q,Q,31.0,26.0,DB,15.0,9.0,190.0,2020-05-10,Auburn,1993-09-20,3,4.0,,3095000.0
Ted Karras,,,,,,,,,,,,,Q,Q,,,,75.0,26.0,C,15.0,15.0,305.0,2020-06-04,Illinois,1993-03-15,3,7.0,New England Patriots / 6th / 221st pick / 2016,720000.0
Brandon King,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Matt LaCosse,Q,Q,Q,Q,,,O,O,O,Q,,,,,,,,83.0,27.0,TE,11.0,8.0,255.0,2020-06-06,Illinois,1992-09-21,4,1.0,,700000.0
Shaq Mason,,,,,,,,Q,Q,,,,,,,,,69.0,26.0,RG,15.0,15.0,310.0,2020-06-01,Georgia Tech,1993-08-28,4,7.0,New England Patriots / 4th / 131st pick / 2015,4000000.0
Jason McCourty,,,,,,,,,,,Q,Q,Q,Q,Q,Q,Q,30.0,32.0,LCB,12.0,10.0,195.0,2020-05-11,Rutgers,1987-08-13,10,5.0,Tennessee Titans / 6th / 203rd pick / 2009,2000000.0
Obi Melifonwu,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Meredith,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Michel,,,,,,,,,,,,,,,,Q,,26.0,24.0,RB,16.0,14.0,215.0,2020-05-11,Georgia,1995-02-17,1,5.0,New England Patriots / 1st / 31st pick / 2018,917577.0
Marshall Newhouse,,,,Q,,,,,,,,,,,,,,72.0,31.0,LT,15.0,9.0,330.0,2020-06-04,TCU,1988-09-29,8,5.0,Green Bay Packers / 5th / 169th pick / 2010,
Gunner Olszewski,,,,,,,Q,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Derek Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
D'Angelo Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mohamed Sanu,,,,,,,,,,,Q,Q,Q,Q,,,,14.0,30.0,wr,8.0,6.0,215.0,2020-06-02,Rutgers,1989-08-23,7,2.0,Cincinnati Bengals / 3rd / 83rd pick / 2012,
Danny Shelton,,,,,,,,,,Q,,,,Q,,,,71.0,26.0,DT,16.0,14.0,345.0,2020-06-02,Washington,1993-08-20,4,12.0,Cleveland Browns / 1st / 12th pick / 2015,805000.0
John Simon,,,,,,,,,,Q,Q,,,,,,,55.0,29.0,RDE,16.0,12.0,260.0,2020-06-02,Ohio St.,1990-10-14,6,11.0,Baltimore Ravens / 4th / 129th pick / 2013,900000.0
Matthew Slater,,,,,,,,,,,Q,Q,,,,,,,,,,,,,,,,,,
Demaryius Thomas,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
