Player ,09/13vs. MIA,09/20vs. SEA,09/27vs. LVR,10/05vs. KAN,10/18vs. DEN,10/25vs. SFO,11/01vs. BUF,11/09vs. NYJ,11/15vs. BAL,11/22vs. HOU,11/29vs. ARI,12/06vs. LAC,12/10vs. LAR,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Quincy Adeboyejo,//,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Beau Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
David Andrews,,,O,,,,,,,,,,,60.0,28.0,C,10.0,10.0,300.0,2020-06-03,Georgia,1992-07-10,5,,,3000000.0
Devin Asiasi,,,,,,,,IR,IR,IR,IR,IR,IR,86.0,23.0,TE,6.0,0.0,257.0,2020-06-03,"Michigan,UCLA",1997-08-14,Rook,,New England Patriots / 3rd / 91st pick / 2020,610000.0
Michael Barnett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ja'Whaun Bentley,,,,,,,,Q,Q,Q,Q,,,51.0,24.0,ILB,11.0,11.0,255.0,2020-06-02,Purdue,1996-08-24,2,,New England Patriots / 5th / 143rd pick / 2018,750000.0
Brandon Bolden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Tashawn Bower,,,,,,,,,,,Q,,,96.0,25.0,OLB,5.0,1.0,250.0,2020-06-05,LSU,1995-02-18,3,,,397062.0
Terrence Brooks,,,,,,,,,Q,,,,,25.0,28.0,FS,11.0,2.0,205.0,2020-05-11,Florida St.,1992-03-02,6,,Baltimore Ravens / 3rd / 79th pick / 2014,910000.0
Rex Burkhead,,,,,,,,,,,O,IR,IR,,,,,,,,,,,,,
Adam Butler,,Q,Q,Q,Q,Q,,,,Q,Q,,,70.0,26.0,DT,12.0,2.0,300.0,2020-06-05,Vanderbilt,1994-04-12,3,,,3259000.0
Yodny Cajuste,O,,,,,,,,IR,,,,,,,,,,,,,,,,,
Shilique Calhoun,,,,,,,Q,Q,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marcus Cannon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Patrick Chung,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Brandon Copeland,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Byron Cowart,,,,,C19,C19,,,,,Q,,,99.0,24.0,DL,11.0,11.0,300.0,2020-06-03,Maryland,1996-05-20,1,,New England Patriots / 5th / 159th pick / 2019,645588.0
Carl Davis,,,,,,O,O,Q,,,IR,IR,IR,,,,,,,,,,,,,
Cody Davis,,,,O,IR,IR,IR,Q,Q,,,,,22.0,31.0,S,10.0,0.0,203.0,2020-06-02,Texas Tech,1989-06-06,7,,,1100000.0
Kyle Dugger,,,Q,,,Q,Q,Q,Q,,Q,,,35.0,24.0,S,11.0,5.0,217.0,2020-06-01,Lenoir-Rhyne,1996-03-22,Rook,,New England Patriots / 2nd / 37th pick / 2020,610000.0
Julian Edelman,,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR,C19,C19,,,,,,,,,,,,,
Jermaine Eluemunor,,,,,,IR,IR,IR,IR,,,,,72.0,26.0,OG,9.0,7.0,335.0,2020-06-04,Texas A&M,1994-12-13,3,,Baltimore Ravens / 5th / 159th pick / 2017,2133000.0
James Ferentz,,,,,C19,C19,C19,,,,,,,66.0,31.0,C,4.0,1.0,300.0,2020-06-02,Iowa,1989-06-05,6,,,727941.0
Nick Folk,,,,,,,,Q,Q,Q,Q,,,6.0,36.0,K,13.0,0.0,211.0,2020-06-02,Arizona,1984-11-05,13,,Dallas Cowboys / 6th / 178th pick / 2007,988235.0
Stephon Gilmore,,,,,,,Q,Q,Q,Q,Q,,,24.0,30.0,CB,10.0,10.0,202.0,2020-06-01,South Carolina,1990-09-19,8,,Buffalo Bills / 1st / 10th pick / 2012,13000000.0
Lawrence Guy,,,,,,,Q,Q,Q,Q,,,,93.0,30.0,DT,12.0,12.0,315.0,2020-06-04,Arizona St.,1990-03-17,9,,Green Bay Packers / 7th / 233rd pick / 2011,3100000.0
Terez Hall,,,,,,,,,,Q,,,,59.0,24.0,LB,6.0,2.0,235.0,2020-06-02,Missouri,1996-11-18,Rook,,,
Damien Harris,IR,IR,IR,IR,,,Q,Q,Q,Q,,,,37.0,23.0,RB,10.0,10.0,213.0,2020-05-11,Alabama,1997-02-11,1,,New England Patriots / 3rd / 87th pick / 2019,630882.0
N'Keal Harry,Q,Q,Q,,,,O,O,Q,Q,Q,,,15.0,23.0,WR,11.0,8.0,225.0,2020-06-04,Arizona St.,1997-12-17,1,,New England Patriots / 1st / 32nd pick / 2019,954016.0
Justin Herron,,,,,,,IR,IR,IR,IR,IR,,,75.0,25.0,OL,9.0,3.0,308.0,2020-06-04,Wake Forest,1995-11-27,Rook,,New England Patriots / 6th / 195th pick / 2020,486468.0
Dont'a Hightower,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Izzo,,,,,,,,Q,Q,Q,Q,,IR,,,,,,,,,,,,,
J.C. Jackson,,,,,,,Q,Q,,,,,,27.0,25.0,DB,13.0,8.0,198.0,2020-06-01,"Florida,Riverside CC,Maryland",1995-11-17,2,,,750000.0
Jonathan Jones,Q,,,,,,,,Q,,,,,31.0,27.0,DB,13.0,6.0,190.0,2020-05-10,Auburn,1993-09-20,4,,,3200000.0
Dalton Keene,Q,Q,,,,,Q,Q,IR,IR,IR,IR,,44.0,21.0,TE,3.0,0.0,253.0,2020-06-04,Virginia Tech,1999-04-14,Rook,,New England Patriots / 3rd / 101st pick / 2020,511173.0
Brandon King,,,,,,,,,PUP,,,,,,,,,,,,,,,,,
Matt LaCosse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marqise Lee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cassh Maluia,Q,,,,,,,,,,,,,,,,,,,,,,,,,
Shaq Mason,,,,Q,C19,C19,Q,Q,Q,Q,Q,,,69.0,27.0,G,11.0,11.0,310.0,2020-06-01,Georgia Tech,1993-08-28,5,,New England Patriots / 4th / 131st pick / 2015,5000000.0
Sony Michel,,,,Q,IR,C19,C19,IR,IR,IR,,,,26.0,25.0,RB,6.0,3.0,215.0,2020-05-11,Georgia,1995-02-17,2,,New England Patriots / 1st / 31st pick / 2018,1355154.0
Gunner Olszewski,IR,IR,IR,IR,,,,,,,,,,80.0,24.0,WR,10.0,2.0,190.0,2000-06-01,Bemidji St.,1996-11-26,1,,,630882.0
Derek Rivers,,,,,,Q,,,,,,,,,,,,,,,,,,,,
John Simon,,,,,,,Q,Q,Q,Q,,,,55.0,30.0,DE,13.0,13.0,260.0,2020-06-02,Ohio St.,1990-10-14,7,,Baltimore Ravens / 4th / 129th pick / 2013,1500000.0
Matthew Slater,,Q,,,,,,,,Q,Q,,,18.0,35.0,WR,13.0,0.0,205.0,2000-06-01,UCLA,1985-09-09,12,,New England Patriots / 5th / 153rd pick / 2008,1600000.0
J.J. Taylor,,,,,,,,O,,O,Q,,,42.0,22.0,RB,3.0,0.0,185.0,2020-05-06,Arizona,1998-01-04,Rook,,,610000.0
Joe Thuney,,,,,,,Q,Q,Q,Q,,,,62.0,28.0,OG,13.0,13.0,308.0,2020-06-05,North Carolina St.,1992-11-18,4,,New England Patriots / 3rd / 78th pick / 2016,14781000.0
Najee Toran,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Josh Uche,,O,IR,IR,IR,IR,IR,,,,,,,53.0,22.0,LB,7.0,0.0,245.0,2020-06-01,Michigan,1998-09-18,Rook,,New England Patriots / 2nd / 60th pick / 2020,548235.0
Danny Vitale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
James White,,,O,,,,,,,,,,,28.0,28.0,RB,11.0,0.0,205.0,2020-05-10,Wisconsin,1992-02-03,6,,New England Patriots / 4th / 130th pick / 2014,3000000.0
Chase Winovich,Q,,,,,,,,,,,,,50.0,25.0,EDGE,13.0,8.0,250.0,2020-06-03,Michigan,1995-04-19,1,,New England Patriots / 3rd / 77th pick / 2019,681000.0
Deatrich Wise Jr.,,,,,,,,Q,Q,Q,,,,91.0,26.0,DE,13.0,7.0,275.0,2020-06-05,Arkansas,1994-07-26,3,,New England Patriots / 4th / 131st pick / 2017,2133000.0
Dustin Woodard,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,,,,,
Isaiah Wynn,,,Q,Q,Q,,,Q,Q,Q,O,IR,IR,,,,,,,,,,,,,
