Player ,09/13vs. CIN,09/20vs. BAL,09/27vs. CLE,10/04vs. CHI,10/11vs. DEN,10/25vs. SDG,11/01vs. NYJ,11/08vs. PIT,11/15vs. MIN,11/22vs. DET,11/29vs. TEN,12/06vs. KAN,12/13vs. DEN,12/20vs. GNB,12/24vs. SDG,01/03vs. KAN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Nate Allen,,IR,IR,IR,IR,IR,IR,IR,,,,,O,O,O,IR,,,,,,,,,,,,,
Larry Asante,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,
Denico Autry,,,,,O,O,P,,,,,,,,,,96.0,25.0,LDE,14.0,8.0,285.0,2020-06-05,Mississippi St.,1990-07-15,1,4.0,,510000.0
Neiron Ball,,,,,,,IR,IR,IR,IR,IR,IR,O,IR,IR,IR,,,,,,,,,,,,,
Derek Carr,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Carrie,,,,,,,P,Q,P,,,,,,,,38.0,25.0,FS,15.0,14.0,204.0,2000-06-01,Ohio,1990-07-28,1,5.0,Oakland Raiders / 7th / 219th pick / 2014,526741.0
Chimdi Chekwa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jon Condo,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Amari Cooper,,,,,,,,,P,,,,P,P,P,P,,,,,,,,,,,,,
Michael Crabtree,,,,,P,,,,,,,,,,,,15.0,28.0,WR,16.0,15.0,215.0,2020-06-01,Texas Tech,1987-09-14,6,8.0,San Francisco 49ers / 1st / 10th pick / 2009,3200000.0
Andre Debose,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Mario Edwards,,,,,,,,,,,,,,,O,IR,97.0,21.0,LDE,14.0,10.0,280.0,2020-06-03,Florida St.,1994-01-25,Rook,5.0,Oakland Raiders / 2nd / 35th pick / 2015,1094029.0
Justin Ellis,,O,O,P,O,D,P,,,,,,,,,,78.0,25.0,RDT,12.0,9.0,350.0,2020-06-02,Louisiana Tech,1990-12-27,1,4.0,Oakland Raiders / 4th / 107th pick / 2014,628172.0
Jimmy Hall,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Shelby Harris,,,,,,,,,,,,,Q,P,,,,,,,,,,,,,,,
D.J. Hayden,,,,,,,,,,P,,,,,,Q,25.0,25.0,LCB,16.0,13.0,190.0,2020-05-11,Houston,1990-06-27,2,4.0,Oakland Raiders / 1st / 12th pick / 2013,2815554.0
Ben Heeney,,,,Q,P,,,,,,,,,,,,,,,,,,,,,,,,
Andre Holmes,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Howard,,,,,,,,,,,,,,O,,,77.0,28.0,RT,13.0,13.0,330.0,2020-06-07,Northern Iowa,1987-03-22,5,7.0,,6400000.0
Rodney Hudson,,,,,,,,,D,Q,D,D,P,,,,61.0,26.0,C,13.0,13.0,315.0,2020-06-02,Florida St.,1989-07-12,4,6.0,Kansas City Chiefs / 2nd / 55th pick / 2011,13000000.0
Taiwan Jones,,,,Q,O,P,,,,,Q,D,Q,P,,,,,,,,,,,,,,,
Khalil Mack,,,,P,,,,P,,,,,P,P,P,P,,,,,,,,,,,,,
Benson Mayowa,O,O,O,O,P,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Mays,,,,,Q,,,P,,P,,,,,,,27.0,27.0,fs,14.0,5.0,231.0,2020-06-03,USC,1988-02-07,5,2.0,San Francisco 49ers / 2nd / 49th pick / 2010,550588.0
Keith McGill,,,,O,P,,P,,,,O,O,P,,,,,,,,,,,,,,,,
Latavius Murray,,,,,P,P,,,P,,,,,,,,,,,,,,,,,,,,
Jamize Olawale,,O,Q,P,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Roberts,,,,,,,,,,,,,,,P,,10.0,24.0,wr,16.0,5.0,195.0,2020-06-02,West Alabama,1991-02-22,1,4.0,,435000.0
Lee Smith,,,,,,,,,,D,P,,,,,,86.0,28.0,TE,15.0,15.0,265.0,2020-06-06,"Tennessee,Marshall",1987-11-21,4,1.0,New England Patriots / 5th / 159th pick / 2011,3350000.0
Neiko Thorpe,,,,,,,,,,,,Q,,Q,Q,Q,,,,,,,,,,,,,
Korey Toomer,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,
Justin Tuck,P,,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,91.0,32.0,lde,5.0,5.0,265.0,2020-06-05,Notre Dame,1983-03-29,10,2.0,New York Giants / 3rd / 74th pick / 2005,4968750.0
Clive Walford,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,
Menelik Watson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
C.J. Wilson,,,,O,P,,,,,,,,,,,,,,,,,,,,,,,,
Charles Woodson,,Q,P,Q,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,
