Player ,09/10vs. TEN,09/17vs. NYJ,09/24vs. WAS,10/01vs. DEN,10/08vs. BAL,10/15vs. LAC,10/19vs. KAN,10/29vs. BUF,11/05vs. MIA,11/19vs. NWE,11/26vs. DEN,12/03vs. NYG,12/10vs. KAN,12/17vs. DAL,12/25vs. PHI,12/31vs. LAC,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Vadal Alexander,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,
David Amerson,,,,,Q,Q,,O,O,D,O,Q,Q,D,D,Q,29.0,26.0,LCB,6.0,6.0,212.0,2020-06-01,North Carolina St.,1991-12-08,4,2.0,Washington Redskins / 2nd / 51st pick / 2013,650000.0
Denico Autry,,,,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,
Derek Carr,,,,,Q,,,,,,,,,,,,,,,,,,,,,,,,
Gareon Conley,IR,,,Q,Q,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Amari Cooper,,,,,,,,,,,,O,Q,O,Q,,89.0,23.0,WR,14.0,12.0,210.0,2020-06-01,Alabama,1994-06-17,2,6.0,Oakland Raiders / 1st / 4th pick / 2015,615000.0
Michael Crabtree,,,,Q,,,,,,,,,,,,,15.0,30.0,WR,14.0,14.0,215.0,2020-06-01,Texas Tech,1987-09-14,8,5.0,San Francisco 49ers / 1st / 10th pick / 2009,6250000.0
Mario Edwards,,,,,,,,,,,,,,O,O,,97.0,23.0,LDE,14.0,14.0,280.0,2020-06-03,Florida St.,1994-01-25,2,6.0,Oakland Raiders / 2nd / 35th pick / 2015,982015.0
Jon Feliciano,,,,,,,,,,,,,O,Q,IR,IR,,,,,,,,,,,,,
Antonio Hamilton,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Ben Heeney,IR,IR,IR,IR,IR,IR,IR,,,,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cooper Helfet,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Treyvon Hester,,,,,,,,,,,,,,,O,O,,,,,,,,,,,,,
Johnny Holton,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,,
Rodney Hudson,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Bruce Irvin,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Gabe Jackson,,,,,Q,,,,Q,Q,Q,Q,,,,,66.0,26.0,RG,15.0,15.0,335.0,2020-06-03,Mississippi St.,1991-07-12,3,6.0,Oakland Raiders / 3rd / 81st pick / 2014,5250000.0
Cory James,Q,,,,,Q,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR,57.0,24.0,RLB,10.0,9.0,235.0,2000-06-01,Colorado St.,1993-05-22,1,4.0,Oakland Raiders / 6th / 194th pick / 2016,540000.0
Sebastian Janikowski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Jelani Jenkins,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,IR,IR,,,,,,,,,,,,,,,
Karl Joseph,,,,,,,,D,Q,,,,,,,,42.0,24.0,SS,15.0,15.0,200.0,2020-05-10,West Virginia,1993-09-08,1,5.0,Oakland Raiders / 1st / 14th pick / 2016,990196.0
Marquette King,,,,,,,,Q,,,,,,,,,,,,,,,,,,,,,
Denver Kirkland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Marquel Lee,,,,,,O,Q,Q,Q,,,,,,,,55.0,22.0,mlb,13.0,6.0,235.0,2020-06-03,Wake Forest,1995-10-21,Rook,3.0,Oakland Raiders / 5th / 168th pick / 2017,465000.0
Demetrius McCray,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Dexter McDonald,,,,,,,,,,,,,,,Q,Q,23.0,26.0,lcb,15.0,6.0,200.0,2020-06-01,Kansas,1991-11-30,2,2.0,Oakland Raiders / 7th / 242nd pick / 2015,615000.0
Keith McGill,O,Q,,Q,,,,,,,,,,Q,Q,,,,,,,,,,,,,,
Obi Melifonwu,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR,,,,,,,,,,,,,
Nicholas Morrow,,,,,,,Q,Q,Q,,,,,,,,50.0,22.0,rlb,16.0,5.0,225.0,2000-06-01,Greenville,1995-07-10,Rook,3.0,,465000.0
Marshall Newhouse,,,,,,,O,Q,,Q,,,,,,,73.0,29.0,RT,14.0,14.0,330.0,2020-06-04,TCU,1988-09-29,6,7.0,Green Bay Packers / 5th / 169th pick / 2010,1050000.0
Jamize Olawale,O,Q,,,,O,Q,,Q,Q,,,Q,,,,,,,,,,,,,,,,
Cordarrelle Patterson,,,,,,,,,,,Q,Q,Q,,,,,,,,,,,,,,,,
Donald Penn,,,,,,,,,,,,,,,IR,IR,,,,,,,,,,,,,
David Sharpe,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Sean Smith,,Q,Q,,,,,,,,,,,,,,21.0,30.0,lcb,14.0,7.0,215.0,2020-06-02,Utah,1987-07-14,8,3.0,Miami Dolphins / 2nd / 61st pick / 2009,5000000.0
Clive Walford,,,,,,,,,,,,,,IR,IR,IR,,,,,,,,,,,,,
Jihad Ward,IR,,IR,,IR,IR,IR,IR,IR,IR,IR,IR,D,,,,,,,,,,,,,,,,
DeAndre Washington,,,,,Q,Q,,,,,,,,,,,,,,,,,,,,,,,
